matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5251975038,B5AE75In-BJyQP-RSNGWkjdM61YznfNi7xU8ULSSsRude1zEEGuzQmeWRXIJ1ugtKm67be_-eFQhtQ,100,305,SOLO,TOP,14,8,5,887,False,False,282,2580,650,PLATINUM,II,27,267898
NA1_5251975038,bSzzV4_HsF-T0-VO6Stiw50mqI2UqD7_4yaXEcCe0Q80aXyt6jl6xvyNiO8x9sJ42qDPrcpEsMu0vg,100,89,NONE,JUNGLE,7,11,15,56,False,False,435,2580,454,PLATINUM,IV,17,153309
NA1_5251975038,hzOmHEdJhP0VNR_veJJuXVlr0Yx548flc6-oNwwapEZ4wvugRLmmGg-2iJ8DH41mLrKTnEPT_d2XpA,100,408,SOLO,MIDDLE,0,6,7,90,False,False,193,2580,741,PLATINUM,III,8,59440
NA1_5251975038,urdKxiRWOkJXDl6yVqnkaAv4qEWL-21mcN2y3cyTh2Ln7YUwShYeIXFDArJHuj-sWjicv8TWbMFcIQ,100,573,CARRY,BOTTOM,11,5,10,901,False,False,137,2580,886,PLATINUM,III,7,50678
NA1_5251975038,klaXTdUJZwY5vtHyF5QWYK9e1w2A5_AElhePrCSm3hF9JpioLe9DkKt7bWram04YCoRjU6HtMj5GJQ,100,722,SUPPORT,UTILITY,4,7,15,99,False,False,182,2580,497,PLATINUM,II,11,135178
NA1_5251975038,dow_nWihSdlz_XaZGow27D5q70qmPiOTuyZvAs8_ZRnDuUoGMUqxGh1cDj_xBEvb-HLmOjWnf1gfkw,200,719,SOLO,TOP,10,11,6,92,True,False,356,2580,391,PLATINUM,III,11,137220
NA1_5251975038,0OBUQhe8xPe_8QRaffDdS3XT8r3Z8P_KibquX3-ntRfXJGtIpmu5DVANWpfmnB_KsOwDP3iMOhX7Pg,200,478,NONE,JUNGLE,4,6,12,81,True,False,243,2580,841,PLATINUM,III,5,23587
NA1_5251975038,Qb23aheesIgp_NMLGs-dLiWsTiDYU7cJxTVGWGxJEGj67DbEQ-MEp4sC4wJZ9I6laAhrlKmneGU8UA,200,727,SOLO,MIDDLE,10,1,2,245,True,False,0,2580,2548,PLATINUM,III,97,1085708
NA1_5251975038,ZlR8GgX_UIJ6GzBib-xB48dajHYk4OmDOpcEx2r1K-nGvTsuwTl3xsaNGrITYklnKIG7E94uDC4Pyw,200,423,CARRY,BOTTOM,6,8,12,222,True,False,257,2580,693,PLATINUM,III,19,222564
NA1_5251975038,QaOFgSiJpsRaUK9hxbZ_aGNRpRG5LyYGwze7teyoIWalxBXE7CnH7scDMkX3yekUUFCZTm5u9w_Dlw,200,461,SUPPORT,UTILITY,7,10,11,17,True,False,353,2580,452,PLATINUM,IV,97,1121170
NA1_5251929558,ehwmmQzzRsou5zlm9OmQj0wZ1BVxZdwsS0z09fgjYAe_bIyn3NmdUORBSuHppTEKlbnVjQCOi6S4cw,100,363,SOLO,TOP,0,11,0,27,False,False,256,1482,181,PLATINUM,II,1,1644
NA1_5251929558,0OBUQhe8xPe_8QRaffDdS3XT8r3Z8P_KibquX3-ntRfXJGtIpmu5DVANWpfmnB_KsOwDP3iMOhX7Pg,100,478,NONE,JUNGLE,5,5,5,81,False,False,117,1482,608,PLATINUM,III,5,23587
NA1_5251929558,iWCDA7esVkiQbvGOafuMTU_5QOrHW6-L0siky4TgQPpnqnj8FKzRY_Cf35AxZ-pkYSI7Zot13n0wig,100,485,SOLO,MIDDLE,7,2,6,7,False,False,83,1482,1204,PLATINUM,II,5,24557
NA1_5251929558,z8bcUvnAJpd-gDvq6a-oDBuVtBCM62baHYaBBlIAfIEkXbHPY1kw_MwO-qTQRia2axfifLUyN5sXrg,100,218,CARRY,BOTTOM,3,7,6,202,False,False,117,1482,506,PLATINUM,III,7,45134
NA1_5251929558,ad1DV4Msy-aHatu2gDLFBk7wOedH-omALydxWHqucHrO_wQj963HXdLSTGcwOa_tGkrTOHu-ax9K2Q,100,500,SUPPORT,UTILITY,3,9,10,80,False,False,155,1482,611,PLATINUM,III,6,29711
NA1_5251929558,QAcnM01Cp-X3ydwFVx6kfoAhY99c_m5ZqxUstF70Q_yGmae2jGfJHBiqm953dsJ2aPJeWR-2cAT_aQ,200,590,CARRY,TOP,5,0,6,516,True,False,0,1482,0,PLATINUM,II,42,469442
NA1_5251929558,915G8KDBHvHrDMbG0kTDgdj7r6Q183Pcixk7qL2z6KhECWgG6kR3goAO48FkdIB-UrSnlznvEmt1sA,200,360,SUPPORT,JUNGLE,10,4,3,62,True,False,119,1482,567,PLATINUM,III,119,1403241
NA1_5251929558,Akc66CndzOcB14NQrmYBmEvukk37HNZs41i4zujBKBSBPVAFmiccQdMFtOc8FvzaJG6BslLeGJtMnQ,200,981,DUO,MIDDLE,5,5,5,800,True,False,157,1482,438,PLATINUM,IV,3,10370
