matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5253609798,1683,GameComplete,False,False
NA1_5253602391,1429,GameComplete,True,False
NA1_5253589286,2041,GameComplete,False,False
NA1_5253577593,1607,GameComplete,False,False
NA1_5253560299,2204,GameComplete,False,False
NA1_5253539729,2073,GameComplete,False,False
NA1_5253519552,1833,GameComplete,False,False
NA1_5253506232,979,GameComplete,True,False
NA1_5253475461,2241,GameComplete,False,False
NA1_5252239328,1688,GameComplete,True,False
NA1_5252218474,1293,GameComplete,False,False
NA1_5251941985,2315,GameComplete,False,False
NA1_5251924213,1941,GameComplete,True,False
NA1_5251909923,2078,GameComplete,False,False
NA1_5251888871,1948,GameComplete,False,False
NA1_5251876127,2046,GameComplete,False,False
NA1_5250921782,2465,GameComplete,False,False
NA1_5250894461,2313,GameComplete,False,False
NA1_5250362386,2022,GameComplete,True,False
NA1_5249580555,2162,GameComplete,False,False
NA1_5249569525,1717,GameComplete,False,False
NA1_5248503299,1530,GameComplete,False,False
NA1_5248493755,1492,GameComplete,False,False
NA1_5248478963,1720,GameComplete,False,False
NA1_5248462882,1970,GameComplete,False,False
NA1_5248043164,1658,GameComplete,False,False
NA1_5247195884,959,GameComplete,True,False
NA1_5247186483,2156,GameComplete,False,False
NA1_5247181024,1675,GameComplete,False,False
NA1_5246803465,948,GameComplete,True,False
NA1_5246782523,1256,GameComplete,True,False
NA1_5246619423,1810,GameComplete,True,False
NA1_5246613479,1723,GameComplete,False,False
NA1_5246607754,1722,GameComplete,True,False
NA1_5246596518,918,GameComplete,True,False
NA1_5245521164,2030,GameComplete,False,False
NA1_5245511647,1960,GameComplete,False,False
NA1_5245504007,2196,GameComplete,False,False
NA1_5245493618,1217,GameComplete,True,False
NA1_5242703857,2186,GameComplete,False,False
NA1_5242678593,1656,GameComplete,False,False
NA1_5242657104,2441,GameComplete,False,False
NA1_5241910688,1882,GameComplete,False,False
NA1_5241902897,1810,GameComplete,False,False
NA1_5241887072,1629,GameComplete,False,False
NA1_5240780977,1806,GameComplete,False,False
NA1_5240773873,1364,GameComplete,False,False
NA1_5240531061,2025,GameComplete,False,False
NA1_5239110566,1770,GameComplete,False,False
NA1_5235005623,1567,GameComplete,False,False
NA1_5227697953,1734,GameComplete,False,False
NA1_5227638524,1861,GameComplete,False,False
NA1_5227499761,1837,GameComplete,False,False
NA1_5227213408,1650,GameComplete,True,False
NA1_5227211085,1243,GameComplete,False,False
NA1_5227203412,1719,GameComplete,False,False
NA1_5227192532,2308,GameComplete,False,False
NA1_5227177605,2227,GameComplete,False,False
NA1_5227165660,1753,GameComplete,False,False
NA1_5227144937,3058,GameComplete,False,False
NA1_5226841192,3236,GameComplete,False,False
NA1_5226818770,1656,GameComplete,False,False
NA1_5226786212,1877,GameComplete,False,False
NA1_5226767148,1491,GameComplete,True,False
