matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5253609798,UHft9s5rd1hcV5c1DQEQ8MB86wE-PAiJzHV5H8_fEpYk9ftJq-oYfIdwjv5n5rhhcP2xPG2qZ1LzfA,100,31,SOLO,TOP,3,7,2,58,False,False,174,1683,402,SILVER,II,3,7644
NA1_5253609798,XeWVngkygz3w0AJLZGY2MyITowpNBzC-6kLfN8R-Dm_ZxknJWUWXKW2zEzQMeWQCzWEsaJkG1YT6-A,100,222,NONE,JUNGLE,1,10,1,62,False,False,281,1683,641,PLATINUM,II,5,22521
NA1_5253609798,dGC70SbvFm-aUhxFWMcbPo0mfXhtpkswRtY0948p4bIoJW7GM5JaUCU4GHODyLTu41EKCcob1hpvZA,100,754,SOLO,MIDDLE,2,10,2,133,False,False,233,1683,358,GOLD,II,3,10919
NA1_5253609798,QGnWdYEK7BOhNeVEtUGI0-sf6GOH5kXpG8ZcQAIPn8NSWaGPl9k73_bzNtTW7_49Hd826XL3zuGF5w,100,512,CARRY,BOTTOM,2,4,2,18,False,False,96,1683,670,PLATINUM,IV,17,180535
NA1_5253609798,vIT1-MvK6fe9Tzk0RfdPdBy4UaBQ8Xv9O4Fwa3DaADOEuYvEeKzwc0vz-6Zo4L-tHFH2RksTVVTxSw,100,37,SUPPORT,UTILITY,2,2,1,143,False,False,40,1683,674,GOLD,III,9,66686
NA1_5253609798,pbkn-hl-BRGWmXd80IKyWZY2r5vqs4mbYOkaacIgkYMz0HJhsKHnrsXVGtRXgUuvcWzCAPrg8FN2zg,200,143,DUO,TOP,5,4,5,92,True,False,119,1683,419,PLATINUM,IV,75,799170
NA1_5253609798,1h6zQGZjGp9e72IB7-ntQf6cl8kv90oqQiitL0u0yOCXSMiMfT8Xgs3Z3zqSCyjuxYvQnP0TS-7KZA,200,590,NONE,JUNGLE,13,1,4,83,True,False,14,1683,437,PLATINUM,III,39,394676
NA1_5253609798,k63Pqnir3ZEoueH6-_ahA8jztO7WtgiC4c2SEgAI139VGdmabBrjAGCJ_iGXA-S7vMk8PNUlF00hHw,200,619,DUO,MIDDLE,9,2,5,103,True,False,86,1683,1146,GOLD,I,10,78154
NA1_5253609798,0gymRpP7Qe-d-D3shwdJnki7QXcF69kQKrAYv2qyRa6jUSSW7vCyLVgbvfx_d60Eb4oyM7fE1hqdXQ,200,343,CARRY,BOTTOM,4,2,3,221,True,False,53,1683,655,PLATINUM,II,7,49438
NA1_5253609798,NsMYVAyDe-8Cbex_B9o9UXTWECUoKmfz4hU_jR-x49NmTMYtvJN63reo0EkHDR35bip9VVwhh9FQ1Q,200,528,SUPPORT,UTILITY,2,1,15,40,True,False,16,1683,665,GOLD,II,4,15291
NA1_5253602391,pbkn-hl-BRGWmXd80IKyWZY2r5vqs4mbYOkaacIgkYMz0HJhsKHnrsXVGtRXgUuvcWzCAPrg8FN2zg,100,143,SOLO,TOP,1,4,1,92,False,False,137,1429,472,PLATINUM,IV,75,799170
NA1_5253602391,FjZzT2nepI2KSNK56yzX7LN5JfsY-9n7dzvNjT-wqEhVqo6rgQe5WwTiSZTzG-ONkg-YHQQuxsnszQ,100,62,NONE,JUNGLE,3,1,1,876,False,False,28,1429,718,SILVER,II,5,25115
NA1_5253602391,Unt35DzuD9cA6K3yFRMOByI-Q9Eyt5F7kn-bwzDjYbbcdP6MeLOza0rwL3HrDiErIw3NsHY1Uf5F-A,100,115,SOLO,MIDDLE,3,2,2,711,False,False,58,1429,539,PLATINUM,II,13,117454
NA1_5253602391,pkctNmiOUfCp5BUFPATCjMruELGKJ9zI5QDBZRJsByyAJdfD13RNn063xuRLBnq50TaBNQygCjVXPQ,100,111,CARRY,BOTTOM,0,6,2,67,False,False,140,1429,256,GOLD,I,35,890077
NA1_5253602391,g0ADhCOZnsy7jnI9n0_x-WLqBKUlg9myNzO0fNIR9JlZG1-Oy9tS4-GKilRbJKXHsn6uPf-a0qdPig,100,32,SUPPORT,UTILITY,1,4,1,80,False,False,62,1429,269,UNRANKED,UNRANKED,4,18386
NA1_5253602391,s8UpaTn-rTJlIYqm2qR3lNT-AxVg8hmqsSi968NqJ2vpdBiJzlUEahqGKBWN3ZvZONM8R_xKgKPN8w,200,358,SOLO,TOP,3,1,1,106,True,False,25,1429,581,GOLD,II,9,65006
NA1_5253602391,MdztV3hYZkMLturd-rNxV0niL_MDbZ-0D1-whtIb4vlktGRYhPE_NuPy9HOiwbWZLdJsBpJcz-UmgA,200,351,NONE,JUNGLE,8,1,1,62,True,False,16,1429,481,PLATINUM,III,3,9614
