puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
8JIqN4VXkIQEzHX1zzfj3yNTSbHPhqvzllbUnl0bAGexWagYYBID1lNKD0AlALjgExsqCCT4Kg-4Hw,63,SILVER,I,29,21,16,1.380952380952381,0.7619047619047619,1.7619047619047619,2.142857142857143,1.5,17,28,58,0.6071428571428571,2.0714285714285716,1.6428571428571428,2.6785714285714284,1.0
TUsoIoGlxBsLIiL61iijeKzrw-F89Sx_X5q-r_8yxmIKfcwNDSuxv_PEqYP_saOH0Rt1iJdo90F9KQ,713,SILVER,I,21,26,30,0.8076923076923077,1.1538461538461537,1.3846153846153846,1.9615384615384615,1.5,356,576,1018,0.6180555555555556,1.7673611111111112,1.5017361111111112,2.3854166666666665,1.0
zCQc25MkwnQ11oHxXmQ-mss-TNyIeyld-EsRPi2DfmszyEp-KSytwYA3T7KsPDkw4GCdb7-Bg5xc-A,262,SILVER,I,21,14,9,1.5,0.6428571428571429,1.8214285714285714,2.142857142857143,1.0,694,558,765,1.2437275985663083,1.3709677419354838,1.92921146953405,2.6146953405017923,0.8518518518518519
uSWVBfz3nkp5lS4ciJc3_ggXpEZJG-0xO_kDyYrPamKH5j4lKEYxoZYPqZWwPM-_SyAtlAYbk8g02g,8,UNRANKED,UNRANKED,36,34,42,1.0588235294117647,1.2352941176470589,1.6764705882352942,2.2941176470588234,0.6,,,,,,,,
etjuTHS8t30cJwKjEBcAJU6n9hux_GfoPHIQ-QkwHV9wyLd8i6ChY18DLV4uageg4FNWsroJRFafCA,23,UNRANKED,UNRANKED,17,3,18,5.666666666666667,6.0,8.666666666666666,11.666666666666666,1.0,,,,,,,,
4RAvslESoUve2ZcEuy4hsJNOPcquF6WbNDE8ry4YORSN17fqczE9T4hOlBjwoG0mPjWcvGXYl4nWbw,420,UNRANKED,UNRANKED,77,65,81,1.1846153846153846,1.2461538461538462,1.8076923076923077,2.4307692307692306,1.3333333333333333,685,729,714,0.9396433470507545,0.9794238683127572,1.429355281207133,1.9190672153635118,0.9607843137254902
zVcHnP1zXtRW3GQzxiFJySdHVSibjt8HKpvUEiO8vDwsLDT85Da_osTwfGmXNuW4u9gouUUAcYjXhA,11,UNRANKED,UNRANKED,11,40,22,0.275,0.55,0.55,0.825,0.5,,,,,,,,
z-WoTfePp5Ovktr7fS-I76tOyr4tLQynfjiyZnLCvkoYFEVz27W9dxuwKQZgz7Lwtdp9pEqgjPNbJg,444,BRONZE,II,231,569,778,0.40597539543058,1.367311072056239,1.0896309314586994,1.773286467486819,1.173913043478261,241,564,1142,0.42730496453900707,2.024822695035461,1.4397163120567376,2.452127659574468,0.8867924528301887
dTqyB-dabImb2y80dotYNE7XZUCfJt_QOI3qR95vKZNo71RVCNvZlGMe1oMQuyYpNmsTPQqkOcFnAw,6,UNRANKED,UNRANKED,3,34,6,0.08823529411764706,0.17647058823529413,0.17647058823529413,0.2647058823529412,0.5,,,,,,,,
pTY-5H2ogFlNVcnabU_iktxkJeHcvyKRg8xFLairNKe_CTxFzYI0_8Fz3Yu8FTZsWtLjo44ZNB2udg,244,SILVER,I,19,28,43,0.6785714285714286,1.5357142857142858,1.4464285714285714,2.2142857142857144,3.0,506,702,748,0.7207977207977208,1.0655270655270654,1.2535612535612535,1.7863247863247864,0.8518518518518519
