matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5209678908,1552,GameComplete,False,False
NA1_5209650364,1707,GameComplete,True,False
NA1_5209633875,1157,GameComplete,True,False
NA1_5206743293,1731,GameComplete,True,False
NA1_5206727151,1689,GameComplete,False,False
NA1_5206710891,1665,GameComplete,False,False
NA1_5082445740,2070,GameComplete,False,False
NA1_5082400214,2144,GameComplete,False,False
NA1_5069470875,1726,GameComplete,True,False
NA1_5069413193,1714,GameComplete,False,False
NA1_5069345056,2095,GameComplete,False,False
NA1_5068399939,1693,GameComplete,False,False
NA1_5068309486,2509,GameComplete,False,False
NA1_5068245003,2050,GameComplete,False,False
NA1_5068194401,1183,GameComplete,True,False
NA1_5012429235,1772,GameComplete,False,False
NA1_5012394207,1752,GameComplete,False,False
NA1_5012356383,1772,GameComplete,False,False
NA1_5009045936,2020,GameComplete,False,False
NA1_5009025360,1758,GameComplete,False,False
NA1_5009003556,1742,GameComplete,False,False
NA1_5008986236,1426,GameComplete,True,False
NA1_5007696824,1868,GameComplete,False,False
NA1_4983577179,2235,GameComplete,False,False
NA1_4983547646,1472,GameComplete,False,False
NA1_4983523165,1590,GameComplete,False,False
NA1_4980277466,1554,GameComplete,False,False
NA1_4980242547,2140,GameComplete,False,False
NA1_4980241113,104,GameComplete,False,True
NA1_4980213181,1424,GameComplete,True,False
NA1_4980172134,2197,GameComplete,False,False
NA1_4710280842,1898,,False,False
NA1_4710241303,1663,,True,False
NA1_4710202228,1710,,False,False
NA1_4704502132,1643,,False,False
NA1_4704469154,1427,,False,False
NA1_4704350869,2391,,False,False
NA1_4704299349,1876,,False,False
NA1_4704270761,1743,,False,False
NA1_4704137808,1570,,False,False
NA1_4704073456,1911,,True,False
NA1_4704044604,1589,,False,False
NA1_4670536281,1799,,False,False
NA1_4670503719,1383,,False,False
NA1_4670473483,1978,,False,False
NA1_5244416953,1829,GameComplete,False,False
NA1_5244398668,1691,GameComplete,False,False
NA1_5243719303,1707,GameComplete,False,False
NA1_5243717740,659,GameComplete,True,False
NA1_5242259313,2594,GameComplete,False,False
NA1_5242133874,2569,GameComplete,False,False
NA1_5241545810,1863,GameComplete,False,False
NA1_5240195901,1868,GameComplete,False,False
NA1_5239691111,1700,GameComplete,True,False
NA1_5238527489,1919,GameComplete,True,False
NA1_5238119251,1568,GameComplete,False,False
NA1_5237273774,2043,GameComplete,False,False
NA1_5236760712,2090,GameComplete,False,False
NA1_5236739428,2074,GameComplete,False,False
NA1_5236309505,2196,GameComplete,True,False
NA1_5236273427,2082,GameComplete,False,False
NA1_5234874229,1800,GameComplete,False,False
NA1_5231091133,1322,GameComplete,False,False
NA1_5226189049,2047,GameComplete,False,False
NA1_5224700537,1818,GameComplete,False,False
NA1_5223811383,2162,GameComplete,True,False
NA1_5221776490,2080,GameComplete,False,False
NA1_5221223124,1840,GameComplete,True,False
NA1_5220989556,2024,GameComplete,False,False
NA1_5220541660,2666,GameComplete,False,False
NA1_5220494466,1922,GameComplete,False,False
NA1_5220290075,1218,GameComplete,True,False
NA1_5219665858,1823,GameComplete,False,False
NA1_5219635868,1272,GameComplete,True,False
NA1_5219595850,2191,GameComplete,False,False
NA1_5219551150,2454,GameComplete,False,False
NA1_5219404581,1988,GameComplete,False,False
NA1_5219090742,2072,GameComplete,False,False
NA1_5219032973,2497,GameComplete,False,False
NA1_5218854889,2624,GameComplete,True,False
NA1_5218742888,1437,GameComplete,True,False
NA1_5218641324,1981,GameComplete,False,False
NA1_5218200953,2396,GameComplete,False,False
NA1_5211364162,1611,GameComplete,False,False
NA1_5211321653,2162,GameComplete,False,False
NA1_5211264767,1622,GameComplete,True,False
NA1_5210963800,2047,GameComplete,False,False
NA1_5210675760,1622,GameComplete,False,False
NA1_5210640616,1585,GameComplete,False,False
NA1_5210613305,1367,GameComplete,False,False
NA1_5210403266,2560,GameComplete,True,False
NA1_5210166806,2399,GameComplete,False,False
NA1_5206124954,998,GameComplete,True,False
NA1_5206097166,2227,GameComplete,False,False
NA1_5206054506,1667,GameComplete,False,False
NA1_5205949301,1811,GameComplete,False,False
NA1_5205389852,1680,GameComplete,False,False
NA1_5205314196,1721,GameComplete,False,False
NA1_5205288573,1467,GameComplete,False,False
NA1_5205281447,103,GameComplete,False,True
NA1_5204994794,1842,GameComplete,False,False
NA1_5204348127,2076,GameComplete,False,False
NA1_5204326563,1792,GameComplete,False,False
NA1_5204312770,1713,GameComplete,False,False
NA1_5204032249,1742,GameComplete,True,False
NA1_5204000039,1610,GameComplete,False,False
NA1_5203954080,2192,GameComplete,False,False
NA1_5203863433,2359,GameComplete,False,False
NA1_5203190366,2073,GameComplete,False,False
NA1_5201962718,2401,GameComplete,False,False
NA1_5201956232,1931,GameComplete,False,False
NA1_5201818053,1969,GameComplete,False,False
NA1_5201791374,1763,GameComplete,False,False
NA1_5200073689,2027,GameComplete,False,False
NA1_5200043859,1990,GameComplete,False,False
NA1_5200021189,940,GameComplete,True,False
NA1_5199976096,1887,GameComplete,False,False
NA1_5199909673,3489,GameComplete,False,False
NA1_5199873884,2503,GameComplete,False,False
NA1_5199854802,1430,GameComplete,True,False
NA1_5198548419,1819,GameComplete,False,False
NA1_5198312329,1924,GameComplete,False,False
NA1_5198229857,1852,GameComplete,False,False
NA1_5198090062,2208,GameComplete,False,False
NA1_5197804737,2140,GameComplete,False,False
NA1_5196871989,1688,GameComplete,False,False
NA1_5196841463,1390,GameComplete,False,False
NA1_5196800451,2508,GameComplete,False,False
NA1_5196560145,2441,GameComplete,False,False
NA1_5196538537,2192,GameComplete,False,False
NA1_5196537172,165,GameComplete,False,True
NA1_5195889998,1689,GameComplete,False,False
NA1_5195815691,1675,GameComplete,True,False
NA1_5195198999,1057,GameComplete,True,False
NA1_5195178102,1201,GameComplete,True,False
NA1_5195169610,110,GameComplete,False,True
NA1_5194269148,2040,GameComplete,False,False
NA1_5194259378,179,GameComplete,False,True
NA1_5194013943,2050,GameComplete,False,False
NA1_5193982376,2153,GameComplete,True,False
NA1_5193920587,3177,GameComplete,False,False
NA1_5193878548,2152,GameComplete,False,False
NA1_5193851761,1569,GameComplete,True,False
NA1_5193790548,1917,GameComplete,False,False
NA1_5193513399,1981,GameComplete,False,False
NA1_5246612934,1641,GameComplete,False,False
NA1_5246600491,2018,GameComplete,False,False
NA1_5246344886,2255,GameComplete,False,False
NA1_5246319331,1896,GameComplete,False,False
NA1_5246297539,1654,GameComplete,False,False
NA1_5246275387,2175,GameComplete,True,False
NA1_5246259895,1718,GameComplete,False,False
NA1_5246239336,1639,GameComplete,False,False
NA1_5246224648,1510,GameComplete,True,False
NA1_5246205864,2317,GameComplete,True,False
NA1_5246177736,2158,GameComplete,True,False
NA1_5246056464,2262,GameComplete,False,False
NA1_5246046186,1442,GameComplete,True,False
NA1_5246039679,114,GameComplete,False,True
NA1_5246028732,999,GameComplete,True,False
NA1_5245904945,1906,GameComplete,False,False
NA1_5245882291,1459,GameComplete,True,False
NA1_5245856131,1827,GameComplete,True,False
NA1_5245831342,1582,GameComplete,False,False
NA1_5245805879,1806,GameComplete,False,False
NA1_5245794880,562,GameComplete,True,False
NA1_5245306462,2264,GameComplete,False,False
NA1_5245279357,1613,GameComplete,False,False
NA1_5245254544,1710,GameComplete,False,False
NA1_5245202898,1702,GameComplete,False,False
NA1_5244311564,2261,GameComplete,False,False
NA1_5244305031,1457,GameComplete,True,False
NA1_5244257989,1916,GameComplete,False,False
NA1_5244238904,1745,GameComplete,False,False
NA1_5244214421,1740,GameComplete,False,False
NA1_5244176826,2175,GameComplete,False,False
NA1_5244136269,2080,GameComplete,False,False
NA1_5244027435,1457,GameComplete,False,False
NA1_5243981770,1513,GameComplete,False,False
NA1_5242414238,1867,GameComplete,False,False
NA1_5242397087,1571,GameComplete,False,False
NA1_5242273255,945,GameComplete,True,False
NA1_5242240683,1971,GameComplete,False,False
NA1_5241870959,2436,GameComplete,False,False
NA1_5241849958,2113,GameComplete,False,False
NA1_5241828741,1995,GameComplete,False,False
NA1_5241799521,1923,GameComplete,False,False
NA1_5241717452,1840,GameComplete,False,False
NA1_5241363398,1619,GameComplete,False,False
NA1_5241354606,2150,GameComplete,False,False
NA1_5241352874,1558,GameComplete,False,False
NA1_5241344780,1516,GameComplete,False,False
NA1_5241333830,1899,GameComplete,False,False
NA1_5241322955,1675,GameComplete,False,False
NA1_5241316405,103,GameComplete,False,True
NA1_5241300326,1863,GameComplete,False,False
NA1_5241282360,1660,GameComplete,False,False
NA1_5241277352,112,GameComplete,False,True
NA1_5241254794,1865,GameComplete,False,False
NA1_5241137581,3030,GameComplete,False,False
NA1_5241116159,1520,GameComplete,True,False
NA1_5241087249,1923,GameComplete,False,False
NA1_5241063227,1836,GameComplete,False,False
NA1_5240737334,2416,GameComplete,False,False
NA1_5240701662,2014,GameComplete,False,False
NA1_5240674709,2107,GameComplete,False,False
NA1_5240433584,2071,GameComplete,False,False
NA1_5240409414,1978,GameComplete,False,False
NA1_5240382326,2194,GameComplete,False,False
NA1_5240287400,1680,GameComplete,False,False
NA1_5240276821,1202,GameComplete,False,False
NA1_5240135029,1846,GameComplete,False,False
NA1_5240129027,1352,GameComplete,False,False
NA1_5240123695,101,GameComplete,False,True
NA1_5240111598,2198,GameComplete,False,False
NA1_5240098491,1745,GameComplete,False,False
NA1_5239895042,1193,GameComplete,True,False
NA1_5239715083,2593,GameComplete,False,False
NA1_5239663642,2945,GameComplete,False,False
NA1_5239636017,2646,GameComplete,False,False
NA1_5239631185,129,GameComplete,False,True
NA1_5244045105,2654,GameComplete,False,False
NA1_5244027140,1465,GameComplete,False,False
NA1_5242680997,2619,GameComplete,False,False
NA1_5242374455,2842,GameComplete,True,False
NA1_5211879659,1712,GameComplete,False,False
NA1_5211849154,2817,GameComplete,False,False
NA1_5211829579,1315,GameComplete,False,False
NA1_5211813095,1793,GameComplete,False,False
NA1_5211785659,2271,GameComplete,False,False
NA1_5211734957,1809,GameComplete,False,False
NA1_5211722302,1848,GameComplete,False,False
NA1_5211708581,1934,GameComplete,False,False
NA1_5211682858,1720,GameComplete,False,False
NA1_5211674897,2070,GameComplete,False,False
NA1_5211066923,1743,GameComplete,False,False
NA1_5210694524,1783,GameComplete,False,False
NA1_5210392595,2058,GameComplete,False,False
NA1_5210321398,2066,GameComplete,False,False
NA1_5210301072,1686,GameComplete,False,False
NA1_5210291411,116,GameComplete,False,True
NA1_5210266444,1988,GameComplete,False,False
NA1_5210243912,1914,GameComplete,False,False
NA1_5210149254,2168,GameComplete,False,False
NA1_5210136324,1896,GameComplete,False,False
NA1_5210126694,2084,GameComplete,False,False
NA1_5210125012,1563,GameComplete,True,False
NA1_5209872824,1716,GameComplete,False,False
NA1_5209843795,1524,GameComplete,False,False
NA1_5209563841,1874,GameComplete,False,False
NA1_5209403951,2196,GameComplete,False,False
NA1_5209386302,2507,GameComplete,False,False
NA1_5209365417,1164,GameComplete,True,False
NA1_5209356994,1963,GameComplete,True,False
NA1_5208860326,1881,GameComplete,False,False
NA1_5208836406,1581,GameComplete,True,False
NA1_5208821460,1159,GameComplete,True,False
NA1_5208798680,1984,GameComplete,False,False
NA1_5208781524,1432,GameComplete,True,False
NA1_5208763579,1787,GameComplete,False,False
NA1_5208683015,1626,GameComplete,False,False
NA1_5208376231,1828,GameComplete,False,False
NA1_5208335613,2126,GameComplete,False,False
NA1_5208304736,1740,GameComplete,False,False
NA1_5208292150,104,GameComplete,False,True
NA1_5208256903,2131,GameComplete,False,False
NA1_5208200260,2257,GameComplete,False,False
NA1_5208177253,1874,GameComplete,False,False
NA1_5208155987,1764,GameComplete,False,False
NA1_5208084725,2161,GameComplete,False,False
NA1_5208072061,1888,GameComplete,True,False
NA1_5208055341,1517,GameComplete,False,False
NA1_5207959788,1838,GameComplete,False,False
NA1_5207949399,1821,GameComplete,False,False
NA1_5207939117,1834,GameComplete,False,False
NA1_5207934757,2198,GameComplete,False,False
NA1_5207479617,1708,GameComplete,False,False
NA1_5207460354,1847,GameComplete,False,False
NA1_5207441065,2000,GameComplete,False,False
NA1_5207422210,1766,GameComplete,False,False
NA1_5207402188,1981,GameComplete,False,False
NA1_5207390995,1166,GameComplete,True,False
NA1_5207275820,3099,GameComplete,False,False
NA1_5207267111,1965,GameComplete,True,False
NA1_5207260198,1737,GameComplete,False,False
NA1_5207250150,1743,GameComplete,False,False
NA1_5206728778,2501,GameComplete,False,False
NA1_5206712793,1728,GameComplete,False,False
NA1_5206699127,1340,GameComplete,True,False
NA1_5206558005,1924,GameComplete,False,False
NA1_5206546075,1850,GameComplete,False,False
NA1_5206533527,1719,GameComplete,False,False
NA1_5206521991,1524,GameComplete,False,False
NA1_5206519247,101,GameComplete,False,True
NA1_5206464230,1664,GameComplete,False,False
NA1_5206426531,2427,GameComplete,False,False
NA1_5206398376,1824,GameComplete,False,False
NA1_5206358795,1510,GameComplete,True,False
NA1_5206018534,1020,GameComplete,True,False
NA1_5205969350,1747,GameComplete,False,False
NA1_5205952594,2089,GameComplete,False,False
NA1_5205911781,1724,GameComplete,False,False
NA1_5205902169,1723,GameComplete,False,False
NA1_5205895839,1753,GameComplete,True,False
NA1_5205885468,2691,GameComplete,False,False
NA1_5205880958,1922,GameComplete,False,False
NA1_5205878376,106,GameComplete,False,True
NA1_5205857790,2045,GameComplete,False,False
NA1_5205845743,2463,GameComplete,False,False
NA1_5205817398,3094,GameComplete,True,False
NA1_5205761192,1854,GameComplete,False,False
NA1_5205737015,1540,GameComplete,True,False
NA1_5205664767,1791,GameComplete,True,False
NA1_5205627665,1599,GameComplete,False,False
NA1_5205609940,913,GameComplete,True,False
NA1_5205568838,2089,GameComplete,False,False
NA1_5205514402,3005,GameComplete,False,False
NA1_5205482037,1875,GameComplete,False,False
NA1_5205448095,1956,GameComplete,False,False
NA1_5205409214,2422,GameComplete,False,False
NA1_5205359230,2354,GameComplete,False,False
NA1_5177322655,2047,GameComplete,False,False
NA1_5177003130,1405,GameComplete,True,False
NA1_5176844297,2345,GameComplete,False,False
NA1_5176416580,2350,GameComplete,False,False
NA1_5176137590,1698,GameComplete,False,False
NA1_5165302039,1953,GameComplete,False,False
NA1_5163576980,1880,GameComplete,True,False
NA1_5163387210,2061,GameComplete,False,False
NA1_5163310689,1790,GameComplete,False,False
NA1_5163168242,2333,GameComplete,True,False
NA1_5163120716,1744,GameComplete,False,False
NA1_5162949958,1670,GameComplete,False,False
NA1_5162394162,1639,GameComplete,True,False
NA1_5162181973,1487,GameComplete,True,False
NA1_5162033648,2443,GameComplete,False,False
NA1_5161927173,1870,GameComplete,False,False
NA1_5161895530,1212,GameComplete,False,False
NA1_5161633510,1946,GameComplete,False,False
NA1_5160276301,2331,GameComplete,False,False
NA1_5160197347,1442,GameComplete,False,False
NA1_5160126797,2436,GameComplete,False,False
NA1_5160052422,1424,GameComplete,False,False
NA1_5159929378,1763,GameComplete,False,False
NA1_5159185173,1868,GameComplete,False,False
NA1_5159067845,2531,GameComplete,False,False
NA1_5158977176,1775,GameComplete,False,False
NA1_5158308963,1881,GameComplete,True,False
NA1_5158182664,1792,GameComplete,False,False
NA1_5158100065,1085,GameComplete,False,False
NA1_5157964777,1709,GameComplete,False,False
NA1_5157577363,1741,GameComplete,True,False
NA1_5157342549,1411,GameComplete,False,False
NA1_5156913969,2411,GameComplete,False,False
NA1_5156867912,1320,GameComplete,False,False
NA1_5156841559,1192,GameComplete,True,False
NA1_5156097454,2692,GameComplete,True,False
NA1_5155991575,2052,GameComplete,False,False
NA1_5155966245,1244,GameComplete,False,False
NA1_5155551526,2039,GameComplete,False,False
NA1_5155365917,1925,GameComplete,False,False
NA1_5155299420,2429,GameComplete,False,False
NA1_5155248739,2265,GameComplete,False,False
NA1_5154549784,2084,GameComplete,False,False
NA1_5153903612,1533,GameComplete,True,False
NA1_5153897469,104,GameComplete,False,True
NA1_5153750116,2761,GameComplete,False,False
NA1_5151964939,1510,GameComplete,True,False
NA1_5151814486,2704,GameComplete,False,False
NA1_5098195147,1406,GameComplete,False,False
NA1_5097323490,1371,GameComplete,False,False
NA1_5096084522,1654,GameComplete,False,False
NA1_5092196860,1922,GameComplete,False,False
NA1_5092091867,2165,GameComplete,False,False
NA1_5091647005,1271,GameComplete,False,False
NA1_5090108203,1567,GameComplete,False,False
NA1_5088722784,1326,GameComplete,False,False
NA1_5087776412,1546,GameComplete,False,False
NA1_5087106957,2191,GameComplete,False,False
NA1_5083287044,1679,GameComplete,True,False
NA1_5083117306,1685,GameComplete,False,False
NA1_5082015601,2323,GameComplete,False,False
NA1_5081938781,2156,GameComplete,False,False
NA1_5081861173,2127,GameComplete,False,False
NA1_5081826729,1218,GameComplete,True,False
NA1_5081181021,2315,GameComplete,False,False
NA1_5081067256,2627,GameComplete,False,False
NA1_5080098128,1671,GameComplete,False,False
NA1_5079986662,2104,GameComplete,False,False
NA1_5077080528,2111,GameComplete,False,False
NA1_5075997990,2184,GameComplete,False,False
NA1_5075826160,2829,GameComplete,False,False
NA1_5075398889,2201,GameComplete,False,False
NA1_5074490443,1921,GameComplete,False,False
NA1_5072208530,1298,GameComplete,True,False
NA1_5072065054,1671,GameComplete,True,False
NA1_5070841484,2011,GameComplete,False,False
NA1_5070660937,1750,GameComplete,False,False
NA1_5068502963,1816,GameComplete,False,False
NA1_5067026446,1772,GameComplete,False,False
NA1_5066930200,2005,GameComplete,False,False
NA1_5066832488,1534,GameComplete,False,False
NA1_5066476913,1977,GameComplete,False,False
NA1_5066237930,1948,GameComplete,False,False
NA1_5065483581,1211,GameComplete,False,False
NA1_5065051690,1322,GameComplete,True,False
NA1_5064983634,1502,GameComplete,False,False
NA1_5062313574,1856,GameComplete,False,False
NA1_5062160500,1911,GameComplete,False,False
NA1_5062076143,1614,GameComplete,False,False
NA1_5061909546,2251,GameComplete,False,False
NA1_5060589597,1745,GameComplete,False,False
NA1_5060364928,1511,GameComplete,False,False
NA1_5060287050,1096,GameComplete,True,False
NA1_5060122082,1347,GameComplete,True,False
NA1_5058624552,2410,GameComplete,False,False
NA1_5058387135,1685,GameComplete,True,False
NA1_5058039632,1413,GameComplete,True,False
NA1_5056608935,1765,GameComplete,False,False
NA1_5056461278,1605,GameComplete,False,False
NA1_5056300342,1481,GameComplete,False,False
NA1_5245840183,1321,GameComplete,False,False
NA1_5245818531,1483,GameComplete,False,False
NA1_5245783234,2300,GameComplete,False,False
NA1_5245748501,3179,GameComplete,False,False
NA1_5245725964,2374,GameComplete,False,False
NA1_5245712699,1021,GameComplete,True,False
NA1_5245311420,2627,GameComplete,False,False
NA1_5245283260,1977,GameComplete,False,False
NA1_5245253356,2130,GameComplete,False,False
NA1_5245223885,1932,GameComplete,False,False
NA1_5245189592,2790,GameComplete,False,False
NA1_5244812016,2688,GameComplete,False,False
NA1_5244785509,1709,GameComplete,False,False
NA1_5244752647,2154,GameComplete,False,False
NA1_5244723027,2073,GameComplete,False,False
NA1_5244659425,2456,GameComplete,True,False
NA1_5244638346,1501,GameComplete,False,False
NA1_5244612171,2066,GameComplete,False,False
NA1_5244579643,2275,GameComplete,False,False
