matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5209678908,4l6uoPR3LgQ_uyTsmTgvE_AdhBJLYZt00GcDyJkXSAPIGSS6qV9CjGsDYB6TeX2Fm3dikzV8GeQV_w,100,343,SOLO,TOP,6,7,2,82,False,False,177,1552,381,BRONZE,II,45,696157
NA1_5209678908,FCSjJTHBY53KBkpbO-mgu8R2c1AAscThyyZsWwHXFdKuGQ6hMFI6NeJinEEPReyE3pCAZeoeVwWDbQ,100,33,NONE,JUNGLE,2,6,2,11,False,False,182,1552,529,UNRANKED,UNRANKED,4,13440
NA1_5209678908,WrLXyyH2gYRiGbNRfSpFZmrxJqiLLoKZ8LSDnzQYCE6INSY2aNBN7Ja9_kwCbf1T7i9hl8BB7lMAvQ,100,746,SOLO,MIDDLE,2,8,2,112,False,False,209,1552,474,PLATINUM,III,9,69570
NA1_5209678908,fJcgleGYYD3-N3ekSu8Kv_0zqrzabM6IFVHFc_ClG2PkKQcEgUrKeUk57daTEMb2cT9QWs6IvQd72w,100,193,CARRY,BOTTOM,0,2,0,145,False,False,36,1552,1264,SILVER,IV,4,18835
NA1_5209678908,W8Sr7YCVrCRYoViBmOLSl8yUlRdmAupjEJ14NKcOoyVrRGLUiJhSsp5dBocCD-Su52PQq_r3y43Wcw,100,339,SUPPORT,UTILITY,0,5,0,117,False,False,144,1552,910,BRONZE,IV,3,6289
NA1_5209678908,Emd45ZrtMDFDtwxHx9fig4sqoSr2QiAsmN76FESxqdgh268qL9HnH5cIBSQIrsG4iAUFy6doV6mSWw,200,143,SOLO,TOP,9,6,1,86,True,False,180,1552,441,BRONZE,II,8,60511
NA1_5209678908,8JIqN4VXkIQEzHX1zzfj3yNTSbHPhqvzllbUnl0bAGexWagYYBID1lNKD0AlALjgExsqCCT4Kg-4Hw,200,64,SUPPORT,JUNGLE,3,3,11,120,True,False,77,1552,1014,SILVER,I,3,9025
NA1_5209678908,eeeJiDl0wUcAsJE5-_qAqtrldvGipXIe9Q6TobhEBFN1Qqi9C3CgIEvayKfQC5pP-gzb3o-2joNstA,200,89,CARRY,MIDDLE,8,1,5,127,True,False,35,1552,944,BRONZE,III,9,75314
NA1_5209678908,tXqrOFOv1NEP-sS1RBS_9ESuGWeACEANYuwL8nN9aNjKvfox9O6wpO6jtpjSJeMJlyX5h3JN7E2Zvw,200,39,CARRY,BOTTOM,6,0,3,81,True,False,0,1552,0,UNRANKED,UNRANKED,3,9924
NA1_5209678908,ZjHgtD5mQMu_HUd45hShqkepXF3fyZZvYoc95VdA1Qp9eM0YwjobuEqYbpbs61qtTq9eKPYMCRSC_g,200,176,SUPPORT,UTILITY,2,0,7,267,True,False,0,1552,0,GOLD,IV,17,169867
NA1_5209650364,SVU6fd60FqCx3GJyqJVTUmfoexFHwvo__GzQboqN4UfpJJLif5OlylTLs0bbQlS1onw9WUilw6tSMw,100,402,NONE,TOP,1,8,3,164,False,False,255,1707,482,GOLD,III,6,32159
NA1_5209650364,8JIqN4VXkIQEzHX1zzfj3yNTSbHPhqvzllbUnl0bAGexWagYYBID1lNKD0AlALjgExsqCCT4Kg-4Hw,100,64,NONE,JUNGLE,3,9,5,234,False,False,280,1707,600,SILVER,I,1,757
NA1_5209650364,eeeJiDl0wUcAsJE5-_qAqtrldvGipXIe9Q6TobhEBFN1Qqi9C3CgIEvayKfQC5pP-gzb3o-2joNstA,100,89,SOLO,MIDDLE,2,4,3,157,False,False,88,1707,679,BRONZE,III,12,124105
NA1_5209650364,CDxX0r2bzjj38K5lUpDYG-awHiia9BxjxrSDqzmMpkzbkHm0lsac7liGhrI-euuF_1QeVr9qF6_sIg,100,510,CARRY,BOTTOM,16,9,0,51,False,False,236,1707,355,SILVER,II,12,99305
NA1_5209650364,UAhRv7RyG6X2xEjvIbWW_ZkyOdAKCihI_HsqV4--c_n3pGzoeeDDJ9bhrwjAh27MkD4yOY_ke2kLUQ,100,290,SUPPORT,UTILITY,0,7,15,267,False,False,158,1707,441,BRONZE,II,11,94160
NA1_5209650364,I6xJ43UmQMGpYtfSmet2ZfARhD2UnlsTGcmvjITORIHcafPsfvMPTJ1Z_Uid6zw-ey515NG_-kjdTA,200,323,SOLO,TOP,8,3,7,79,True,False,66,1707,674,GOLD,III,5,24481
NA1_5209650364,vyk11pWN67Jb7CmXkmCaQPxZ4i8cGIGTP4VK7PhH5FTMaWxRcF1w-OVpHZatQVNS2TPYZPzX9R1lNA,200,545,NONE,JUNGLE,6,5,12,254,True,False,93,1707,562,BRONZE,I,6,34063
NA1_5209650364,B1DURkUvW94DMjiGVFRMUqveMLZdygAKrOy8uSasD__iDDfPjLnxvi7KFh2_qvfbND5mbAEBji95HQ,200,161,SOLO,MIDDLE,9,2,13,91,True,False,50,1707,987,BRONZE,I,3,11413
NA1_5209650364,vEPWbuMYJsnIXjWT9HI8BjHhxHOzhZXoHrSI3knsXi7hHMdmbWYDbuo23K3tuWiDLXVjVolQB2ZZwQ,200,620,CARRY,BOTTOM,10,7,9,110,True,False,155,1707,300,SILVER,II,13,157747
NA1_5209650364,V7u7R9GkmYa1L8bbkS9HjRHututK1pNTbApRw4UZyqjgcMe7-AJIotucCLC0zQl_KvdLBmOZksubbQ,200,768,SUPPORT,UTILITY,4,5,22,526,True,False,102,1707,308,BRONZE,I,5,22126
NA1_5209633875,OghoSVZj1TzVk1pdbOr-lcXjl2855QcIAZu1KdsrjuJZngcg-MaVvRCNIN4NlbCdoTL4s61B5hX1yg,100,71,SUPPORT,TOP,1,5,1,54,False,False,54,1157,568,SILVER,IV,8,60741
NA1_5209633875,8JIqN4VXkIQEzHX1zzfj3yNTSbHPhqvzllbUnl0bAGexWagYYBID1lNKD0AlALjgExsqCCT4Kg-4Hw,100,64,SUPPORT,JUNGLE,9,4,0,82,False,False,105,1157,420,SILVER,I,1,631
NA1_5209633875,eeeJiDl0wUcAsJE5-_qAqtrldvGipXIe9Q6TobhEBFN1Qqi9C3CgIEvayKfQC5pP-gzb3o-2joNstA,100,89,SUPPORT,MIDDLE,0,6,5,127,False,False,129,1157,440,BRONZE,III,9,75314
NA1_5209633875,VgdQQJbnsrJdirXjpswCjEh9SI8a024C7mK5G4H_JP23wLYdoB8sj2ppihGkhI4ed9GqfWRtv-8aog,100,338,DUO,BOTTOM,1,3,2,222,False,False,68,1157,622,UNRANKED,UNRANKED,27,295194
NA1_5209633875,_r6fCEzlhMswERidUelerKeW38X75LD8oSoos-F-5DRWOGaSJuPKUhyxEZZaYePHSNJUOKpkPPF6Jw,100,175,SUPPORT,UTILITY,1,5,2,555,False,False,97,1157,508,IRON,II,5,23219
NA1_5209633875,9vmQLGtk21nVHseBfP00KJo-PodAp3exb7AEudgDNQuX8LKLdBgub9E-OIj2nx_Ww2bRWJzrAuBztg,200,551,SUPPORT,TOP,13,2,1,27,True,False,49,1157,729,GOLD,I,62,741104
NA1_5209633875,Ry9s8lwpHYbYIwyBI6Cme546gnVDVdw99KUi5fyxdzpljN3cj8Rfzsd_5b9UH0uIM5G0KQnv87zhHg,200,424,SUPPORT,JUNGLE,2,5,4,233,True,False,117,1157,561,BRONZE,I,31,433648
NA1_5209633875,ny4B0RZXE1bf0B6M3pW_g_nCKgfFv9y7SGucizMUWIGYXxMzxF7mZzaSEfkE9T8st3WqF8ieXkkqDQ,200,603,SUPPORT,MIDDLE,4,3,4,134,True,False,82,1157,555,GOLD,IV,15,164312
NA1_5209633875,yx4oZ5evVgb-i2gJZ236uEWXPB3uL-l7_9UhWMWr9k-3lME77S6QIUlnxciKcfeOmeGIypARWNEU9A,200,175,SUPPORT,BOTTOM,3,2,2,21,True,False,60,1157,783,SILVER,IV,4,13252
NA1_5209633875,Nzvysnc2XMCrrwLNboOdNXePmFM_jyubhxTwcEt8Pl-aZmbITrewsYrSJqueNd_AASinsrT7A7jelg,200,667,SUPPORT,UTILITY,1,0,7,12,True,False,0,1157,0,SILVER,I,10,84441
NA1_5206743293,w4gygl7X7Z4Bviun6Cd6ybkaITS9Gn8PBtdc0GF2F7AgO86rRrRgOMJF1BfOCACme05PixrcezuviQ,100,392,SOLO,TOP,11,2,10,82,True,False,59,1731,989,GOLD,II,14,122829
NA1_5206743293,fLlupYCh7zEtV3kaH78FicAN_utu0wgt5PpTxT5zDFk2RBYm8tSYuvwdKpY8pGsmUEclDcdn2neJOw,100,68,NONE,JUNGLE,7,7,14,64,True,False,161,1731,348,SILVER,II,5,27635
NA1_5206743293,o3lHUm4_CFEDHbLjlMzwJWFKBrJYw2mkoLiyjTCJZdqqqC8zb7agHCi6FaMchOXy8nJC06xcYk8n5w,100,371,SOLO,MIDDLE,6,3,15,136,True,False,116,1731,773,PLATINUM,IV,3,10621
NA1_5206743293,srp-uvU_fqlj1DLrfnZpYOByT_zIKEvWuVu-tVDJqMPtoJ_mbxS7zBbXCoX4O2o2HXiyzwWwUqFY-g,100,49,CARRY,BOTTOM,10,3,7,21,True,False,81,1731,480,GOLD,I,3,12122
NA1_5206743293,UGxPDLUF9EABN8AA_n0ulUVvz3YkG0vQYJKBrVwWhBWOdM5IJiU80fXhdCpMmwdszu8NaZpuCsM9Yw,100,414,SUPPORT,UTILITY,2,1,21,526,True,False,20,1731,816,SILVER,I,3,11589
NA1_5206743293,yhcejw7dBupNQTtGGafgY-WUsMwd5lnKPpeucxlrJM2PcZGjb4DDcwWJ9yUdbviPRPRy5BEARIy9LQ,200,61,SOLO,TOP,1,7,5,122,False,False,146,1731,397,GOLD,I,5,23662
NA1_5206743293,KtdI18T7FxkwuozsEsGECMK8iC3r1FUxQsKFV61_o83-uQ_lnNFI9cx4xRJrpk4_y5XRKqi4Q37E1w,200,216,NONE,JUNGLE,5,7,5,102,False,False,200,1731,441,EMERALD,IV,19,181502
NA1_5206743293,pgJe4MwKMRBlNoSqKd-SsmuDtfNTmvcxOwkjERqtJ92NwpeQpraSDoIwCB0qhsuzG-5px4afWwCwJg,200,750,SOLO,MIDDLE,4,6,7,893,False,False,166,1731,598,GOLD,IV,4,15642
NA1_5206743293,8qYS_ON9l787bKue7PmqqA15ZiXhFGTEtF0f3QiM6BMkuwUvfg49Ib2ZFCpZ6lVmwTiz8aHlIhaLMg,200,148,CARRY,BOTTOM,5,8,5,895,False,False,225,1731,441,UNRANKED,UNRANKED,3,9290
