matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5204751009,1587,GameComplete,True,False
NA1_5204724228,1361,GameComplete,False,False
NA1_5204693734,1440,GameComplete,True,False
NA1_5204674389,1122,GameComplete,True,False
NA1_5204649774,1798,GameComplete,False,False
NA1_5204962318,1648,GameComplete,True,False
NA1_5204941339,1504,GameComplete,False,False
NA1_5204909530,2017,GameComplete,False,False
NA1_5204873045,2166,GameComplete,False,False
NA1_5204841616,1723,GameComplete,True,False
NA1_5204713126,2252,GameComplete,False,False
NA1_5204688575,1325,GameComplete,True,False
NA1_5225923051,1430,GameComplete,False,False
NA1_5225902530,1713,GameComplete,False,False
NA1_5225886620,1651,GameComplete,False,False
NA1_5224584369,1226,GameComplete,True,False
NA1_5204861105,1477,GameComplete,False,False
NA1_5245183560,1400,GameComplete,True,False
NA1_5245170947,1295,GameComplete,True,False
NA1_5245164006,486,GameComplete,True,False
NA1_5225994921,376,GameComplete,True,False
NA1_5225977367,1233,GameComplete,False,False
NA1_5225957796,1925,GameComplete,False,False
NA1_5210762616,1695,GameComplete,False,False
NA1_5210734761,1646,GameComplete,True,False
NA1_5211994574,2102,GameComplete,False,False
NA1_5211974163,1317,GameComplete,True,False
NA1_5210760761,122,GameComplete,False,True
NA1_5210314654,1748,GameComplete,False,False
NA1_5210285695,2093,GameComplete,False,False
NA1_5210271270,1355,GameComplete,True,False
NA1_5209983590,1430,GameComplete,False,False
NA1_5212907279,1710,GameComplete,True,False
NA1_5212732114,1799,GameComplete,False,False
NA1_5211439880,1228,GameComplete,False,False
NA1_5211315611,1624,GameComplete,True,False
NA1_5211091036,933,GameComplete,True,False
NA1_5210607909,1800,GameComplete,False,False
NA1_5210523374,1595,GameComplete,True,False
NA1_5210518655,117,GameComplete,False,True
NA1_5210476227,1947,GameComplete,False,False
NA1_5210445264,1697,GameComplete,False,False
NA1_5209953788,1826,GameComplete,False,False
NA1_5209749617,2061,GameComplete,False,False
NA1_5209748891,111,GameComplete,False,True
NA1_5207054719,1204,GameComplete,True,False
NA1_5207031972,1502,GameComplete,True,False
NA1_5205361662,1389,GameComplete,False,False
NA1_5203194824,2373,GameComplete,False,False
NA1_5246883396,1891,GameComplete,False,False
NA1_5246862621,1801,GameComplete,False,False
NA1_5246483016,1847,GameComplete,False,False
NA1_5246451694,1393,GameComplete,False,False
NA1_5246433652,1369,GameComplete,True,False
NA1_5246429704,104,GameComplete,False,True
NA1_5246414351,1224,GameComplete,False,False
NA1_5246385780,1434,GameComplete,False,False
NA1_5246367644,1152,GameComplete,False,False
NA1_5246363456,170,GameComplete,False,True
NA1_5246341378,1501,GameComplete,False,False
NA1_5245976840,1732,GameComplete,False,False
NA1_5245932471,1863,GameComplete,False,False
NA1_5245899746,1913,GameComplete,False,False
NA1_5245874776,1787,GameComplete,False,False
NA1_5245861283,748,GameComplete,True,False
NA1_5245392154,1340,GameComplete,False,False
NA1_5245360311,1850,GameComplete,False,False
NA1_5242412937,975,GameComplete,True,False
NA1_5242394436,1418,GameComplete,False,False
NA1_5242343159,1490,GameComplete,True,False
NA1_5242313410,2072,GameComplete,False,False
NA1_5241876229,1316,GameComplete,True,False
NA1_5241805044,1657,GameComplete,False,False
NA1_5241776457,1841,GameComplete,False,False
NA1_5241281060,1500,GameComplete,False,False
NA1_5241272943,910,GameComplete,True,False
NA1_5240472833,1720,GameComplete,False,False
NA1_5240446408,1749,GameComplete,False,False
NA1_5240425773,1845,GameComplete,True,False
NA1_5240406516,1358,GameComplete,True,False
NA1_5240393335,126,GameComplete,False,True
NA1_5240375474,1574,GameComplete,False,False
NA1_5240361785,1470,GameComplete,False,False
NA1_5240344434,1271,GameComplete,False,False
NA1_5240326102,1936,GameComplete,False,False
NA1_5240305450,1880,GameComplete,False,False
NA1_5239976013,1994,GameComplete,False,False
NA1_5239949480,966,GameComplete,True,False
NA1_5239887010,1848,GameComplete,False,False
NA1_5239859842,1767,GameComplete,False,False
NA1_5239836743,1647,GameComplete,False,False
NA1_5239825702,230,GameComplete,True,False
NA1_5239783856,1495,GameComplete,False,False
NA1_5239767215,1319,GameComplete,True,False
NA1_5239747568,1790,GameComplete,True,False
NA1_5239733774,1611,GameComplete,False,False
NA1_5239715031,1343,GameComplete,False,False
NA1_5239693739,1286,GameComplete,True,False
NA1_5239680548,929,GameComplete,True,False
NA1_5239639958,1231,GameComplete,True,False
NA1_5239621146,1872,GameComplete,False,False
NA1_5239609189,1341,GameComplete,False,False
NA1_5239548035,1836,GameComplete,False,False
NA1_5238811613,1368,GameComplete,False,False
NA1_5238790009,1644,GameComplete,True,False
NA1_5238779962,915,GameComplete,True,False
NA1_5238761998,1632,GameComplete,True,False
NA1_5238746971,1171,GameComplete,True,False
NA1_5238705195,1342,GameComplete,False,False
NA1_5238681387,1606,GameComplete,False,False
NA1_5238235592,1621,GameComplete,False,False
NA1_5238224302,1322,GameComplete,False,False
NA1_5238213716,964,GameComplete,True,False
NA1_5238200026,1640,GameComplete,False,False
NA1_5237625645,1734,GameComplete,False,False
NA1_5237486760,1097,GameComplete,False,False
NA1_5237436511,1137,GameComplete,True,False
NA1_5237411080,1910,GameComplete,False,False
NA1_5237035134,113,GameComplete,False,True
NA1_5237021740,1650,GameComplete,False,False
NA1_5236970868,1891,GameComplete,False,False
NA1_5236943355,1922,GameComplete,False,False
NA1_5236905938,1840,GameComplete,False,False
NA1_5236877550,1699,GameComplete,False,False
NA1_5236874367,106,GameComplete,False,True
NA1_5236844644,1854,GameComplete,False,False
NA1_5236840423,125,GameComplete,False,True
NA1_5236819546,1508,GameComplete,False,False
NA1_5236419612,1318,GameComplete,True,False
NA1_5236421781,120,GameComplete,False,True
NA1_5236398963,1660,GameComplete,True,False
NA1_5236383193,1083,GameComplete,True,False
NA1_5236127979,1939,GameComplete,False,False
NA1_5236106986,1934,GameComplete,False,False
NA1_5236083785,1818,GameComplete,False,False
NA1_5236066781,1595,GameComplete,False,False
NA1_5236046871,1672,GameComplete,False,False
NA1_5236029044,1287,GameComplete,True,False
NA1_5236013227,1265,GameComplete,False,False
NA1_5235994808,1793,GameComplete,False,False
NA1_5235976929,1746,GameComplete,False,False
NA1_5235847338,1832,GameComplete,False,False
NA1_5235757231,1700,GameComplete,False,False
NA1_5235741750,1850,GameComplete,False,False
NA1_5235455000,1762,GameComplete,True,False
NA1_5235304235,925,GameComplete,True,False
NA1_5235287063,1683,GameComplete,False,False
NA1_5235273055,1193,GameComplete,True,False
NA1_5235256339,1807,GameComplete,False,False
NA1_5210703311,1280,GameComplete,False,False
NA1_5228112281,1343,GameComplete,False,False
NA1_5219940406,1438,GameComplete,True,False
NA1_5215473189,1962,GameComplete,False,False
NA1_5215458678,916,GameComplete,True,False
NA1_5215369361,1572,GameComplete,False,False
NA1_5212845946,963,GameComplete,True,False
NA1_5212822532,1405,GameComplete,False,False
NA1_5212795718,1662,GameComplete,False,False
NA1_5212608397,1805,GameComplete,False,False
NA1_5212315485,1513,GameComplete,False,False
NA1_5212309527,976,GameComplete,True,False
NA1_5212304412,967,GameComplete,True,False
NA1_5212295357,1101,GameComplete,True,False
NA1_5212033008,1098,GameComplete,True,False
NA1_5211995370,1967,GameComplete,True,False
NA1_5211971705,1415,GameComplete,False,False
NA1_5211950283,1738,GameComplete,False,False
NA1_5211842741,1482,GameComplete,True,False
NA1_5210794308,1511,GameComplete,True,False
NA1_5210544762,1225,GameComplete,True,False
NA1_5210388753,1530,GameComplete,False,False
NA1_5210367571,1163,GameComplete,True,False
NA1_5209906537,1931,GameComplete,True,False
NA1_5209772933,1945,GameComplete,False,False
NA1_5209643253,1406,GameComplete,True,False
NA1_5209448842,1845,GameComplete,False,False
NA1_5209436131,113,GameComplete,False,True
NA1_5209271401,1052,GameComplete,True,False
NA1_5209255225,914,GameComplete,True,False
NA1_5209159305,1488,GameComplete,True,False
NA1_5209121945,2045,GameComplete,False,False
NA1_5208965520,268,GameComplete,True,False
NA1_5208508154,1624,GameComplete,False,False
NA1_5208505912,145,GameComplete,False,True
NA1_5208210124,1188,GameComplete,True,False
NA1_5208190162,1204,GameComplete,True,False
NA1_5207711386,969,GameComplete,True,False
NA1_5207126434,1363,GameComplete,False,False
NA1_5205692620,1931,GameComplete,False,False
NA1_5205448158,1749,GameComplete,True,False
NA1_5205268157,1423,GameComplete,True,False
NA1_5238732285,1884,GameComplete,False,False
NA1_5238703618,1600,GameComplete,False,False
NA1_5238246999,1848,GameComplete,False,False
NA1_5238234866,1877,GameComplete,False,False
NA1_5238217995,1816,GameComplete,False,False
NA1_5238058338,1985,GameComplete,False,False
NA1_5238036877,1389,GameComplete,False,False
NA1_5219982235,1039,GameComplete,True,False
NA1_5219977031,1347,GameComplete,False,False
NA1_5205312869,1334,GameComplete,True,False
NA1_5205284467,2020,GameComplete,True,False
NA1_5205182365,1638,GameComplete,False,False
NA1_5230678364,1906,GameComplete,False,False
NA1_5230619512,1865,GameComplete,False,False
NA1_5212988105,1899,GameComplete,False,False
NA1_5212983326,1192,GameComplete,False,False
NA1_5244273192,1364,GameComplete,True,False
NA1_5241300550,1933,GameComplete,False,False
NA1_5241287882,1371,GameComplete,True,False
NA1_5240740994,1677,GameComplete,False,False
NA1_5240720147,1953,GameComplete,False,False
NA1_5240706993,942,GameComplete,True,False
NA1_5240677079,2013,GameComplete,True,False
NA1_5239975446,1812,GameComplete,True,False
NA1_5235813150,1241,GameComplete,False,False
NA1_5235809055,1411,GameComplete,False,False
NA1_5235803768,1160,GameComplete,True,False
NA1_5235626519,1394,GameComplete,True,False
NA1_5234372204,1971,GameComplete,False,False
NA1_5230670912,912,GameComplete,True,False
NA1_5230650300,1843,GameComplete,False,False
NA1_5219758092,2095,GameComplete,False,False
NA1_5216247901,1470,GameComplete,False,False
NA1_5216224929,1495,GameComplete,False,False
NA1_5216192978,1794,GameComplete,False,False
NA1_5215463262,1489,GameComplete,False,False
NA1_5215440387,1724,GameComplete,False,False
NA1_5214527643,1446,GameComplete,False,False
NA1_5214493093,2084,GameComplete,False,False
NA1_5214455945,1860,GameComplete,True,False
NA1_5214426093,1330,GameComplete,True,False
