matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5204751009,8JIqN4VXkIQEzHX1zzfj3yNTSbHPhqvzllbUnl0bAGexWagYYBID1lNKD0AlALjgExsqCCT4Kg-4Hw,100,63,SOLO,TOP,2,7,2,23,False,False,261,1587,690,SILVER,I,2,4497
NA1_5204751009,9LvPnvONq9COh2yESD8Jpc-1_cWMp46aHeQBJJpj_wEn__gHu_3UopN5uG5KcLK_3AZQGKmwJhu_eg,100,99,NONE,JUNGLE,9,6,7,19,False,False,201,1587,552,UNRANKED,UNRANKED,3,8923
NA1_5204751009,b0WsSqiLZenhT8nDK0PEffq0mMsuwj5ReaRpBNUd646p22-Z0Imm8Z-d_2612JS8OIghNsfTNm8VWg,100,251,SOLO,MIDDLE,5,4,4,105,False,False,130,1587,926,PLATINUM,III,13,117057
NA1_5204751009,udO7OYgrJr1yZwyn53G0txAWdSn9qpETQIfcYmnxIjAZ1dZM9_nCm8T8oZcwjvEz4gcKIZgMNPswpQ,100,389,CARRY,BOTTOM,2,6,6,222,False,False,174,1587,559,GOLD,III,7,42835
NA1_5204751009,gHV7v87U4vO5kZ4P5_GEfLjxiVE_kU9RgWAQsWJWSs4YW-PlE8RysUY12J3-OhcDjx61QoGBFWZizg,100,215,SUPPORT,UTILITY,4,7,6,99,False,False,168,1587,457,UNRANKED,UNRANKED,5,28234
NA1_5204751009,EHM4YOkx7iJtIJpuaLh8VmjkuSpXnClbtg0YPbuyjTJOYlBzA1R-TqNdFa9kTt2Iz5PaTaJhxaElSg,200,461,DUO,TOP,4,3,10,36,True,False,105,1587,597,UNRANKED,UNRANKED,27,286772
NA1_5204751009,7dL4g2rMFLij66P-UKD62husy8FJMKoPWk5Km8coZZnUH0D4937tf5Ui5XBGIAC6vGGqJ947M6Ozlg,200,398,SOLO,JUNGLE,6,7,11,131,True,False,227,1587,268,GOLD,II,4,15852
NA1_5204751009,ir_JvJ6R_EK0x7lG3YshML2OBAs3PB6EPszTppJ1wCYSSUK97Lp6NoPWoDkG3hVoSgJsAa-_C__WQw,200,633,DUO,MIDDLE,8,5,7,90,True,False,152,1587,436,PLATINUM,I,30,332037
NA1_5204751009,dzq-PPsqZex6UVo4WjR7xyXWTE5epCURg5kSW2dcXJ9Mx46DlK3ps9srUAZLh_CNju-sStB2aC6aog,200,519,CARRY,BOTTOM,10,6,9,222,True,False,227,1587,568,UNRANKED,UNRANKED,97,1146294
NA1_5204751009,nSEsXhvtbRaFJS1PttiAmCf7iOla1UOmkVcmYrlvqTZ9veTfRxC8ShPveBH24IDp68g8hlcc173FIg,200,302,SUPPORT,UTILITY,2,2,18,427,True,False,78,1587,898,GOLD,III,87,1201509
