puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
P_eM0IKqvq5czRay5LYGKuuWqaxd3CbS-HPFQkOvMQyjNSd0J6WqXnh2UXEWtFPsZcadAWvjCYddKQ,679,SILVER,II,27,23,30,1.173913043478261,1.3043478260869565,1.826086956521739,2.4782608695652173,3.0,798,649,740,1.2295839753466873,1.140215716486903,1.7996918335901386,2.36979969183359,0.9230769230769231
qQl2INkblcUErhMxVSojcqUkmdFCaINLsxUBXV2VEAFJ7fVMrk_ptishwMd3720TLIzFSYx_z-fpSQ,181,SILVER,II,151,161,197,0.937888198757764,1.2236024844720497,1.549689440993789,2.1614906832298137,0.7,406,591,1323,0.6869712351945855,2.238578680203046,1.8062605752961083,2.925549915397631,1.380952380952381
6dazMvYXf3NNs6rkbCFKOdd-sbWhyQrCCsKIXgL4X0NDgIeqRA8X6AruFuXi2sJ9bFPt17fq9VGD7A,279,SILVER,II,8,4,5,2.0,1.25,2.625,3.25,1.0,675,480,854,1.40625,1.7791666666666666,2.2958333333333334,3.185416666666667,1.2222222222222223
8O65Eg4b5xabJNp5uVw2ZlajAu3k4ER8t2JyoCF9bVTLPNnFrQP2A_TvGnvCeZ1lR20oXzAkb0qj4g,121,UNRANKED,UNRANKED,402,483,373,0.8322981366459627,0.772256728778468,1.2184265010351967,1.6045548654244306,0.8867924528301887,394,653,755,0.6033690658499234,1.1562021439509953,1.181470137825421,1.7595712098009189,1.173913043478261
sv67w0ujkfoK8L7zD6HASBjFozT739WqCSQIZFO_xHe_y8r_Zt1aur0JJtynrL34a8nQ9y-6fxD_2A,48,UNRANKED,UNRANKED,3,0,1,3.0,1.0,3.5,4.0,1.0,696,558,585,1.2473118279569892,1.0483870967741935,1.771505376344086,2.295698924731183,0.8181818181818182
7bgmiU7dLNwIConvSNgzw6z0JPNDwG3bdlKjfdFELKEx-aRmXM6iujf5--2rHJ7ioIbpup2KVtbrqg,198,SILVER,II,4,1,1,4.0,1.0,4.5,5.0,0.0,473,479,738,0.9874739039665971,1.5407098121085594,1.7578288100208768,2.528183716075157,1.0408163265306123
Sj6pdjNJ88t1mQEaRvNHJ7ps0mIPyHwpyWfkI8V69x-LoMzglKcCVyBitW7zptH7JrTaeIa8eIPGzA,429,SILVER,II,4,6,33,0.6666666666666666,5.5,3.4166666666666665,6.166666666666667,2.0,491,424,620,1.1580188679245282,1.4622641509433962,1.8891509433962264,2.6202830188679247,0.7543859649122807
lmdcL1a8knkhzs2JW3sRxxr8yAFupmSEwBc0Bo7BYTzRuCH-UzhaCME4SkGAF6gmtBzY2h1qxBUWUA,794,SILVER,II,10,7,11,1.4285714285714286,1.5714285714285714,2.2142857142857144,3.0,2.0,389,635,966,0.6125984251968504,1.521259842519685,1.373228346456693,2.1338582677165356,1.173913043478261
tGNsA1bv57t2vxkVZ8uAc_s4uSEPoXyIABtWIuQHIqeqc2MgskXtYpi0v8d9qEsvqO41rbYSzo7pYg,268,SILVER,II,48,35,51,1.3714285714285714,1.457142857142857,2.1,2.8285714285714287,0.75,731,397,565,1.8413098236775818,1.4231738035264483,2.552896725440806,3.2644836272040303,1.564102564102564
tT8aCyLsGvnmYn9jB42Y9k3qcADUL8RpIDdggVSBN-iPgJpneA8Wj1gNKiUbneTka3WbSmcyfzGFCA,209,SILVER,II,45,43,47,1.0465116279069768,1.0930232558139534,1.5930232558139534,2.13953488372093,0.6,668,610,679,1.0950819672131147,1.1131147540983606,1.651639344262295,2.2081967213114755,1.2727272727272727
PQZYeyOGI6ckHWAuGmE508HZBgeW_JTwjPU0E6c6eZo6ve8WPdhG8q5MoLhgDZv8YvL2A-GI2mLLSA,82,SILVER,II,155,106,95,1.4622641509433962,0.8962264150943396,1.9103773584905661,2.358490566037736,1.0,559,570,829,0.980701754385965,1.4543859649122808,1.7078947368421054,2.4350877192982456,1.0
uur4Tvrhh4SdPRMMAqM5uYWCajtAY2SbJwPUoXDL6ifpvAEF9erzm6Fnr9VhNUJcHxJD2gSJjwyV4w,212,SILVER,II,29,22,20,1.3181818181818181,0.9090909090909091,1.7727272727272727,2.227272727272727,2.0,610,621,737,0.9822866344605475,1.1867954911433172,1.575684380032206,2.1690821256038646,1.0
E9rfgMZXLJg55R4a_9EUW9sONNVcXAFY3AKrLvPg7vzcLmXXbbX2khnkgGiYc-NP81bqLGBYBP4mmw,31,UNRANKED,UNRANKED,86,56,91,1.5357142857142858,1.625,2.3482142857142856,3.1607142857142856,1.0,,,,,,,,
sGw4DkDEsjXaiGy9qUNAJSKyp8p4gXm63FcO1Lk2pFS92R9Ao7440OISa39FOyGSQzcnjvXGMaW2kw,218,BRONZE,III,73,60,77,1.2166666666666666,1.2833333333333334,1.8583333333333334,2.5,3.0,748,700,800,1.0685714285714285,1.1428571428571428,1.64,2.2114285714285713,1.0
iX_cwS6YARxIeXv4Cbj4XJg_bIxmWCZhttfCq-QHUiUcE_Cx9pozdWRs1pBcpskeNtBtdeS2bCzKNg,601,GOLD,II,24,34,49,0.7058823529411765,1.4411764705882353,1.4264705882352942,2.1470588235294117,0.4,626,558,843,1.1218637992831542,1.510752688172043,1.8772401433691757,2.632616487455197,1.3255813953488371
