matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5244574785,1919,GameComplete,False,False
NA1_5241695075,2003,GameComplete,False,False
NA1_5228197311,1648,GameComplete,False,False
NA1_5227270883,2250,GameComplete,False,False
NA1_5219393754,1612,GameComplete,False,False
NA1_5218596901,1994,GameComplete,False,False
NA1_5215706503,1300,GameComplete,True,False
NA1_5214054439,1816,GameComplete,False,False
NA1_5214035838,1433,GameComplete,True,False
NA1_5210584560,2448,GameComplete,False,False
NA1_5210387058,1013,GameComplete,True,False
NA1_5210245990,2270,GameComplete,False,False
NA1_5209453606,2274,GameComplete,False,False
NA1_5209438570,1113,GameComplete,True,False
NA1_5208728609,2301,GameComplete,False,False
NA1_5207373992,1759,GameComplete,True,False
NA1_5205992596,1840,GameComplete,False,False
NA1_5205956492,2002,GameComplete,False,False
NA1_5157132203,2348,GameComplete,False,False
NA1_5157119518,1323,GameComplete,False,False
NA1_5138657584,2723,GameComplete,False,False
NA1_5132712373,2400,GameComplete,False,False
NA1_5132694489,914,GameComplete,True,False
NA1_5244733275,1968,GameComplete,False,False
NA1_5244604803,1929,GameComplete,False,False
NA1_5244344840,2090,GameComplete,False,False
NA1_5244335482,2000,GameComplete,False,False
NA1_5244332090,1615,GameComplete,True,False
NA1_5244321388,2140,GameComplete,False,False
NA1_5244318442,915,GameComplete,True,False
NA1_5223755062,1732,GameComplete,False,False
NA1_5222868054,1663,GameComplete,True,False
NA1_5222855100,1548,GameComplete,False,False
NA1_5222842032,1527,GameComplete,False,False
NA1_5222458393,1406,GameComplete,False,False
NA1_5222444797,1406,GameComplete,False,False
NA1_5222414581,1645,GameComplete,False,False
NA1_5222401493,140,GameComplete,False,True
NA1_5222067627,2023,GameComplete,False,False
NA1_5221359980,1673,GameComplete,False,False
NA1_5221095093,2136,GameComplete,True,False
NA1_5221068844,1924,GameComplete,True,False
NA1_5221037273,1826,GameComplete,False,False
NA1_5220985535,1721,GameComplete,False,False
NA1_5220961397,1679,GameComplete,True,False
NA1_5234518910,1955,GameComplete,False,False
NA1_5233895277,1929,GameComplete,False,False
NA1_5233892619,102,GameComplete,False,True
NA1_5233880642,1657,GameComplete,True,False
NA1_5233869623,1752,GameComplete,False,False
NA1_5233868917,141,GameComplete,False,True
NA1_5233866280,105,GameComplete,False,True
NA1_5229756353,2459,GameComplete,False,False
NA1_5229723360,1514,GameComplete,False,False
NA1_5229128752,1471,GameComplete,True,False
NA1_5229103101,1837,GameComplete,True,False
NA1_5229079265,1275,GameComplete,True,False
NA1_5220412632,2411,GameComplete,False,False
