matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5218680401,1430,GameComplete,False,False
NA1_5216769507,1711,GameComplete,True,False
NA1_5216734066,1618,GameComplete,True,False
NA1_5208155728,1600,GameComplete,False,False
NA1_5208144988,1287,GameComplete,True,False
NA1_5207058883,1378,GameComplete,True,False
NA1_5203576032,1015,GameComplete,True,False
NA1_5220323419,940,GameComplete,True,False
NA1_5220308912,1257,GameComplete,True,False
NA1_5218526405,1283,GameComplete,True,False
NA1_5218070372,1507,GameComplete,True,False
NA1_5218064140,379,GameComplete,True,False
NA1_5216431837,1908,GameComplete,False,False
NA1_5216419894,1708,GameComplete,False,False
NA1_5212990855,1649,GameComplete,False,False
NA1_5212983581,1120,GameComplete,False,False
NA1_5212982293,1019,GameComplete,True,False
NA1_5210851265,1542,GameComplete,False,False
NA1_5210297148,1171,GameComplete,True,False
NA1_5210280054,1438,GameComplete,True,False
NA1_5210120591,1417,GameComplete,False,False
NA1_5208166954,397,GameComplete,True,False
NA1_5208147714,1523,GameComplete,True,False
NA1_5208049120,1380,GameComplete,True,False
NA1_5206705986,1228,GameComplete,True,False
NA1_5223727287,1240,GameComplete,True,False
NA1_5221496133,1342,GameComplete,False,False
NA1_5221261390,1878,GameComplete,False,False
NA1_5217648114,1507,GameComplete,False,False
NA1_5217629343,1242,GameComplete,False,False
NA1_5217614939,958,GameComplete,True,False
NA1_5215437059,748,GameComplete,True,False
NA1_5215423535,805,GameComplete,True,False
NA1_5215404333,1475,GameComplete,True,False
NA1_5215387029,1105,GameComplete,False,False
NA1_5214322400,1749,GameComplete,False,False
NA1_5214158337,2097,GameComplete,False,False
NA1_5213928227,642,GameComplete,True,False
NA1_5213909556,1625,GameComplete,False,False
NA1_5213341282,1231,GameComplete,True,False
NA1_5211899819,1566,GameComplete,True,False
NA1_5203259443,1495,GameComplete,False,False
NA1_5223229585,1602,GameComplete,False,False
NA1_5223209993,1376,GameComplete,True,False
NA1_5223178567,1933,GameComplete,False,False
NA1_5212764789,1391,GameComplete,False,False
