matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5218680401,oNxydmiQoR9tRwduG092dZbVHyeXujjW-H_B51YIzjaEObHiM6S8XI3doXMEDpGi7NY3Baejau1crA,100,116,SUPPORT,TOP,1,7,2,32,True,False,186,1430,562,BRONZE,IV,4,16162
NA1_5218680401,WBvC5gtieqDbQyZmZrYsD1X-jl92M-kmdUnX6KIIXNJUU3B1Dypsk6GcGtzbrKeSph5cRdoQdpql_A,100,218,NONE,JUNGLE,1,3,3,427,True,False,130,1430,974,SILVER,II,8,56364
NA1_5218680401,7kaWsjt-V2fVWTHfDAScX-QzVddJd2SFWmDcmAUER7f81JBcXnA-0haFwmSyD3A9wUtlyFZCFzjlRQ,100,153,CARRY,MIDDLE,1,4,2,112,True,False,157,1430,630,BRONZE,II,4,15884
NA1_5218680401,STtMxZiV2D07JUsJJzjwBbvFRR6EUqv4cGNcAJrj0Ln3dH6WEsr-qC9Eq4a96aRHfDouVaGW-G405w,100,307,CARRY,BOTTOM,13,6,3,222,True,False,201,1430,358,BRONZE,I,2,4120
NA1_5218680401,HpAtXdgSB0mKySjaUPhCfZT2mWf1eXeA-L9V5ps-Q5cMpZ7bRrAq4h06O4q1JwIgcLRIA2M0BK_AQw,100,16,SUPPORT,UTILITY,2,7,8,254,True,False,247,1430,452,UNRANKED,UNRANKED,5,27192
NA1_5218680401,EBf1NrUS47Qxxk0M6i81qpeqczEX84aTZJPoNVpTM-uA33RpSalgaiwS7Iatjn_MWQ03LLsxgysw6w,200,746,NONE,TOP,6,3,6,50,False,False,131,1430,681,PLATINUM,IV,8,63674
NA1_5218680401,XmXXm9Puvw7i8hVF-3l-Rm-bBVnP_C9B-JHIwBGffpuVBNjN83HcEOhgtNVmmJhTBqpn-PIIJI1x-A,200,374,NONE,JUNGLE,6,4,6,77,False,False,152,1430,662,UNRANKED,UNRANKED,10,81226
NA1_5218680401,Bm5yOv2PDvdlMFktnWvkK4-tG_yl8FZJWoEVCxv4L9rLnB5ERJn7FajFclcYP8WwfZCZcmh_SaQJKw,200,26,SOLO,MIDDLE,5,2,9,69,False,False,73,1430,743,SILVER,IV,5,29580
NA1_5218680401,lnpwgzip2goSVmRsBGdpbFrs2NEqkWqevhjW_FKL0pH4QwSb2b15AZTDH4P4Mzhh-98W_lCck3aFRA,200,387,CARRY,BOTTOM,7,6,5,800,False,False,212,1430,487,BRONZE,III,8,58754
NA1_5218680401,EGedUNOzNt7ypOHBiKFJ9umrjKvDd2TWdpqnmTscZQwsW3PolzmYZMLyyea5ARxth_FdGaVau7r26g,200,37,SUPPORT,UTILITY,3,3,13,888,False,False,88,1430,562,UNRANKED,UNRANKED,6,34736
NA1_5216769507,catbfwG-ngai71PwhQLoSy-dflMu-RqN5cHPKXVY2aXNP264MtYGUxTnlyU-Niy4RT64Rl98k3nJ5g,100,384,SOLO,TOP,11,3,10,800,True,False,142,1711,1029,UNRANKED,UNRANKED,7,53069
NA1_5216769507,Bu4ncq7R03TpI-eODha7d72BToWuxXEY-_5sopT0xLyiuB0wuso5aUOO4-o6oPkymPOF9qhep6HXgA,100,120,NONE,JUNGLE,6,3,11,35,True,False,69,1711,615,UNRANKED,UNRANKED,20,186233
NA1_5216769507,ycBIb6wxVdgnyKWVvrMGemkm7CK2VBgV7aMEX6KTXn1S4I176XRaK_X6Un8d-depCHq-2zcV_aX15Q,100,687,SOLO,MIDDLE,7,5,10,103,True,False,245,1711,807,SILVER,III,2,4664
NA1_5216769507,RN0_gSHEHRjVeZ5ZYV1NwOQDpXJphoezTyptz-sFHPO9FBeJngOoQKhRSgKqwGy81UtFr9aNQcOIpA,100,71,CARRY,BOTTOM,7,4,2,523,True,False,157,1711,619,GOLD,III,5,25633
NA1_5216769507,NoS5t0NFmvWOfsit5BQ6leP3R_jlcHbkyv7zAo6fggiZh7e7ZSJ0jbg4XcfgSAezxbKQ_h5z5zU5VA,100,21,SUPPORT,UTILITY,2,6,8,50,True,False,208,1711,397,UNRANKED,UNRANKED,2,5759
NA1_5216769507,__rxVi4E69oJmi-21GhoSUIgfTpA3wQ7C4lYqhlNTe3I96etz5Ozgv2VJwL3adI71dedKruuPVNs5Q,200,521,SOLO,TOP,2,6,1,6,False,False,210,1711,418,BRONZE,III,6,32477
NA1_5216769507,WBvC5gtieqDbQyZmZrYsD1X-jl92M-kmdUnX6KIIXNJUU3B1Dypsk6GcGtzbrKeSph5cRdoQdpql_A,200,218,NONE,JUNGLE,5,7,4,203,False,False,249,1711,579,SILVER,II,3,10018
NA1_5216769507,ACvsH5eNogs1s5kPMl4HdvDgqd1_ahfdVWQzaciCZOeLNtbJjrEsjZ-rNnGtwZ2VLFaR1p9asFh3aw,200,411,SOLO,MIDDLE,5,7,2,69,False,False,298,1711,716,UNRANKED,UNRANKED,77,848516
NA1_5216769507,P57ddUcFeDKGljYcVqMBiZTf3Av0H99GWnCO4qjQHUKhFxXfNj1UIrH3ghxy-95FDmzE_PM06pyl6Q,200,242,CARRY,BOTTOM,2,8,5,119,False,False,257,1711,389,GOLD,III,4,20857
NA1_5216769507,pPvzt7QLxBXFweWZHWVQHCraVkmWeahdBvaOY4ho4wS4ND5RjUK4YMS_UCuF_yJYoMCpYOA1PxuW_A,200,298,SUPPORT,UTILITY,7,5,7,800,False,False,211,1711,1127,IRON,II,6,35963
NA1_5216734066,catbfwG-ngai71PwhQLoSy-dflMu-RqN5cHPKXVY2aXNP264MtYGUxTnlyU-Niy4RT64Rl98k3nJ5g,100,384,SOLO,TOP,4,2,4,800,False,False,74,1618,676,UNRANKED,UNRANKED,7,53069
NA1_5216734066,TPL_VzuWn3FhZsho6qQhiPm1nOy4NpXU8i6RCDYFs_0Ohv6xzI_B_vsPHRfuSHWk3bE59z1rETftkQ,100,162,NONE,JUNGLE,1,6,6,143,False,False,205,1618,638,GOLD,IV,1,1213
NA1_5216734066,beFXV6Bl0ow84oLH-E37P821BXZZCgLMkW00QxnL6G21iEd3eL1T3h3uj6s4jHuTFEeOIYZmzLlOdg,100,147,SOLO,MIDDLE,0,7,4,21,False,False,270,1618,428,UNRANKED,UNRANKED,33,657406
NA1_5216734066,mthiqgpn30K2mP3zJ9AokznBj_zP_HBRBF-RGpPnW9Vq5imF5_hcx0FibMkvsB0ELev4XR56RiHBpQ,100,138,CARRY,BOTTOM,8,3,2,202,False,False,120,1618,643,GOLD,I,6,40691
NA1_5216734066,UMBXERrweefEb_cwIHyO7lbxaVdWBeeMuiQnFV5v62k7ZgTAYbXs74nSXpThLjyKWKGzezcCYcz_hg,100,364,SUPPORT,UTILITY,0,7,7,267,False,False,182,1618,403,BRONZE,IV,4,17607
NA1_5216734066,HWoj88a7LrmYTF33rtVfQUMgE2BNs8tqv2h4Hj38d9g84mcgXf2CZn88tOclhac2r43e5s51wLuH2w,200,42,SOLO,TOP,8,0,2,86,True,False,0,1618,0,SILVER,III,9,75258
NA1_5216734066,WBvC5gtieqDbQyZmZrYsD1X-jl92M-kmdUnX6KIIXNJUU3B1Dypsk6GcGtzbrKeSph5cRdoQdpql_A,200,218,NONE,JUNGLE,1,3,8,83,True,False,115,1618,792,SILVER,II,4,20863
NA1_5216734066,X_To9P3BaIS1Ck1X8vGW-hgr-HGBVk5x8sZ2kbuSXzdVb9XPJOgVRVhylLCIyGGlygrF_00kYcwZxQ,200,529,SOLO,MIDDLE,5,9,4,800,True,False,353,1618,558,BRONZE,I,1,1614
NA1_5216734066,fWRaBYEDLtomxNYm0sfKLCl5eMTuy-ky3fEkMMmxsOJvuZdqhKKzFeSTtTf96PxJJe214s9-gUeE1Q,200,482,CARRY,BOTTOM,9,1,6,51,True,False,53,1618,1476,SILVER,IV,10,84967
NA1_5216734066,p-Yyc9LAi6L-JZpJ5nKnz-tucbzaEXuYLFhGiLO-YfE2zxc-JDhZRZdm-JQlsX1ZDzr6h-BEYVcWtA,200,64,SUPPORT,UTILITY,2,0,14,350,True,False,0,1618,0,UNRANKED,UNRANKED,6,37973
NA1_5208155728,2MfAzy-EPodZuG0bfvRwpSSUZLtohp38TRiTVlQkQhrT5teTbSvGYd16K0gyZIZWV_e_oV_5tHwOTw,100,1114,CARRY,TOP,2,7,1,14,False,False,252,1600,475,EMERALD,IV,12,103084
NA1_5208155728,WBvC5gtieqDbQyZmZrYsD1X-jl92M-kmdUnX6KIIXNJUU3B1Dypsk6GcGtzbrKeSph5cRdoQdpql_A,100,217,NONE,JUNGLE,6,4,0,141,False,False,153,1600,766,SILVER,II,2,2716
NA1_5208155728,TYmBGEsvVmQ8kvJ0PHiwraoykRe_2aR0owpGDWmBXVF9pHmDrABi-YEVLagamgnZswiZBbSbkedQHw,100,25,SUPPORT,MIDDLE,0,13,1,777,False,False,300,1600,278,BRONZE,III,5,29623
NA1_5208155728,23q3heFbCnNETp_Erzv9M60fsPGLzuvyRyN-nIBm1dvpJJSViU8t19Un256EzjP2gLE85y1D35tY2Q,100,383,CARRY,BOTTOM,1,7,3,81,False,False,281,1600,643,UNRANKED,UNRANKED,5,22416
NA1_5208155728,IlHvizP4pDhOaLmYOwTJjiqDV_rcyKI4iabnJxo889em-tzC72d5YzroKbE2JqTXt6yVYedLAs0i8w,100,255,SUPPORT,UTILITY,1,8,3,888,False,False,293,1600,499,UNRANKED,UNRANKED,7,44157
NA1_5208155728,r5gPkz5BTzeC5zjdTDavdfDRvekU4i5YJRblfvZUGfHwbV7QgT8zhsP-IDC1CjWXGO9MQu1fM9TTBA,200,93,SOLO,TOP,8,1,3,17,True,False,16,1600,397,UNRANKED,UNRANKED,51,566929
NA1_5208155728,Dx8VqvJ3N7uaGioX38qJ_KpjSDBqgZM4lMFTVDmQJyIjlAHYQhvazi5HBFLOPPGWveuZ51G5abeKGA,200,279,NONE,JUNGLE,8,4,7,35,True,False,120,1600,407,UNRANKED,UNRANKED,6,36308
NA1_5208155728,X1YWslr30X8lr1AB8u_sE4188lQApRc99_ks802tWzJeULzK9jb4NS74Vns6XL-y3xjdHFi__JN-Uw,200,327,SOLO,MIDDLE,18,2,5,84,True,False,118,1600,1243,GOLD,IV,5,22085
NA1_5208155728,pIgZPjmAhwDZ4kguYp0p7zzdN85zOdQMN1K4jQvcsoom5tpG1N_giUew2EkZNQM4xCsEyZF-5SIeEg,200,691,CARRY,BOTTOM,3,2,15,8,True,False,24,1600,1309,UNRANKED,UNRANKED,12,124437
NA1_5208155728,12cUo19hGSlLgBDDVWpp32Tzh5nRY1KA0Hhh0xxnCf9zG9wOshY_FQXjQGAu0HSOIfdXTtvI4mvHKA,200,10,SUPPORT,UTILITY,2,1,16,350,True,False,12,1600,285,UNRANKED,UNRANKED,28,315654
NA1_5208144988,ew8W_Xblyrdn_aPL-OK4AQADvDz4NAne9wHsOyMsebRE4jxBwnD1p46dMCPxodU45OTy_9pZORcySQ,100,437,SOLO,TOP,1,4,1,51,False,False,149,1287,662,SILVER,II,4,16878
NA1_5208144988,dtEe9sfTMRgbnzWk7WkMNzCJv_LEzJGz9Z5EsTU04GkqoBFxQRN_h-O0oD9Iy4u99gJKQ9t1IwmqXw,100,347,NONE,JUNGLE,2,1,2,62,False,False,20,1287,590,UNRANKED,UNRANKED,6,37652
NA1_5208144988,K9D425TDlprgTsFxchG4JYvuDYcaprIgIqQicS1pRG3zm-Y14i2II5bnNca3sw2mzFx7INF3fUUzYw,100,307,SUPPORT,MIDDLE,2,7,1,99,False,False,226,1287,408,UNRANKED,UNRANKED,37,412921
NA1_5208144988,OZaT7oBfft5X_LxM1nDoqK8jSEHyvwmvFiH-zm2z4nbic2u5Yohcly5JUD3z3rPfZPiCeezHCoJsOQ,100,39,DUO,BOTTOM,0,2,2,21,False,False,57,1287,594,UNRANKED,UNRANKED,3,8082
NA1_5208144988,-bOq_0MBi2vB_3YYtnB27CPG1GP87WcZJnJ5sCbC0Vo4TAfy4n038FXkpSdK4BCF4Mdd2jmKPEoDYQ,100,400,SUPPORT,UTILITY,3,4,2,235,False,False,98,1287,612,SILVER,I,4,19115
NA1_5208144988,OWR4ZU-9ERceIYBiuTFR2srBUCqOwI53Tes8UKa02IR1khYVSBAdsPcOF013Hn9d4yDUkNR3o7bADA,200,9,DUO,TOP,4,0,1,114,True,False,0,1287,0,GOLD,II,13,116035
NA1_5208144988,WBvC5gtieqDbQyZmZrYsD1X-jl92M-kmdUnX6KIIXNJUU3B1Dypsk6GcGtzbrKeSph5cRdoQdpql_A,200,217,NONE,JUNGLE,0,3,4,141,True,False,100,1287,800,SILVER,II,2,2716
NA1_5208144988,tl5XGOPWPaKxngnnyyGcRjrzXXfB0sYKnBfuF-FGMISsDUF_Xo9_dbjsO3pAYveGaG54xekjZ_iJ6Q,200,13,DUO,MIDDLE,11,3,1,84,True,False,77,1287,858,UNRANKED,UNRANKED,6,41074
NA1_5208144988,uyBax95nhY6x8FNTX310n4Og1W7wQEClnlNNn_Ci61NqDZgsBd-2YfQI8PDNL2Gt2xwJp2dITwPDzQ,200,487,CARRY,BOTTOM,2,1,5,91,True,False,36,1287,907,UNRANKED,UNRANKED,5,21961
NA1_5208144988,ypPvyBgGQYOjWIWLLe6LiFKhLzPiZY-5nnTVw87y89McRCykj5AWAqvAvGmmiJ-2uTD5PNhez9QHAQ,200,290,SUPPORT,UTILITY,1,1,8,902,True,False,20,1287,608,UNRANKED,UNRANKED,5,22596
NA1_5207058883,GAdKwCAu0CxeeI2AUBDeuKAZUBGJdTQY3Whfp0LFb6C62xi593PS5Ksh6M9LsOefxQFYftbCm1R3Wg,100,79,DUO,TOP,4,4,10,106,True,False,108,1378,662,UNRANKED,UNRANKED,9,65826
NA1_5207058883,ax_1kQm2WIfkSebUQiseFK6DEypnK_INfIXkMWQKg8u2mdZCfK6-Q4-y8JlajytthiQTPLAVn3286Q,100,825,SUPPORT,JUNGLE,2,5,8,104,True,False,142,1378,344,UNRANKED,UNRANKED,36,391450
NA1_5207058883,O_QjTAr0DNZ70j9Ol5BZJVH08Tots6QXfCWllWOmbLloLSBQ6-AFpwNMsgnzKf9ucluX1Mx57IHh2Q,100,39,DUO,MIDDLE,15,2,4,55,True,False,59,1378,648,UNRANKED,UNRANKED,6,34427
NA1_5207058883,PgVPfx3b8mVaUTDR3r2CkmvnzMMiIqaAD--X4Pb_VbuJvj1uOINv_vFrD9of__lLQbRmPKWLBzsYYA,100,29,CARRY,BOTTOM,5,5,11,21,True,False,119,1378,425,IRON,III,9,65863
