puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
HvH9oAlPgSpp_hNcPAU3vRtE3NHFsVkzCVrfrC8KGV3iQIbD74FbUdJIx9HXXuY55z86qbILWZogWw,141,SILVER,III,14,8,7,1.75,0.875,2.1875,2.625,0.0,556,517,772,1.0754352030947776,1.493230174081238,1.8220502901353965,2.5686653771760155,1.2222222222222223
Ju29O_FjSpE7ovtp0lSD6Z979yRBgenk3zmvqj0dlcfXbOwRRZSKIcTlb8OxSxWTuDWwuEzPWyh6bg,170,SILVER,III,9,2,5,4.5,2.5,5.75,7.0,1.0,586,523,582,1.1204588910133844,1.112810707456979,1.6768642447418738,2.2332695984703634,0.6949152542372882
9RmR7MigccwOs_r4oaahx1zm4axeewWYjMaevxnwrm6ivHqTBYuWRwhCw6vvfS99DdD1fnYTlUOLkA,350,SILVER,III,80,63,29,1.2698412698412698,0.4603174603174603,1.5,1.7301587301587302,0.8333333333333334,758,636,720,1.1918238993710693,1.1320754716981132,1.7578616352201257,2.3238993710691824,0.7857142857142857
ft6M1OfNy8uWFBJX8yBegoNxxxRVrsB8cT5-XS9gExrHSbmmZDtNMXUgp3ko0H_psmoXcKT8I-meuA,337,SILVER,III,7,7,27,1.0,3.857142857142857,2.9285714285714284,4.857142857142857,2.0,241,376,1453,0.6409574468085106,3.8643617021276597,2.5731382978723403,4.50531914893617,1.3255813953488371
DE6NvKklQfeYgFTNPXcg2S2wWPBEUdc154m07HFGTLQMOceg9aHRj5WGQjD-QtBJqiWj-JhIXqFePQ,438,UNRANKED,UNRANKED,7,10,12,0.7,1.2,1.3,1.9,1.0,740,514,777,1.4396887159533074,1.5116731517509727,2.195525291828794,2.9513618677042803,1.7027027027027026
KTazjiTETTheWfH2d0OClYD0RrIJEffcvx2pYMfrUSMsZVA6wSdtUHoSbBeBT5h6FPmR0CGODcmO5g,269,SILVER,III,41,41,31,1.0,0.7560975609756098,1.3780487804878048,1.7560975609756098,1.0,805,516,763,1.560077519379845,1.4786821705426356,2.2994186046511627,3.0387596899224807,1.2727272727272727
Tb1LwW03_Zj9X6qqQ3J9n-4OKM69obwO8ZMqRv5QpF2Bgx_lr8BmCIZeCQQbqL_968WJ10Mp8LFHHw,67,UNRANKED,UNRANKED,8,9,6,0.8888888888888888,0.6666666666666666,1.2222222222222223,1.5555555555555556,2.0,48,58,61,0.8275862068965517,1.0517241379310345,1.353448275862069,1.8793103448275863,0.42857142857142855
5p4lHogckPr_q2isVzgQv-3z_fBiE3g1D5xLX3uRoV-7gAYnt3GoviUiBEXHK3KLTF0wYvawzkWNJw,97,SILVER,III,37,63,57,0.5873015873015873,0.9047619047619048,1.0396825396825398,1.492063492063492,1.25,301,644,1205,0.4673913043478261,1.8711180124223603,1.4029503105590062,2.3385093167701863,1.2222222222222223
R-3vg2tCdEfOdMc8hWIAwbmtlTlmA6oJdk6GnRQ-FHTzG3O8UKG4zbzcX6wGsvPBTqwbsI9XJ9uISA,74,SILVER,II,27,32,32,0.84375,1.0,1.34375,1.84375,1.5,570,726,746,0.7851239669421488,1.0275482093663912,1.2988980716253444,1.81267217630854,0.8518518518518519
A1lmshnGtXj2WECANWEhS70lobKRTjWy8COR2aONdu1rzdC2bkwoGKiDt2TyqnEKJdnMJsTBBCCzOA,35,SILVER,III,45,20,16,2.25,0.8,2.65,3.05,3.0,308,252,184,1.2222222222222223,0.7301587301587301,1.5873015873015872,1.9523809523809523,0.9444444444444444
l3hRceWK3-VR5hQl_NefENWgNmF078VWf7TDiEk0ku2i_7hMymtn8lR47D6vlH-9in-NejbRHhGoAA,210,SILVER,III,6,8,7,0.75,0.875,1.1875,1.625,1.0,581,652,768,0.8911042944785276,1.177914110429448,1.4800613496932515,2.0690184049079754,0.8518518518518519
c0qaGm-f6LRmi1IQpTlro0z4I5r_H77qvgSx8rQT1ae1YNpexkenfUlFYbQ_nv2iPZnbM35JJMZbww,316,SILVER,III,49,44,36,1.1136363636363635,0.8181818181818182,1.5227272727272727,1.9318181818181819,2.0,548,620,723,0.8838709677419355,1.1661290322580644,1.4669354838709678,2.05,0.7543859649122807
4AyVDlskk1wg4sZp1F7XZTIaypX53TVSaujZ6ip1a52guVg9OAYz9sNgMDQb76hCILU0VWiSrtEGug,158,SILVER,I,535,316,733,1.6930379746835442,2.319620253164557,2.8528481012658227,4.012658227848101,0.8888888888888888,677,424,1079,1.596698113207547,2.544811320754717,2.869103773584906,4.1415094339622645,0.9230769230769231
soS50Y83nOhrw8jVohfVItg7XPlzKTajcadZ9iD0ba0N8WfUsPoRiRNSs7bCqJKjVQ0Qs5qO80dEAw,132,SILVER,III,90,65,115,1.3846153846153846,1.7692307692307692,2.269230769230769,3.1538461538461537,0.5,380,561,1291,0.6773618538324421,2.301247771836007,1.8279857397504455,2.978609625668449,1.127659574468085
Ag4kj2N4xatXqUVFtv3NwMgP-6W9g_bTAJBae7DR0JtoQ4YyZMjRKybEH_kiMVXFTzzVpreIWVhFLA,145,SILVER,III,0,0,0,0.0,0.0,0.0,0.0,1.0,726,679,679,1.069219440353461,1.0,1.569219440353461,2.069219440353461,1.0833333333333333
DldRzE9nZVR_wf25UuDfNMzd9u2CpL96FFFelBv-vEvLvPtBCkQ9RXLEegjTYWZaJ3HRHeAkFdAqWQ,572,SILVER,III,16,9,11,1.7777777777777777,1.2222222222222223,2.388888888888889,3.0,1.0,316,255,332,1.2392156862745098,1.3019607843137255,1.8901960784313725,2.541176470588235,0.6551724137931034
fkCq5ZKHAobmYTxfKAYRSP5rbcozUOipyz-pa6cEkfQnhZ0AUUOyBl45DFs9L_3zSAPmcoGRKL4-LA,92,SILVER,III,3,6,3,0.5,0.5,0.75,1.0,0.0,758,666,722,1.1381381381381381,1.0840840840840842,1.6801801801801801,2.2222222222222223,0.7543859649122807
KVbLtX9eSwrKa1jH7fSK-6j29UezitICxuyUKd9FJesiHNNgc71ETrL0ODI1UInwxOMxFp9RCjVMhg,72,UNRANKED,UNRANKED,4,26,11,0.15384615384615385,0.4230769230769231,0.36538461538461536,0.5769230769230769,0.5,,,,,,,,
3CmrhGLUVI-yVDLqhzzLC-w_6w-D_P2jEe4Cxw98G3ub3u2mVwGvAmsqXGM2rc3fgkS0pte2N6FmSw,99,SILVER,III,42,10,21,4.2,2.1,5.25,6.3,3.0,1012,534,561,1.895131086142322,1.050561797752809,2.4204119850187267,2.945692883895131,1.0
