matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5249017565,1494,GameComplete,False,False
NA1_5224236462,2175,GameComplete,False,False
NA1_5224222537,1975,GameComplete,False,False
NA1_5218509566,954,GameComplete,True,False
NA1_5216438717,2015,GameComplete,False,False
NA1_5216426219,1191,GameComplete,True,False
NA1_5215520527,1781,GameComplete,False,False
NA1_5213818527,2134,GameComplete,False,False
NA1_5213771558,1938,GameComplete,False,False
NA1_5212568009,2312,GameComplete,False,False
NA1_5204969981,1668,GameComplete,False,False
NA1_5204927668,2380,GameComplete,False,False
NA1_5202461401,2308,GameComplete,True,False
NA1_5202379529,1838,GameComplete,False,False
NA1_5202350106,1556,GameComplete,False,False
NA1_5202263745,1784,GameComplete,False,False
NA1_5202039048,1948,GameComplete,True,False
NA1_5202023312,1809,GameComplete,False,False
NA1_5201347873,2362,GameComplete,True,False
NA1_5201119284,1404,GameComplete,False,False
NA1_5201087879,2597,GameComplete,False,False
NA1_5199290758,1253,GameComplete,True,False
NA1_5199252844,1665,GameComplete,False,False
NA1_5199210688,2037,GameComplete,True,False
NA1_5198395565,1305,GameComplete,True,False
NA1_5198363315,1825,GameComplete,True,False
NA1_5198333841,1811,GameComplete,False,False
NA1_5197076965,1891,GameComplete,True,False
NA1_5197039121,1845,GameComplete,False,False
NA1_5196887860,1775,GameComplete,False,False
NA1_5196862057,1260,GameComplete,False,False
NA1_5196771533,1520,GameComplete,False,False
NA1_5196740111,2148,GameComplete,False,False
NA1_5181683679,2057,GameComplete,False,False
NA1_5181674627,1775,GameComplete,False,False
NA1_5181672688,273,GameComplete,True,False
NA1_5181668077,1296,GameComplete,True,False
NA1_5179656099,2210,GameComplete,False,False
NA1_5176519677,2201,GameComplete,False,False
NA1_5157754438,2313,GameComplete,False,False
NA1_5157745808,1675,GameComplete,False,False
NA1_5157736570,1932,GameComplete,True,False
NA1_5157467045,1647,GameComplete,False,False
NA1_5155386074,1658,GameComplete,False,False
NA1_5155342290,2457,GameComplete,False,False
NA1_5154738331,2131,GameComplete,False,False
NA1_5143631767,989,GameComplete,True,False
NA1_5139234810,1872,GameComplete,False,False
NA1_5139217121,1946,GameComplete,False,False
