matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5241352870,1865,GameComplete,False,False
NA1_5207195052,1701,GameComplete,False,False
NA1_5227446198,1633,GameComplete,True,False
NA1_5226454192,964,GameComplete,True,False
NA1_5226437289,1246,GameComplete,True,False
NA1_5221399613,1203,GameComplete,True,False
NA1_5245935321,1838,GameComplete,True,False
NA1_5245689668,1801,GameComplete,False,False
NA1_5241901638,1160,GameComplete,False,False
NA1_5241324515,1963,GameComplete,False,False
NA1_5241313925,1704,GameComplete,False,False
NA1_5241161668,1887,GameComplete,False,False
NA1_5241140589,1458,GameComplete,False,False
NA1_5240109636,1776,GameComplete,False,False
NA1_5239747971,1446,GameComplete,True,False
NA1_5239728617,1550,GameComplete,False,False
NA1_5239412889,1918,GameComplete,False,False
NA1_5236967338,1519,GameComplete,False,False
NA1_5236414957,1399,GameComplete,False,False
NA1_5235749098,1744,GameComplete,False,False
NA1_5235738327,914,GameComplete,True,False
NA1_5234432846,1122,GameComplete,True,False
NA1_5234267914,1266,GameComplete,True,False
NA1_5234172794,1232,GameComplete,True,False
NA1_5233752742,1512,GameComplete,False,False
NA1_5233740166,911,GameComplete,True,False
NA1_5233731896,540,GameComplete,True,False
NA1_5232113844,1634,GameComplete,False,False
NA1_5232089034,1333,GameComplete,False,False
NA1_5231433957,1736,GameComplete,False,False
NA1_5230692976,588,GameComplete,True,False
NA1_5230681140,1618,GameComplete,False,False
NA1_5230669122,1520,GameComplete,False,False
NA1_5230447339,1181,GameComplete,True,False
NA1_5226348865,121,GameComplete,False,True
NA1_5224899890,1450,GameComplete,False,False
NA1_5224875682,1501,GameComplete,True,False
NA1_5223407092,770,GameComplete,True,False
NA1_5222868346,1706,GameComplete,False,False
NA1_5222041078,1542,GameComplete,False,False
NA1_5221996368,2537,GameComplete,True,False
NA1_5221967722,1536,GameComplete,True,False
NA1_5221942983,1532,GameComplete,False,False
NA1_5221843055,1328,GameComplete,True,False
NA1_5237087089,1912,GameComplete,False,False
NA1_5236503449,117,GameComplete,False,True
NA1_5236498584,1481,GameComplete,False,False
NA1_5236495140,844,GameComplete,False,False
NA1_5236492939,970,GameComplete,True,False
NA1_5233822479,993,GameComplete,True,False
NA1_5233818576,1389,GameComplete,False,False
NA1_5211300447,1828,GameComplete,False,False
NA1_5207868079,1912,GameComplete,False,False
NA1_5207849065,1941,GameComplete,False,False
NA1_5207831820,1722,GameComplete,False,False
NA1_5249521240,1808,GameComplete,True,False
NA1_5249501565,1065,GameComplete,True,False
NA1_5247166919,1839,GameComplete,True,False
NA1_5247155197,1513,GameComplete,True,False
NA1_5247137671,1394,GameComplete,True,False
NA1_5237080196,937,GameComplete,True,False
NA1_5237072230,1488,GameComplete,True,False
NA1_5229096474,1658,GameComplete,False,False
NA1_5222760147,1061,GameComplete,True,False
NA1_5217718624,1490,GameComplete,True,False
NA1_5212248677,1688,GameComplete,True,False
NA1_5212230997,1741,GameComplete,True,False
NA1_5210023580,1513,GameComplete,False,False
NA1_5210002232,1879,GameComplete,False,False
NA1_5209981806,1372,GameComplete,False,False
NA1_5208483148,1747,GameComplete,False,False
NA1_5208462030,1292,GameComplete,True,False
NA1_5208442313,1188,GameComplete,True,False
NA1_5208416804,1689,GameComplete,False,False
NA1_5207849909,1678,GameComplete,False,False
NA1_5207827206,1964,GameComplete,False,False
NA1_5207126274,2195,GameComplete,True,False
NA1_5207096663,1900,GameComplete,False,False
NA1_5249189177,1873,GameComplete,False,False
NA1_5249172407,1640,GameComplete,False,False
NA1_5208472621,1294,GameComplete,False,False
NA1_5208451535,1242,GameComplete,True,False
NA1_5205791823,1535,GameComplete,True,False
NA1_5222648824,1156,GameComplete,True,False
NA1_5222616298,1577,GameComplete,False,False
NA1_5220428876,1558,GameComplete,False,False
NA1_5220239469,1714,GameComplete,False,False
NA1_5220223883,1210,GameComplete,True,False
NA1_5220125397,1793,GameComplete,False,False
NA1_5220093685,1295,GameComplete,False,False
NA1_5220069548,994,GameComplete,True,False
NA1_5218049924,1696,GameComplete,False,False
NA1_5217993325,1888,GameComplete,True,False
NA1_5217980948,1315,GameComplete,False,False
NA1_5217967797,1457,GameComplete,False,False
NA1_5208522895,1720,GameComplete,False,False
NA1_5208231442,1625,GameComplete,False,False
NA1_5209628981,912,GameComplete,True,False
NA1_5206550517,1523,GameComplete,True,False
NA1_5204183794,1283,GameComplete,False,False
NA1_5204165951,1408,GameComplete,False,False
NA1_5204134847,1392,GameComplete,False,False
NA1_5204106744,1549,GameComplete,True,False
NA1_5204079931,1448,GameComplete,False,False
NA1_5204073943,104,GameComplete,False,True
NA1_5203738690,1726,GameComplete,False,False
NA1_5203714369,1699,GameComplete,False,False
NA1_5209749958,1443,GameComplete,False,False
NA1_5209613250,1003,GameComplete,False,False
NA1_5224201074,1182,GameComplete,True,False
NA1_5237613084,1431,GameComplete,True,False
NA1_5237598742,1472,GameComplete,False,False
NA1_5227677298,1794,GameComplete,False,False
NA1_5227590453,1956,GameComplete,False,False
NA1_5222213009,1101,GameComplete,True,False
NA1_5222204114,1614,GameComplete,True,False
NA1_5222185727,1893,GameComplete,False,False
NA1_5222179381,804,GameComplete,False,False
NA1_5222165287,1818,GameComplete,False,False
NA1_5237773156,1826,GameComplete,False,False
NA1_5237763331,1558,GameComplete,False,False
NA1_5237753404,1831,GameComplete,False,False
NA1_5237745369,1516,GameComplete,False,False
NA1_5249570741,2186,GameComplete,False,False
NA1_5249558402,1686,GameComplete,False,False
NA1_5249546852,1695,GameComplete,False,False
NA1_5249527435,1888,GameComplete,True,False
NA1_5249505222,2331,GameComplete,False,False
NA1_5249485753,1762,GameComplete,True,False
NA1_5249457725,1999,GameComplete,False,False
NA1_5249437568,1441,GameComplete,True,False
NA1_5249418797,1626,GameComplete,False,False
NA1_5249392075,1694,GameComplete,False,False
NA1_5249328177,1415,GameComplete,False,False
NA1_5249306192,1775,GameComplete,False,False
NA1_5249290416,1447,GameComplete,False,False
NA1_5249273761,1709,GameComplete,False,False
NA1_5249252225,1989,GameComplete,False,False
NA1_5249232596,1958,GameComplete,False,False
NA1_5249222791,1518,GameComplete,False,False
NA1_5249211837,1199,GameComplete,True,False
NA1_5249200950,1224,GameComplete,False,False
NA1_5248995776,1896,GameComplete,False,False
NA1_5248980239,1624,GameComplete,False,False
NA1_5248960678,2039,GameComplete,False,False
NA1_5248948713,1028,GameComplete,True,False
NA1_5248936189,1260,GameComplete,True,False
NA1_5248914097,1650,GameComplete,False,False
NA1_5248895846,1400,GameComplete,True,False
NA1_5248872638,1482,GameComplete,False,False
NA1_5248852270,1467,GameComplete,False,False
NA1_5248826066,1927,GameComplete,False,False
NA1_5248682391,1139,GameComplete,False,False
NA1_5248661414,1905,GameComplete,False,False
NA1_5248643494,1568,GameComplete,False,False
NA1_5246240526,1227,GameComplete,True,False
NA1_5246225347,1595,GameComplete,True,False
NA1_5246187532,1702,GameComplete,False,False
NA1_5235771208,1373,GameComplete,False,False
NA1_5235762556,935,GameComplete,True,False
NA1_5235745641,1888,GameComplete,False,False
NA1_5235034305,1396,GameComplete,False,False
NA1_5249305174,2075,GameComplete,False,False
NA1_5249277056,1699,GameComplete,False,False
NA1_5249269281,736,GameComplete,True,False
NA1_5232999959,1497,GameComplete,False,False
NA1_5234569896,1927,GameComplete,False,False
NA1_5247654986,1687,GameComplete,False,False
NA1_5243867626,1331,GameComplete,False,False
NA1_5242747554,1834,GameComplete,False,False
NA1_5242707867,1645,GameComplete,False,False
NA1_5242687894,1494,GameComplete,False,False
NA1_5242679011,924,GameComplete,True,False
NA1_5242667071,1127,GameComplete,True,False
NA1_5242589136,1151,GameComplete,True,False
NA1_5242582046,1010,GameComplete,True,False
NA1_5242571889,1795,GameComplete,False,False
NA1_5242565983,917,GameComplete,True,False
NA1_5242449177,1253,GameComplete,True,False
NA1_5242187349,1919,GameComplete,False,False
NA1_5242169564,1392,GameComplete,False,False
NA1_5242056054,1867,GameComplete,False,False
NA1_5242038275,1004,GameComplete,True,False
NA1_5242022061,1413,GameComplete,False,False
NA1_5242013602,1058,GameComplete,True,False
NA1_5242003663,1700,GameComplete,False,False
NA1_5241632949,1849,GameComplete,False,False
NA1_5241618493,951,GameComplete,True,False
NA1_5241595751,1662,GameComplete,False,False
NA1_5241570463,1463,GameComplete,True,False
NA1_5241557812,1310,GameComplete,False,False
NA1_5241541139,1466,GameComplete,True,False
NA1_5241492207,1876,GameComplete,False,False
NA1_5241473765,1933,GameComplete,False,False
NA1_5241463687,940,GameComplete,True,False
