puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,48,SILVER,IV,6,6,13,1.0,2.1666666666666665,2.0833333333333335,3.1666666666666665,1.0,67,96,63,0.6979166666666666,0.65625,1.0260416666666667,1.3541666666666667,0.25
flvNg_10JoEWvm7UOKlZWgDtgp9wFbBaqXcu8iLJ0MLdXYeTOk4-bfTU_ywRMPntM2uI0MLDOU4_FA,106,UNRANKED,UNRANKED,3,9,9,0.3333333333333333,1.0,0.8333333333333334,1.3333333333333333,1.0,22,153,64,0.1437908496732026,0.41830065359477125,0.35294117647058826,0.5620915032679739,0.11764705882352941
Ielovze1Zki0oX2agwlS0CU-JoJSVzu047k1eqpZEFEPvWXg-4TPa4uPll9gXGhKt9UP0GophD46aw,352,SILVER,IV,15,9,10,1.6666666666666667,1.1111111111111112,2.2222222222222223,2.7777777777777777,2.0,453,560,492,0.8089285714285714,0.8785714285714286,1.2482142857142857,1.6875,0.639344262295082
9Fasknbv-Ft7Ua0r448puEd2nk-QMoncECN0QE-ZGoFitu5pmlLEiaMVNKjZiK--bKrUG9jBa3K2Fg,481,SILVER,IV,7,12,8,0.5833333333333334,0.6666666666666666,0.9166666666666666,1.25,1.0,776,898,757,0.8641425389755011,0.8429844097995546,1.2856347438752784,1.7071269487750558,1.0833333333333333
PyWC9Dsp4Ii1wgimZNlFU5TVhTDXVN-3ZfiWT5zVRxtFblc3g39BzGDEmUSVBKwC925CTdGarZ7W0g,415,SILVER,IV,386,438,497,0.8812785388127854,1.134703196347032,1.4486301369863013,2.0159817351598175,1.5357142857142858,486,613,875,0.7928221859706363,1.4274061990212072,1.5065252854812399,2.2202283849918434,0.8867924528301887
SS6p47IBfRU7sEDlV_Z5ph5axLxIGVaChi89kuXg2D_AhaA-d68Xxs0xAL6wUWioMgtf73VC0g5UzA,148,SILVER,IV,25,13,8,1.9230769230769231,0.6153846153846154,2.230769230769231,2.5384615384615383,0.0,424,665,1021,0.637593984962406,1.5353383458646617,1.4052631578947368,2.172932330827068,1.0
AOqFZmL5J74JZTv3LO-ex684QMJQf_beLra7Fqvpy09kBQO-GGIH2ItoDKWsbIBxW7VvT0FrTWtCjw,253,SILVER,IV,491,400,355,1.2275,0.8875,1.67125,2.115,1.4516129032258065,693,668,811,1.0374251497005988,1.214071856287425,1.6444610778443114,2.251497005988024,0.9230769230769231
V4Wg1NZPJuYT08RhUBoo7YailUkchyEadTJQnBxe1H_zdVKE4rG0ggm7iRTXgxz3cSNSapqXnMNNLg,280,SILVER,IV,13,7,4,1.8571428571428572,0.5714285714285714,2.142857142857143,2.4285714285714284,3.0,734,684,792,1.0730994152046784,1.1578947368421053,1.652046783625731,2.2309941520467835,1.173913043478261
t-BGO3VwzPOLvjhsm3r61iVYjRyRzKM1Xr88t-DpUVvCad-gP2qoEzE40wdWvktkaEaBpAcT-514qg,459,BRONZE,III,38,20,35,1.9,1.75,2.775,3.65,1.0,719,471,963,1.526539278131635,2.0445859872611467,2.5488322717622083,3.5711252653927814,1.173913043478261
XXleCo1H6vK4kjIsm0Viyk7iPn-NFpVv1vHTeCKJvv8obNvJ4g021WYkIqcXBSvCPkn_gPh1keWRgA,3,UNRANKED,UNRANKED,245,87,170,2.8160919540229883,1.9540229885057472,3.793103448275862,4.7701149425287355,2.5,,,,,,,,
u9zAgGBEU4u5-G8oaVajDv7kDzCDNn1lLBgaepBu2w88sTGLh4MVERPRaVWcStiY-vOEJ4vq45M_3w,175,UNRANKED,UNRANKED,278,519,944,0.535645472061657,1.8188824662813101,1.4450867052023122,2.3545279383429674,0.9230769230769231,6,41,17,0.14634146341463414,0.4146341463414634,0.35365853658536583,0.5609756097560976,0.0
-34TTdlZLMwDGKqLLqQvbCK2_u4Xk52Sut0Cpqy2TPUXyDov-hcdwfdbsrFv1ca2xkabq1QsI9tedw,164,SILVER,IV,35,32,51,1.09375,1.59375,1.890625,2.6875,2.5,603,577,897,1.0450606585788562,1.5545927209705372,1.8223570190641247,2.5996533795493932,1.2222222222222223
Dol3xPKR_bWNhruYmpcLl_trdSGwLbMMSq42OUe__KJ179jpiWPNBuFc_HP2VkYtVQ_g9MR-SikWvA,63,SILVER,IV,36,37,29,0.972972972972973,0.7837837837837838,1.364864864864865,1.7567567567567568,2.5,760,749,828,1.014686248331108,1.1054739652870493,1.5674232309746328,2.1201602136181577,0.8181818181818182
