matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5205146091,1060,GameComplete,True,False
NA1_5205092443,2088,GameComplete,False,False
NA1_5204504703,1677,GameComplete,False,False
NA1_5204355832,2041,GameComplete,False,False
NA1_5203708974,3131,GameComplete,False,False
NA1_5203655034,1958,GameComplete,True,False
NA1_5202848092,2186,GameComplete,False,False
NA1_5202170464,1677,GameComplete,False,False
NA1_5202130344,2132,GameComplete,False,False
NA1_5201400077,1870,GameComplete,False,False
NA1_4815846134,1426,,True,False
NA1_4815829301,1681,,True,False
NA1_4815807567,1689,,False,False
NA1_4815727651,1971,,True,False
NA1_4815720666,939,,True,False
NA1_4777926187,1147,,True,False
NA1_4777874409,2166,,False,False
NA1_4777842263,1614,,False,False
NA1_4777819489,920,,True,False
NA1_4776399507,1827,,False,False
NA1_4762943245,1596,,False,False
NA1_4760848217,1149,,True,False
NA1_4760045108,1962,,False,False
NA1_4760040356,932,,True,False
NA1_4760022633,1019,,True,False
NA1_4755144922,1563,,True,False
NA1_4755113555,1761,,True,False
NA1_4755096607,984,,True,False
NA1_4755082388,1446,,False,False
NA1_5250650528,2085,GameComplete,False,False
NA1_5250636476,1883,GameComplete,False,False
NA1_5241164038,1578,GameComplete,True,False
NA1_5240766397,1651,GameComplete,False,False
NA1_5240747553,2898,GameComplete,False,False
NA1_5240117890,2097,GameComplete,False,False
NA1_5240104365,1599,GameComplete,False,False
NA1_5236431707,1352,GameComplete,True,False
NA1_5224723660,339,GameComplete,True,False
NA1_5222256952,1271,GameComplete,False,False
NA1_5222248476,999,GameComplete,False,False
NA1_5146083780,2082,GameComplete,False,False
NA1_5146070001,936,GameComplete,True,False
NA1_5122555716,1416,GameComplete,False,False
NA1_5121634290,2031,GameComplete,False,False
NA1_5121627704,311,GameComplete,True,False
NA1_5120256184,1566,GameComplete,False,False
NA1_5119603168,1215,GameComplete,True,False
NA1_5115919379,1707,GameComplete,True,False
NA1_5109490523,3163,GameComplete,False,False
NA1_5107974615,1654,GameComplete,True,False
NA1_5107724151,2090,GameComplete,False,False
NA1_5107691955,1275,GameComplete,False,False
NA1_5107651535,1658,GameComplete,False,False
NA1_5107618408,2166,GameComplete,True,False
NA1_5103786663,1711,GameComplete,False,False
NA1_5103763642,1704,GameComplete,False,False
NA1_5103752826,1473,GameComplete,False,False
NA1_5103692641,1869,GameComplete,False,False
NA1_5103664387,1555,GameComplete,False,False
NA1_5103627295,1865,GameComplete,False,False
NA1_5101414382,1844,GameComplete,False,False
NA1_5091744770,1815,GameComplete,True,False
NA1_5085235697,1479,GameComplete,False,False
NA1_5085194034,1988,GameComplete,False,False
NA1_5085144402,1892,GameComplete,False,False
NA1_5076177795,1765,GameComplete,False,False
NA1_5076165475,127,GameComplete,False,True
NA1_5074747611,2015,GameComplete,False,False
NA1_5074732563,341,GameComplete,True,False
NA1_5074676588,2150,GameComplete,False,False
NA1_5074618573,1556,GameComplete,False,False
NA1_5069869015,2084,GameComplete,False,False
NA1_5069851934,1502,GameComplete,True,False
NA1_5068741852,1438,GameComplete,False,False
NA1_5068682755,1737,GameComplete,False,False
NA1_5068670832,1966,GameComplete,False,False
NA1_5062676436,1638,GameComplete,False,False
NA1_5062453727,1348,GameComplete,False,False
NA1_5062437050,1240,GameComplete,False,False
NA1_5021782221,2013,GameComplete,False,False
NA1_5252525077,2878,GameComplete,False,False
NA1_5250599470,2130,GameComplete,False,False
NA1_5249993293,2356,GameComplete,False,False
NA1_5249553591,1835,GameComplete,False,False
NA1_5248733657,1686,GameComplete,False,False
NA1_5248708172,1976,GameComplete,False,False
NA1_5248655325,1923,GameComplete,False,False
NA1_5248333531,1114,GameComplete,True,False
NA1_5247050458,2065,GameComplete,False,False
NA1_5246876562,2026,GameComplete,False,False
NA1_5246856958,1913,GameComplete,False,False
NA1_5246782717,1918,GameComplete,False,False
NA1_5246727161,2288,GameComplete,False,False
NA1_5246530667,2020,GameComplete,True,False
NA1_5245434362,1787,GameComplete,True,False
NA1_5245312650,1853,GameComplete,False,False
NA1_5243526648,1329,GameComplete,False,False
NA1_5243495382,2041,GameComplete,False,False
NA1_5242371306,1348,GameComplete,True,False
NA1_5240671930,1711,GameComplete,True,False
NA1_5198741513,1590,GameComplete,False,False
NA1_5196402876,1751,GameComplete,True,False
NA1_5161652170,1451,GameComplete,True,False
NA1_5158745038,2046,GameComplete,False,False
NA1_5158265476,1510,GameComplete,False,False
NA1_5155686891,1733,GameComplete,False,False
NA1_5155287654,2149,GameComplete,True,False
NA1_5155061296,1389,GameComplete,False,False
NA1_5155028819,2232,GameComplete,False,False
NA1_5154918040,2186,GameComplete,False,False
NA1_5154671681,2508,GameComplete,True,False
NA1_5154660097,927,GameComplete,True,False
NA1_5154640409,1259,GameComplete,True,False
NA1_5153137021,2045,GameComplete,False,False
NA1_5152907781,1030,GameComplete,True,False
NA1_5152890156,1986,GameComplete,False,False
NA1_5152875111,1845,GameComplete,False,False
NA1_5152863746,1728,GameComplete,False,False
NA1_5151361754,2068,GameComplete,False,False
NA1_5151294149,1989,GameComplete,False,False
NA1_5150629321,1069,GameComplete,True,False
NA1_5150536189,2209,GameComplete,False,False
NA1_5150165051,1469,GameComplete,False,False
NA1_5149178718,1949,GameComplete,False,False
NA1_5148786637,2982,GameComplete,False,False
NA1_5148640824,1767,GameComplete,False,False
NA1_5148605224,1528,GameComplete,False,False
NA1_5148241973,1760,GameComplete,True,False
NA1_5148046083,1860,GameComplete,False,False
NA1_5147470954,1708,GameComplete,False,False
NA1_5145290767,1846,GameComplete,True,False
NA1_5145268079,970,GameComplete,True,False
NA1_5145241293,1434,GameComplete,True,False
NA1_5145203355,2161,GameComplete,False,False
NA1_5144953012,1758,GameComplete,True,False
NA1_5144020939,2228,GameComplete,False,False
NA1_5143991514,1593,GameComplete,False,False
NA1_5142542135,2286,GameComplete,False,False
NA1_5142526696,1644,GameComplete,False,False
NA1_5142523712,106,GameComplete,False,True
NA1_5140669931,1848,GameComplete,False,False
NA1_5140649484,1605,GameComplete,False,False
NA1_5140573904,1352,GameComplete,True,False
NA1_5140181571,1384,GameComplete,False,False
NA1_5140012803,1661,GameComplete,False,False
NA1_4877214416,1595,,False,False
NA1_4866341812,1267,,True,False
NA1_4866125705,1761,,False,False
NA1_4862486406,1962,,False,False
NA1_4858363678,2196,,False,False
NA1_4846265764,1890,,False,False
NA1_4809158094,1602,,True,False
NA1_4809111872,1871,,False,False
NA1_4804713022,1747,,False,False
NA1_4804239105,1703,,False,False
NA1_4804052732,1662,,False,False
NA1_4803705904,1824,,False,False
NA1_4802096315,1155,,True,False
NA1_4802079311,1642,,True,False
NA1_4801878856,2224,,False,False
NA1_4798646269,1806,,False,False
NA1_4796958993,1195,,True,False
NA1_4796946540,104,,False,True
NA1_4795255212,1969,,False,False
NA1_4791500373,1720,,True,False
NA1_4791404165,1823,,False,False
NA1_4791374188,1093,,False,False
NA1_4791349214,933,,True,False
NA1_4785965757,1977,,False,False
NA1_4780779621,1917,,False,False
NA1_4778172524,1566,,False,False
NA1_4777967270,2084,,False,False
NA1_4777190837,2830,,False,False
NA1_4776918316,2014,,False,False
NA1_4776795753,1409,,True,False
NA1_4759886222,2191,,False,False
NA1_4682777729,1210,,True,False
NA1_4681877279,1466,,True,False
NA1_4679412325,2173,,False,False
NA1_4679227388,1234,,True,False
NA1_4678652000,1961,,False,False
NA1_5213703587,1810,GameComplete,False,False
NA1_5213673642,1733,GameComplete,False,False
NA1_5211449598,1779,GameComplete,False,False
NA1_5120086506,1433,GameComplete,False,False
NA1_5120069443,1421,GameComplete,False,False
NA1_5119553558,1618,GameComplete,False,False
NA1_5119543950,1421,GameComplete,False,False
NA1_5119528890,1403,GameComplete,False,False
NA1_5109361237,1375,GameComplete,False,False
NA1_5108673543,2051,GameComplete,False,False
NA1_5108640463,1662,GameComplete,False,False
NA1_5105173565,1409,GameComplete,False,False
NA1_5104042727,1377,GameComplete,False,False
NA1_5241304356,984,GameComplete,True,False
NA1_5237655763,924,GameComplete,True,False
NA1_5235099261,1659,GameComplete,True,False
NA1_5235088434,2568,GameComplete,False,False
NA1_5235084119,947,GameComplete,True,False
NA1_5235074779,1810,GameComplete,False,False
NA1_5235064337,1095,GameComplete,False,False
NA1_5235048102,1768,GameComplete,True,False
NA1_5232971581,2219,GameComplete,False,False
NA1_5230667168,1073,GameComplete,True,False
NA1_5230648412,1705,GameComplete,False,False
NA1_5230372422,970,GameComplete,True,False
NA1_5228454784,2266,GameComplete,False,False
NA1_5226493041,1818,GameComplete,False,False
NA1_5225744774,2213,GameComplete,False,False
NA1_5225350863,1798,GameComplete,False,False
NA1_5224867041,2494,GameComplete,False,False
NA1_5224242911,2563,GameComplete,False,False
NA1_5224237058,473,GameComplete,True,False
NA1_5224089483,1715,GameComplete,False,False
NA1_5224014315,1776,GameComplete,False,False
NA1_5223977554,2036,GameComplete,False,False
NA1_5223931601,1823,GameComplete,False,False
NA1_5223896799,2284,GameComplete,False,False
NA1_5223866195,1679,GameComplete,True,False
NA1_5222073378,1624,GameComplete,False,False
NA1_5222040743,1924,GameComplete,False,False
NA1_5222013723,1092,GameComplete,True,False
NA1_5221314269,1156,GameComplete,True,False
NA1_5221288961,980,GameComplete,True,False
NA1_5220713423,2030,GameComplete,False,False
NA1_5220567730,1567,GameComplete,True,False
NA1_5219922558,2077,GameComplete,False,False
NA1_5219907127,2032,GameComplete,False,False
NA1_5219888782,1770,GameComplete,False,False
NA1_5219153318,2248,GameComplete,False,False
NA1_5219137937,1921,GameComplete,False,False
NA1_5219104721,2910,GameComplete,False,False
NA1_5218449036,1535,GameComplete,False,False
NA1_5218428674,1840,GameComplete,False,False
NA1_5218415722,1228,GameComplete,True,False
NA1_5217729530,2673,GameComplete,False,False
NA1_5217689846,1005,GameComplete,True,False
NA1_5217657036,2226,GameComplete,False,False
NA1_5216310826,1531,GameComplete,True,False
NA1_5216293071,1790,GameComplete,False,False
NA1_5216261258,2129,GameComplete,False,False
NA1_5216244344,1156,GameComplete,True,False
NA1_5216218023,1720,GameComplete,True,False
NA1_5215536279,1864,GameComplete,False,False
NA1_5215461628,2264,GameComplete,False,False
NA1_5215447621,1127,GameComplete,True,False
NA1_5214607276,1962,GameComplete,True,False
NA1_5214592789,2095,GameComplete,False,False
NA1_5212934342,1504,GameComplete,False,False
NA1_5212907671,2314,GameComplete,False,False
NA1_5212887586,1639,GameComplete,False,False
NA1_5211551234,2098,GameComplete,False,False
NA1_5210888797,3259,GameComplete,False,False
NA1_5210871394,2131,GameComplete,False,False
NA1_5210853608,2049,GameComplete,False,False
NA1_5209286063,1551,GameComplete,True,False
NA1_5207843575,1875,GameComplete,False,False
NA1_5207820125,1854,GameComplete,False,False
NA1_5205972271,2022,GameComplete,False,False
NA1_5205963597,962,GameComplete,True,False
NA1_5204209904,1707,GameComplete,False,False
NA1_5203648401,2567,GameComplete,True,False
NA1_5199464902,1903,GameComplete,False,False
NA1_5198937016,1733,GameComplete,True,False
NA1_5198918959,2236,GameComplete,False,False
NA1_5198445605,1745,GameComplete,False,False
NA1_5198172366,1487,GameComplete,True,False
NA1_5197477807,2349,GameComplete,False,False
NA1_5197454554,1833,GameComplete,False,False
NA1_5197440633,1199,GameComplete,False,False
NA1_5197355712,2622,GameComplete,False,False
NA1_5197343618,1490,GameComplete,True,False
NA1_5197332863,2113,GameComplete,False,False
NA1_5196615869,2075,GameComplete,False,False
NA1_5196583697,2289,GameComplete,False,False
NA1_5196563466,2140,GameComplete,False,False
NA1_5196549249,1682,GameComplete,False,False
NA1_5195929027,1851,GameComplete,False,False
NA1_5195904916,2121,GameComplete,False,False
NA1_5195877690,1668,GameComplete,False,False
NA1_5195873726,138,GameComplete,False,True
NA1_5194072836,2039,GameComplete,False,False
NA1_5184263349,1732,GameComplete,False,False
NA1_5184256553,107,GameComplete,False,True
NA1_5183987923,1991,GameComplete,False,False
NA1_5183447008,1246,GameComplete,True,False
NA1_5183421232,1873,GameComplete,False,False
NA1_5183392720,1703,GameComplete,False,False
NA1_5183368950,1394,GameComplete,True,False
NA1_5183338998,1633,GameComplete,False,False
NA1_5181652803,2500,GameComplete,True,False
NA1_5181640197,1297,GameComplete,True,False
NA1_5181636253,133,GameComplete,False,True
NA1_5178066862,2081,GameComplete,True,False
NA1_4878612659,2590,,True,False
NA1_4859519077,1059,,False,False
NA1_4859497367,877,,False,False
NA1_5252606907,2269,GameComplete,False,False
NA1_5252582181,2325,GameComplete,False,False
NA1_5252227496,2354,GameComplete,False,False
NA1_5252200268,1863,GameComplete,False,False
NA1_5252010569,2287,GameComplete,False,False
NA1_5251469417,1975,GameComplete,False,False
NA1_5250920168,2318,GameComplete,False,False
NA1_5250911582,188,GameComplete,False,True
NA1_5250896916,1765,GameComplete,False,False
NA1_5250876816,2105,GameComplete,False,False
NA1_5250847902,1591,GameComplete,False,False
NA1_5250832972,1746,GameComplete,False,False
NA1_5250352418,1760,GameComplete,False,False
NA1_5249985054,1961,GameComplete,False,False
NA1_5249954972,2090,GameComplete,True,False
NA1_5249934152,1281,GameComplete,True,False
NA1_5249917643,922,GameComplete,True,False
NA1_5249888385,2188,GameComplete,False,False
NA1_5249874172,1062,GameComplete,True,False
NA1_5249849684,1677,GameComplete,False,False
NA1_5249399315,2019,GameComplete,False,False
NA1_5249376404,1318,GameComplete,True,False
NA1_5249353775,1692,GameComplete,False,False
NA1_5249256465,1720,GameComplete,False,False
NA1_5249237825,2281,GameComplete,False,False
NA1_5249217450,1663,GameComplete,False,False
NA1_5248067704,2418,GameComplete,False,False
NA1_5248053047,1394,GameComplete,False,False
NA1_5248027603,1973,GameComplete,False,False
NA1_5248002051,1967,GameComplete,False,False
NA1_5247968654,3042,GameComplete,False,False
NA1_5247437058,1960,GameComplete,False,False
NA1_5247408252,2017,GameComplete,False,False
NA1_5247391753,1829,GameComplete,True,False
NA1_5247373941,1611,GameComplete,False,False
NA1_5247358753,1573,GameComplete,False,False
NA1_5247338729,1835,GameComplete,False,False
NA1_5247311698,2194,GameComplete,False,False
NA1_5247311872,112,GameComplete,False,True
NA1_5246738609,2664,GameComplete,False,False
NA1_5246724488,1796,GameComplete,False,False
NA1_5246710326,2319,GameComplete,False,False
NA1_5246366205,1525,GameComplete,True,False
NA1_5246303583,2933,GameComplete,False,False
NA1_5246280918,2037,GameComplete,True,False
NA1_5246191540,2000,GameComplete,False,False
NA1_5246178524,1860,GameComplete,False,False
NA1_5246166225,1897,GameComplete,True,False
NA1_5246154319,2069,GameComplete,True,False
NA1_5245295969,2273,GameComplete,False,False
NA1_5245259588,2306,GameComplete,False,False
NA1_5245052105,2920,GameComplete,False,False
NA1_5244124253,1822,GameComplete,False,False
NA1_5244085641,1840,GameComplete,True,False
NA1_5242800972,1859,GameComplete,True,False
NA1_5242775750,1586,GameComplete,True,False
NA1_5242748561,1625,GameComplete,False,False
NA1_5242728439,1640,GameComplete,False,False
NA1_5242711034,1747,GameComplete,False,False
NA1_5242700136,807,GameComplete,True,False
NA1_5242677057,2311,GameComplete,False,False
NA1_5242178347,1720,GameComplete,True,False
NA1_5242143517,2410,GameComplete,False,False
NA1_5242123586,1806,GameComplete,False,False
NA1_5242103482,1838,GameComplete,False,False
NA1_5242086402,1901,GameComplete,False,False
NA1_5242076452,915,GameComplete,True,False
NA1_5241697409,1981,GameComplete,False,False
NA1_5241665488,2446,GameComplete,False,False
NA1_5241636504,1954,GameComplete,False,False
NA1_5241612288,2166,GameComplete,False,False
NA1_5241019119,2183,GameComplete,False,False
NA1_5241000034,1923,GameComplete,False,False
NA1_5240421461,2444,GameComplete,False,False
NA1_5240392930,2320,GameComplete,False,False
NA1_5240295253,1858,GameComplete,True,False
NA1_5239824047,1969,GameComplete,True,False
NA1_5239805972,1226,GameComplete,False,False
NA1_5239658725,1913,GameComplete,False,False
NA1_5239647786,1316,GameComplete,False,False
NA1_5239635787,1282,GameComplete,False,False
NA1_5239606582,2041,GameComplete,False,False
NA1_5239194686,1795,GameComplete,False,False
NA1_5239169206,1966,GameComplete,False,False
NA1_5239137820,2463,GameComplete,False,False
NA1_5239114564,1784,GameComplete,False,False
NA1_5239090237,2690,GameComplete,False,False
NA1_5236005478,1894,GameComplete,False,False
NA1_5235982700,1909,GameComplete,False,False
NA1_5235976471,102,GameComplete,False,True
NA1_5235954078,2039,GameComplete,False,False
NA1_5235930398,2255,GameComplete,False,False
NA1_5235403121,2184,GameComplete,False,False
NA1_5235378152,1921,GameComplete,False,False
NA1_5235359469,1370,GameComplete,False,False
NA1_5234808488,2877,GameComplete,True,False
NA1_5234781023,1828,GameComplete,False,False
NA1_5234758762,1607,GameComplete,True,False
NA1_5234728807,1688,GameComplete,False,False
NA1_5234135959,1414,GameComplete,True,False
NA1_5251941955,1501,GameComplete,False,False
NA1_5251928484,1148,GameComplete,True,False
NA1_5251434927,2151,GameComplete,False,False
NA1_5248566245,2293,GameComplete,False,False
NA1_5248547502,1748,GameComplete,False,False
NA1_5248527830,2573,GameComplete,False,False
NA1_5247629819,1644,GameComplete,False,False
NA1_5247604237,1428,GameComplete,True,False
NA1_5247443366,2123,GameComplete,True,False
NA1_5247424003,1820,GameComplete,False,False
NA1_5247411165,1197,GameComplete,True,False
NA1_5246952432,3090,GameComplete,False,False
NA1_5244429663,1957,GameComplete,False,False
NA1_5244294532,2169,GameComplete,False,False
