matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5205146091,ojntj_rW3HA7K0kURxe9MQJOZWo4CTndhSMzmDR71hlrgRloXZahFUIBCaT8yAovjcCRYbCRK9toDw,100,341,SUPPORT,TOP,1,1,5,897,True,False,14,1060,349,GOLD,III,30,312629
NA1_5205146091,qUSEEWdS0BvyifgDoSE4r5EQBc7dLMYrgSDU_W2iXkwvxn91J39aGj3s0c9g8N9y2yKpejVv8Hmnqg,100,541,SUPPORT,JUNGLE,15,5,6,11,True,False,85,1060,319,SILVER,II,76,863873
NA1_5205146091,UP8_VeqYCM2eGeJcXYVCvNKuzJrdai9bIY1f_A-wDnbm1q3L9ZVhDCrb1Oj3SD1nTcv2RV8DfGIccg,100,163,SUPPORT,MIDDLE,5,3,10,10,True,False,50,1060,374,SILVER,III,4,16000
NA1_5205146091,xyrED3J9IOeUfHo6rHZt0ShBbgoYJtPIzQtrLWifC3G5Di6dqdyvbBhKZMyl9DmkixjlThbQuHB-dw,100,774,SUPPORT,BOTTOM,7,1,5,236,True,False,10,1060,138,GOLD,I,13,134795
NA1_5205146091,Kinn8iHFmfL5Cf-vjGIMJ48KO9pldK4Yx6lwj4XuwEKFETMe8H4ZDN1VO0L-x1hdlNgBbP1qg940eA,100,712,SUPPORT,UTILITY,0,4,12,43,True,False,55,1060,447,GOLD,IV,9,69287
NA1_5205146091,l01hbNAElEz_XwBYSZIokAsEHvVEvLYgsGN57-KqOY1Mit3n3nfj4ltYJOB3f5rRZxzKUAFjbFSHYA,200,239,SUPPORT,TOP,5,6,2,223,False,False,125,1060,486,PLATINUM,I,56,630915
NA1_5205146091,JDQ26x7b40YOHVp5sWkMDexBN910qbSwZfeNM1Z7yW7q9c8MWvot4FHZU02F9BIxTYYS9l5xJ8IYmg,200,151,SUPPORT,JUNGLE,2,4,4,20,False,False,60,1060,450,SILVER,IV,30,305697
NA1_5205146091,gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,200,47,SUPPORT,MIDDLE,3,7,0,86,False,False,145,1060,246,SILVER,IV,3,6368
NA1_5205146091,DTPFQ6qHIwPy3I7R2rxjDq03vX7Ddk_sugblC7mfoL6JA-97Ak47JN0M2YWt0gEb1JcXmYesQKVjWQ,200,243,DUO,BOTTOM,3,7,1,21,False,False,128,1060,463,PLATINUM,III,6,26524
NA1_5205146091,hYoQ8lQiCPIRLVPhynO4Tadml7VCkq2ahKxKdfytKm_95iE3_WKIR7r-4SADsMhTVC7FoZHJkdG-oQ,200,49,SUPPORT,UTILITY,1,4,6,50,False,False,65,1060,699,SILVER,I,7,53281
NA1_5205092443,hBarcD8XnzJpR5jGZqttgoR1aKnOs70AkPOx-J1Bywa7DBvDnlaR2YjOUGt1AjCejBOx8lIDBKxExw,100,39,SOLO,TOP,5,8,12,8,True,False,299,2088,402,SILVER,IV,5,27370
NA1_5205092443,yfYaTN_9rYqFq3NvXBV-C9Q66zg_40pdrCXJbROdPsuzUrBShnRr0saKI407bNeqvIdDSovSLwDl-w,100,981,NONE,JUNGLE,14,7,13,254,True,False,276,2088,500,GOLD,IV,6,33714
NA1_5205092443,H4zIUIkbufvdHjhroeKTjcy8zF4T5nRSB0crIt1ps0d4ESlnwJ0wNAIBCQyrn-5ZCU49TL7SvLYhbA,100,431,SOLO,MIDDLE,8,3,12,103,True,False,131,2088,1031,SILVER,III,14,125366
NA1_5205092443,ynQSbB6mbxaeFVibmmd8T024uLMmr-iHWiaYlXTJcABIzRGyjlP3YgB-XImbRsH8bzhSf_Boz6KVCw,100,420,CARRY,BOTTOM,9,4,14,22,True,False,108,2088,630,SILVER,IV,7,50561
NA1_5205092443,rIOmvkD1KiMVYQ1bzj3Izqwr0p7EQLx1W8q_bYHIRWf1pgVZwDFtFQzrckNp8boRkLpdVtZKQtHUPA,100,68,SUPPORT,UTILITY,5,6,22,235,True,False,181,2088,427,SILVER,IV,29,292905
NA1_5205092443,K2iGPL8BHIFEcqm2gixoX2cG_Rd2l8t4eYXH8x6nUhls-Es9HIbUc8GNnjHQr4RNEQ0QlP9gFB5ZFw,200,274,SOLO,TOP,7,6,3,82,False,False,218,2088,682,GOLD,IV,23,307478
NA1_5205092443,ZMHxlF29ZvJepy3OfQKP5_jLOaFt3CJz7pjQ_oWqQP3pubBD1mzNX00CZzceWsEFLIgrENextBS17w,200,325,SUPPORT,JUNGLE,10,7,3,56,False,False,279,2088,586,GOLD,IV,11,97504
NA1_5205092443,gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,200,47,CARRY,MIDDLE,1,12,3,134,False,False,399,2088,299,SILVER,IV,1,657
NA1_5205092443,Xvh-rZ3AJTc0vtrIrIOpe9UnAQibaRzzdOmSC4RrUBpdJwKzW893Q5-lqNtEV7GFXZ2ZVkvwhUsa6A,200,176,CARRY,BOTTOM,8,7,6,145,False,False,192,2088,581,UNRANKED,UNRANKED,18,195263
NA1_5205092443,OXrkndbROMLXYVae3N_Y_sow_lesVfSurpxllHNFvi3Q9jdLH5F8_aKnFThUD-TBQCeED8owzVYGwA,200,34,SUPPORT,UTILITY,2,9,13,16,False,False,205,2088,397,SILVER,II,1,812
NA1_5204504703,FlYKEzWX7p75qHPOBBOZ0JAjg8KJp7PATFYAhordhSdbkEpnHA5zFodOKgtuTXeNywv8Tl0qYOCh2Q,100,295,SOLO,TOP,2,2,2,897,False,False,71,1677,843,BRONZE,II,1,1700
NA1_5204504703,gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,100,47,NONE,JUNGLE,6,9,2,121,False,False,302,1677,742,SILVER,IV,3,10519
NA1_5204504703,ne7K-G4kJ1EwZyxwOkiiiJZFa29C17DRaHuGzrTLQNw2-okhOKHxzvG6Ijn_AoDvq9zpnwQ5aeowLg,100,382,SOLO,MIDDLE,2,8,5,112,False,False,224,1677,334,SILVER,II,29,315393
NA1_5204504703,IomaaLF3PneYLrY1FfoY9j1z-MdthemcdaAazvvbTDixNatf5ZYNJRXDv0WOcUShls56OBBlpHwvIA,100,675,CARRY,BOTTOM,7,5,1,15,False,False,152,1677,1003,SILVER,II,19,236573
NA1_5204504703,NPhg-6AtP-ahjL-OyiUizRrihvCQ5hnnz9UXQfed6lpWo_g9156NhVSANWyhr7Im-_2HZ52ZbY11VQ,100,238,SUPPORT,UTILITY,0,8,7,117,False,False,165,1677,490,GOLD,IV,41,436330
NA1_5204504703,qddrlpIggzeUxPetUc1khDQ2viwysqxP_Vv0BFtlQpAK-kEUCrHdVTfV0SAqQ0hXNyM0wM9bF2tpdw,200,402,SOLO,TOP,5,2,7,150,True,False,73,1677,850,PLATINUM,IV,7,51543
NA1_5204504703,IOSFOMsd-3M4-QSHATI6je3mSO3rbMwuMYg3WoMd3Gtdrp05984EqZdlVCx9otYmmJPiyum1dMheIA,200,258,NONE,JUNGLE,3,5,9,141,True,False,117,1677,606,GOLD,IV,19,181209
NA1_5204504703,RBbt0UNfDgH73I146qDY_lPB92XFBaDz6sGk-_ECh3avlHBtlTEKekA7VWjOT93P2yWthwC49oKTXQ,200,356,SOLO,MIDDLE,6,3,11,910,True,False,78,1677,577,PLATINUM,IV,8,58643
NA1_5204504703,lzh1wOtlsu_dM2OfunY-2Uic61lJLciTQU4WNQuJr3C6GYj0GKR-1VqBm8rW0YpfQOaGsH4u4ZxBgA,200,695,CARRY,BOTTOM,13,2,5,222,True,False,60,1677,803,SILVER,I,158,1824938
NA1_5204504703,MQMB95l9s4ygFOMrGnv46Ov02xqN0EzvwyCNspQ6XutcP0Vu5s-Gafvqiw7aip_adIS0e_iIeZH6Cg,200,91,SUPPORT,UTILITY,5,5,11,555,True,False,164,1677,806,GOLD,I,3,12216
NA1_5204355832,Tscx_NnHPQwXTFNyvHiKhCJxwf6snWO1T8XF7_mijuLrumML3hY4YyCIwKYgsU5tCV4B0BFN39s4sQ,100,498,SOLO,TOP,3,5,3,78,False,False,140,2041,803,PLATINUM,III,7,53028
NA1_5204355832,gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,100,47,NONE,JUNGLE,10,12,2,141,False,False,385,2041,442,SILVER,IV,3,7713
NA1_5204355832,zrulDVb4aoG3mCWQS4XHQckFT8lRVhlXTDRiUXdh5iDjdrVk674tw-eWyMB_W-HteToVm9EEdE95RA,100,375,CARRY,MIDDLE,3,9,4,84,False,False,331,2041,910,SILVER,IV,15,172247
NA1_5204355832,OgYmmyCauSSNWHQh1VbRumLQfLrsnhRHzddWCKcv1NbDIAh9FcOX1mwuvn5A_bgWDcwEAnyYSXNegQ,100,478,SOLO,BOTTOM,9,8,5,67,False,False,262,2041,546,SILVER,II,12,146310
NA1_5204355832,VzenWHL3bBsu_ANkCmCIY3NG9foq98JvyX3Ro9SgDXSWZ2PpT0nLRNgrtdq4k3xXdAHLXCjt3pfoBg,100,540,SUPPORT,UTILITY,0,9,7,25,False,False,222,2041,575,GOLD,IV,13,125775
NA1_5204355832,qrhlva6L6pJRQAjNXhImGxBjjFhQI-NuLZ6NWRZ8JXw7h0qNz3OCpdp4KnvFBqAeK5obECD7irKyNA,200,47,SOLO,TOP,9,6,6,82,True,False,190,2041,541,GOLD,III,3,9602
NA1_5204355832,fn0jgiM8CcQW_PWEXXi1SbrMcioWirte9ayQ9pRZ2HCsGTPzPv04OFMAX72DHjDETLBz_Ga6UL-UYg,200,109,NONE,JUNGLE,11,3,6,62,True,False,96,2041,1092,SILVER,III,3,12297
NA1_5204355832,DwXJkpmK35u-iYmFfLWxmVG7FRv0rFHn1fpkhgfoWu7xf3vBbPamc9mT-fG_cuWxopOzt0sNOU0thg,200,359,SOLO,MIDDLE,4,9,3,39,True,False,332,2041,304,GOLD,IV,19,214000
