matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5220791637,1546,GameComplete,False,False
NA1_5219391319,1478,GameComplete,False,False
NA1_5221529057,1571,GameComplete,False,False
NA1_5206082263,1529,GameComplete,True,False
NA1_5211424058,1244,GameComplete,False,False
NA1_5207031762,1467,GameComplete,False,False
NA1_5206316609,241,GameComplete,True,False
NA1_5204999574,1154,GameComplete,True,False
NA1_5204984790,1593,GameComplete,False,False
NA1_5212178447,1845,GameComplete,False,False
NA1_5211347516,2202,GameComplete,False,False
NA1_5210869013,1266,GameComplete,False,False
NA1_5210810002,974,GameComplete,True,False
NA1_5205708952,1171,GameComplete,True,False
NA1_5205014301,1524,GameComplete,True,False
NA1_5204792383,1681,GameComplete,False,False
NA1_5204784224,108,GameComplete,False,True
NA1_5204771694,102,GameComplete,False,True
NA1_5250865985,1073,GameComplete,True,False
NA1_5245893737,1581,GameComplete,False,False
NA1_5245869122,1602,GameComplete,True,False
NA1_5245843952,1818,GameComplete,False,False
NA1_5245812086,1910,GameComplete,False,False
NA1_5245799595,926,GameComplete,True,False
NA1_5240508369,1821,GameComplete,False,False
NA1_5240481303,1722,GameComplete,False,False
NA1_5240454136,1693,GameComplete,False,False
NA1_5239939955,1887,GameComplete,False,False
NA1_5239909620,1802,GameComplete,False,False
NA1_5239882920,1845,GameComplete,False,False
NA1_5238652184,1942,GameComplete,False,False
NA1_5238629808,1435,GameComplete,False,False
NA1_5238601506,1746,GameComplete,True,False
NA1_5238589859,972,GameComplete,True,False
NA1_5238561450,1971,GameComplete,False,False
NA1_5238547234,1046,GameComplete,True,False
NA1_5231151379,1251,GameComplete,True,False
NA1_5231117459,1960,GameComplete,False,False
NA1_5231100337,1031,GameComplete,True,False
NA1_5229657021,1743,GameComplete,False,False
NA1_5229627394,1498,GameComplete,False,False
NA1_5229598462,1880,GameComplete,False,False
NA1_5227394323,1423,GameComplete,False,False
NA1_5227318775,1505,GameComplete,False,False
NA1_5226856264,1943,GameComplete,False,False
NA1_5226834964,1637,GameComplete,False,False
NA1_5226810062,1723,GameComplete,False,False
NA1_5226783023,1948,GameComplete,False,False
NA1_5226771845,926,GameComplete,True,False
NA1_5221837673,1266,GameComplete,True,False
NA1_5221819477,1247,GameComplete,False,False
NA1_5221213602,2644,GameComplete,True,False
NA1_5221175352,2245,GameComplete,True,False
NA1_5221150728,1246,GameComplete,False,False
NA1_5221147088,244,GameComplete,True,False
NA1_5219618912,1468,GameComplete,False,False
NA1_5219587022,1317,GameComplete,False,False
NA1_5219571099,1055,GameComplete,False,False
NA1_5219545225,1644,GameComplete,False,False
NA1_5219525103,1441,GameComplete,True,False
NA1_5217463157,1531,GameComplete,True,False
NA1_5216062377,2267,GameComplete,False,False
NA1_5216030256,1674,GameComplete,False,False
NA1_5216002294,1497,GameComplete,True,False
NA1_5215976477,1372,GameComplete,True,False
NA1_5215216484,1468,GameComplete,False,False
NA1_5215172803,2169,GameComplete,False,False
NA1_5212776650,1398,GameComplete,True,False
NA1_5212756912,1314,GameComplete,True,False
NA1_5212725886,1570,GameComplete,False,False
NA1_5212688197,2333,GameComplete,False,False
NA1_5212616581,1029,GameComplete,True,False
NA1_5212605776,971,GameComplete,True,False
NA1_5212594999,723,GameComplete,True,False
NA1_5212451630,2057,GameComplete,False,False
NA1_5212139673,1700,GameComplete,True,False
NA1_5212119063,1318,GameComplete,False,False
NA1_5212110077,224,GameComplete,True,False
NA1_5212090273,914,GameComplete,True,False
NA1_5212061967,1674,GameComplete,True,False
NA1_5212031324,1653,GameComplete,True,False
NA1_5212001006,1848,GameComplete,True,False
NA1_5211995880,108,GameComplete,False,True
NA1_5210673742,1753,GameComplete,True,False
NA1_5210642696,1459,GameComplete,True,False
NA1_5210636861,368,GameComplete,True,False
NA1_5210599358,1768,GameComplete,True,False
NA1_5208729556,2133,GameComplete,False,False
NA1_5208719097,1358,GameComplete,True,False
NA1_5250890395,1528,GameComplete,False,False
NA1_5250876772,1869,GameComplete,False,False
NA1_5250582481,701,GameComplete,True,False
NA1_5250351746,1339,GameComplete,False,False
NA1_5250328783,2035,GameComplete,False,False
NA1_5250285942,1927,GameComplete,False,False
NA1_5250089067,1576,GameComplete,False,False
NA1_5250077572,917,GameComplete,True,False
NA1_5249205456,1674,GameComplete,False,False
NA1_5247982900,1972,GameComplete,False,False
NA1_5247978904,105,GameComplete,False,True
NA1_5247340455,1280,GameComplete,True,False
NA1_5246458825,1664,GameComplete,False,False
NA1_5242932908,1042,GameComplete,True,False
NA1_5242072206,1384,GameComplete,False,False
NA1_5239439081,1375,GameComplete,False,False
NA1_5238472281,1671,GameComplete,False,False
NA1_5236433581,1669,GameComplete,False,False
NA1_5236421906,1740,GameComplete,False,False
NA1_5231870175,1632,GameComplete,False,False
NA1_5231851146,1417,GameComplete,True,False
NA1_5231837818,919,GameComplete,True,False
NA1_5231487594,921,GameComplete,True,False
NA1_5231472314,1386,GameComplete,False,False
NA1_5231227300,1282,GameComplete,True,False
NA1_5221579362,1682,GameComplete,False,False
NA1_5213379549,1749,GameComplete,False,False
NA1_5234476124,1421,GameComplete,False,False
NA1_5231617064,1696,GameComplete,False,False
NA1_5231513875,2017,GameComplete,False,False
NA1_5230841454,1675,GameComplete,False,False
NA1_5230648249,1919,GameComplete,False,False
NA1_5228750754,1751,GameComplete,True,False
NA1_5228121503,1284,GameComplete,False,False
NA1_5228108419,1306,GameComplete,False,False
NA1_5227920876,1813,GameComplete,False,False
NA1_5227245172,1205,GameComplete,True,False
NA1_5226920306,1725,GameComplete,True,False
NA1_5226895115,1467,GameComplete,False,False
NA1_5226579915,1485,GameComplete,False,False
NA1_5226573084,1726,GameComplete,False,False
NA1_5226171566,1898,GameComplete,False,False
NA1_5226150680,1593,GameComplete,False,False
NA1_5225341799,1871,GameComplete,False,False
NA1_5225316363,1771,GameComplete,False,False
NA1_5225058779,1876,GameComplete,False,False
NA1_5224452079,917,GameComplete,True,False
NA1_5224434678,1393,GameComplete,True,False
NA1_5224427068,957,GameComplete,True,False
NA1_5224418994,767,GameComplete,True,False
NA1_5224405955,1137,GameComplete,True,False
NA1_5224314781,1911,GameComplete,False,False
NA1_5224303808,1934,GameComplete,False,False
NA1_5223640864,1275,GameComplete,False,False
NA1_5223637067,533,GameComplete,True,False
NA1_5223615488,1941,GameComplete,False,False
NA1_5222986794,935,GameComplete,True,False
NA1_5222941107,1120,GameComplete,True,False
NA1_5222934704,1095,GameComplete,False,False
NA1_5222376607,1459,GameComplete,False,False
NA1_5222306800,2101,GameComplete,True,False
NA1_5222279653,1773,GameComplete,False,False
NA1_5222268641,1766,GameComplete,False,False
NA1_5221880973,925,GameComplete,True,False
NA1_5221687830,437,GameComplete,True,False
NA1_5221668415,2226,GameComplete,False,False
NA1_5221594606,1869,GameComplete,True,False
NA1_5221577419,110,GameComplete,False,True
NA1_5221131707,2143,GameComplete,False,False
NA1_5221080485,1799,GameComplete,False,False
NA1_5221066400,916,GameComplete,True,False
NA1_5220853529,2532,GameComplete,True,False
NA1_5220823784,1190,GameComplete,True,False
NA1_5220812957,1922,GameComplete,False,False
NA1_5220376505,919,GameComplete,True,False
NA1_5220356607,1312,GameComplete,True,False
NA1_5220341516,925,GameComplete,True,False
NA1_5220272015,916,GameComplete,True,False
NA1_5220246747,2225,GameComplete,False,False
NA1_5219999415,1602,GameComplete,False,False
NA1_5219737975,599,GameComplete,True,False
NA1_5219704592,1622,GameComplete,False,False
NA1_5219676168,1733,GameComplete,True,False
NA1_5219322482,1820,GameComplete,False,False
NA1_5219309026,1675,GameComplete,False,False
NA1_5219269249,1393,GameComplete,True,False
NA1_5219188485,1709,GameComplete,True,False
NA1_5219182173,1350,GameComplete,False,False
NA1_5218750495,2310,GameComplete,True,False
NA1_5218671666,1605,GameComplete,True,False
NA1_5218658487,1520,GameComplete,False,False
NA1_5218559399,1272,GameComplete,True,False
NA1_5218550516,1211,GameComplete,False,False
NA1_5218449649,1686,GameComplete,True,False
NA1_5218435237,1460,GameComplete,True,False
NA1_5252080916,1118,GameComplete,False,False
NA1_5247462138,1261,GameComplete,False,False
NA1_5247449314,925,GameComplete,True,False
NA1_5247448014,107,GameComplete,False,True
NA1_5241108306,1920,GameComplete,False,False
NA1_5241078888,1460,GameComplete,True,False
NA1_5241054162,1953,GameComplete,False,False
NA1_5240684822,1674,GameComplete,False,False
NA1_5240663535,1540,GameComplete,False,False
NA1_5240646078,1428,GameComplete,False,False
NA1_5240621537,1722,GameComplete,False,False
NA1_5240597216,1604,GameComplete,False,False
NA1_5240566151,1253,GameComplete,False,False
NA1_5240542977,1431,GameComplete,False,False
