matchId,puuid,teamId,summonerLevel,role,teamPosition,kills,deaths,assists,championId,win,teamEarlySurrendered,totalTimeSpentDead,timePlayed,longestTimeSpentLiving,tier,rank,championLevel,championPoints
NA1_5220791637,flvNg_10JoEWvm7UOKlZWgDtgp9wFbBaqXcu8iLJ0MLdXYeTOk4-bfTU_ywRMPntM2uI0MLDOU4_FA,100,106,DUO,TOP,1,5,4,78,True,False,168,1546,493,UNRANKED,UNRANKED,59,638632
NA1_5220791637,gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,100,48,NONE,JUNGLE,3,1,4,876,True,False,47,1546,1189,SILVER,IV,2,2095
NA1_5220791637,mYJT9yiBPdug2C8L5AVzYWCYcySQxgKSggfsY7T3nyFawuMnNflR7hiz4b6H6LsF41hqSptsjJmOqA,100,109,DUO,MIDDLE,12,2,0,523,True,False,96,1546,746,SILVER,IV,31,310707
NA1_5220791637,ExrM37bNpOFXl6hBxZSflA7O39qtEBzFH_VSSjV5VIz_uhmYdfsy0YCIz-nW_DH3CISqmH6HcLmJZw,100,378,CARRY,BOTTOM,1,7,3,150,True,False,201,1546,290,UNRANKED,UNRANKED,56,784623
NA1_5220791637,AtGJhZCq-4PcBKGg1-wdNK9Fl69qYLbeVYsdF9qpxC-_wrGFmNvv0nVvm3928hQOTOTv4dLsyfbCWw,100,145,SUPPORT,UTILITY,3,0,5,17,True,False,0,1546,1542,UNRANKED,UNRANKED,14,129787
NA1_5220791637,NsoFox9UNHZPPFm5GIrrVRGuiy_szuuEYm0pvA8XJ26JXqJe_oUbsY-A3pYauwxQUB2e-ho334KiYA,200,44,SOLO,TOP,3,5,3,875,False,False,163,1546,616,UNRANKED,UNRANKED,5,21692
NA1_5220791637,fQwcNqG3XWwaYoV5jbzAomqAmuXccpGvyKyXlXxJoU41_fh_xl5Y4nomHoywFfaDxtv6meGZvQsfUg,200,230,NONE,JUNGLE,2,1,0,887,False,False,55,1546,1402,BRONZE,II,10,79928
NA1_5220791637,Llm5H7RW4AKGprEByVsihkEB_Vz0qm4818rN8bSlKeKbSjNoZAJC8qFve_3zHg7gZ57TETpXKBoL9w,200,26,SOLO,MIDDLE,1,5,1,17,False,False,160,1546,388,UNRANKED,UNRANKED,6,43929
NA1_5220791637,jHockwpfzKlfyjrIpaFAsiJWRq4tBUpnrSCgMVBDqLfjqxcB6xjXT_qUmbf3nYIF9N5-QyhC95JRAQ,200,493,CARRY,BOTTOM,4,5,5,22,False,False,135,1546,433,BRONZE,III,4,17455
NA1_5220791637,qQZjpLJev8jCOKgAMrgULWfjvAf-8YOKwz-a_5MFOP7ijyTIyCdpCD6Hji7Ru4hfnSV6utKTAtCw6Q,200,312,SUPPORT,UTILITY,5,4,6,99,False,False,129,1546,488,IRON,III,10,82137
NA1_5219391319,u7hcn_0cQuAB2Nik1GpLjy9Oaw48v0QyABKjO4Mw6NoLvkrhvdrixA5aqDDPereFIsOyUftN_Vixzg,100,24,DUO,TOP,1,9,2,82,False,False,240,1478,366,UNRANKED,UNRANKED,3,10679
NA1_5219391319,gWgdSLCoUm0JvW6hcEVmRWh4Q48GvLiDESNCV6bLpISBYXSXmYEZJfogE0AUq3UjLPCdoaM9bFMxBg,100,47,NONE,JUNGLE,3,5,9,876,False,False,191,1478,649,SILVER,IV,2,2095
NA1_5219391319,CWtb5vVyFneOOaToE6o33mevuBXSjBEqbnjd6PhPt29sBTVqJSNiHJ5V0KLUv0zm7StzE-aEdNI4zw,100,279,DUO,MIDDLE,7,3,1,157,False,False,114,1478,859,UNRANKED,UNRANKED,25,272551
NA1_5219391319,3eiJ659BQrA5l1ZRT9jOueoYqrcUfEsXzNNboVG8kznZwnRItecOpwwnxxGkNztiOwsWj5OxDDX6oA,100,364,CARRY,BOTTOM,5,8,3,22,False,False,269,1478,654,SILVER,IV,6,31803
NA1_5219391319,QsM7-N1HbKUAYijZjt9O5IVey_R327IuohRyVrlSjpUgv92iooFfTafiS4p2U-jntuY8GSb-PlzUBA,100,94,SUPPORT,UTILITY,3,8,3,147,False,False,257,1478,639,UNRANKED,UNRANKED,6,32915
NA1_5219391319,zF2cOtzafgrfJYmkivMHmTrze84STzk43IgcSWinZ120nZTVefA2lnGEA0e4BpjQspoaDHvxWwYuJA,200,313,SOLO,TOP,7,2,5,59,True,False,95,1478,893,UNRANKED,UNRANKED,4,15059
NA1_5219391319,GRRGOFzfgorkt8tgYjykWT8upsmvMB9CyjlbLiF_lilb8dewX_zRFG22jDGPNi7NjwhUgMIjIP5IlQ,200,221,SUPPORT,JUNGLE,6,4,9,20,True,False,83,1478,573,UNRANKED,UNRANKED,15,132378
NA1_5219391319,TLfjqw1TUwoLzZ3N1guXY9nvnk0ENLkNUMaDnrSxjiG4tzP-E8ourKGgjR1GdHe61uyDfTv8dr5zRQ,200,64,CARRY,MIDDLE,6,5,6,800,True,False,185,1478,474,IRON,II,5,25172
