puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
7mURaw54exjhRlcrEwoP4gI3h8z-3AUA-SgHAJHOJYC5phXZUoti31C24ffw87Ihu5B_36dLdktupA,691,BRONZE,I,50,65,64,0.7692307692307693,0.9846153846153847,1.2615384615384615,1.7538461538461538,0.5,681,637,670,1.0690737833594977,1.0518053375196232,1.5949764521193093,2.120879120879121,0.9607843137254902
N2RLV76jjjVQUDISUCvT09UwWdVoT-1qnkhdB07xutVLuJVtR9Zm0rs0qYpnt5mCkNCOhOW7FFeyRQ,275,UNRANKED,UNRANKED,26,9,21,2.888888888888889,2.3333333333333335,4.055555555555555,5.222222222222222,3.0,131,192,181,0.6822916666666666,0.9427083333333334,1.1536458333333333,1.625,0.5652173913043478
RAgxzd9lDDTMGaYAmpT4vJOsvjLGlxfbZZlscYjZg8iFpbrABetrtjqYvdXPwzfQ75cYwaqSHSt0EQ,136,BRONZE,I,66,57,60,1.1578947368421053,1.0526315789473684,1.6842105263157894,2.210526315789474,1.4,716,605,521,1.1834710743801653,0.8611570247933884,1.6140495867768596,2.0446280991735537,1.0
xfDH81Rq8LsKIIzmAJYlFkc-XtUgvlUwVhykxwZrqG38g7rThf1fR6T2twfwS_9Kg4a7BlEOrCD6RQ,290,BRONZE,I,6,3,6,2.0,2.0,3.0,4.0,1.0,487,606,627,0.8036303630363036,1.0346534653465347,1.3209570957095709,1.8382838283828382,1.0408163265306123
_IfbI6c-3Q7c8qA4Fc7Ux7lOo9XfyykBBmWZOkGIijOZbpKMkzZv2EaYqg01KxQBK4mhK0478Sriag,290,BRONZE,I,24,18,12,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,2.0,551,475,653,1.16,1.3747368421052633,1.8473684210526315,2.534736842105263,1.173913043478261
eehRkzU5G9JPz_8NZtdrl4MBCxwj2_7e43Rdb5ENbIfAscdfphpzxnpAx9ap6a9t9cd-VgqN_7nv8g,261,BRONZE,I,4,7,1,0.5714285714285714,0.14285714285714285,0.6428571428571429,0.7142857142857143,1.0,505,476,630,1.0609243697478992,1.3235294117647058,1.7226890756302522,2.384453781512605,0.6949152542372882
nnfFO2S0_ne0yiDvl5bSrHTfy8BE6zr2b8GC3ZONnQQxHDFZIePC5oXU1_h4TmJls7taxPGb9mxAHQ,239,BRONZE,I,14,20,19,0.7,0.95,1.175,1.65,3.0,754,663,706,1.1372549019607843,1.0648567119155354,1.669683257918552,2.20211161387632,1.0833333333333333
FsF7tui2y5lcwHLOWvAEebnc8Drrr1Gt_TtepVbVhiEemW_9dacJwHyq-CJ7HrMvohqhJ1xAjWVriQ,474,UNRANKED,UNRANKED,557,235,388,2.370212765957447,1.651063829787234,3.195744680851064,4.0212765957446805,1.3461538461538463,1018,519,805,1.9614643545279384,1.5510597302504816,2.7369942196531793,3.51252408477842,1.0408163265306123
IS61l-XlbzExNQCSq2odCvAfrMO4jdAdFblNsYpAU881FUeKKfWVlc70wvn-XjRCZXa3nzPrkxvzag,43,PLATINUM,IV,265,268,384,0.9888059701492538,1.4328358208955223,1.705223880597015,2.421641791044776,0.9666666666666667,488,406,546,1.2019704433497538,1.3448275862068966,1.874384236453202,2.5467980295566504,0.7906976744186046
-JSPNh10VLPrHF4w7ts1NbzZh3IRS6rhatzbhf5tWCzyMBc_nVjzw72qCCpqbDHmUMJP4mExkfQv_Q,67,IRON,II,215,566,524,0.37985865724381623,0.9257950530035336,0.842756183745583,1.3056537102473498,1.3255813953488371,597,515,691,1.159223300970874,1.341747572815534,1.8300970873786409,2.500970873786408,1.0408163265306123
xqaSjBaPl3-VmX9FllT72HI7pb7623Eij_Uy919lAFJ_pWqrGXge5WoGEnbY32HpipZMJgdFkFcs5g,68,BRONZE,II,124,103,90,1.203883495145631,0.8737864077669902,1.6407766990291262,2.0776699029126213,1.1,780,567,731,1.3756613756613756,1.289241622574956,2.0202821869488536,2.6649029982363315,1.0408163265306123
0HoDn4h-S394DyIXAw7zi63m8-V4BsheFunNRDcPjJHi5KDnMUhdpUvv-cIJud59B88gFP6UADtkaQ,79,IRON,III,55,63,85,0.873015873015873,1.3492063492063493,1.5476190476190477,2.2222222222222223,1.4285714285714286,146,159,215,0.9182389937106918,1.3522012578616351,1.5943396226415094,2.270440251572327,0.631578947368421
O_x6eiY25Labo9R2ozZ5kImyKyNNusZPRMO-ekRP2gXxWHEo7a02fOQOZpiNEHmUyzsGIPcfk0bJzQ,215,BRONZE,II,60,44,47,1.3636363636363635,1.0681818181818181,1.8977272727272727,2.4318181818181817,0.6666666666666666,316,418,607,0.7559808612440191,1.4521531100478469,1.4820574162679425,2.208133971291866,1.2666666666666666
