matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5246815102,1697,GameComplete,True,False
NA1_5245077002,1419,GameComplete,True,False
NA1_5244862934,1196,GameComplete,False,False
NA1_5242131676,105,GameComplete,False,True
NA1_5242116038,1465,GameComplete,False,False
NA1_5242093002,1930,GameComplete,False,False
NA1_5239130181,1926,GameComplete,False,False
NA1_5233975782,1721,GameComplete,False,False
NA1_5232895271,2620,GameComplete,False,False
NA1_5232886547,193,GameComplete,False,True
NA1_5212692916,1500,GameComplete,True,False
NA1_5208649584,1006,GameComplete,True,False
NA1_5207992594,1933,GameComplete,False,False
NA1_5207985862,1611,GameComplete,False,False
NA1_5207426860,2223,GameComplete,True,False
NA1_5198850721,2257,GameComplete,False,False
NA1_5174116790,2193,GameComplete,False,False
NA1_5174098939,1447,GameComplete,False,False
NA1_5174058972,2112,GameComplete,False,False
NA1_5174019405,1646,GameComplete,False,False
NA1_5174009980,1060,GameComplete,True,False
NA1_5171401239,981,GameComplete,True,False
NA1_5170161998,2356,GameComplete,False,False
NA1_5170136606,2014,GameComplete,True,False
NA1_5169035213,1582,GameComplete,False,False
NA1_5168417545,1489,GameComplete,False,False
NA1_5168265372,1780,GameComplete,False,False
NA1_5168235885,1875,GameComplete,False,False
NA1_5168146086,1377,GameComplete,False,False
NA1_5168111334,2297,GameComplete,False,False
NA1_5168032908,2330,GameComplete,False,False
NA1_5167515126,1775,GameComplete,False,False
NA1_5167463644,2167,GameComplete,False,False
NA1_5167190475,2241,GameComplete,False,False
NA1_5167154722,2345,GameComplete,False,False
NA1_5167114384,2634,GameComplete,False,False
NA1_5167106504,172,GameComplete,False,True
NA1_5167071468,1353,GameComplete,True,False
NA1_5167066509,108,GameComplete,False,True
NA1_5167049826,1593,GameComplete,False,False
NA1_5167025504,1778,GameComplete,False,False
NA1_5144281582,2123,GameComplete,False,False
NA1_5144277489,1564,GameComplete,False,False
NA1_5140726779,1922,GameComplete,True,False
NA1_5139434608,2577,GameComplete,False,False
NA1_5138552485,2198,GameComplete,False,False
NA1_5138545282,1788,GameComplete,False,False
NA1_5138538831,1428,GameComplete,True,False
