puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
RsRf4GfKRP9nuTU-HHZyGJsFqb15OeuxZmqz1jVl5QyaWIMOGo3BlKpIpPhgL1aj8v1SPyceNamAEg,479,BRONZE,II,5,3,1,1.6666666666666667,0.3333333333333333,1.8333333333333333,2.0,1.0,567,540,946,1.05,1.7518518518518518,1.9259259259259258,2.801851851851852,1.173913043478261
fzp7dUn7P_VVDnHH3BcNatN8y112E56LNXNDbhSUpQbVOMmUc7_1RS-kidd7Bi9K_dsuWi5YSe-wxQ,304,BRONZE,II,44,24,25,1.8333333333333333,1.0416666666666667,2.3541666666666665,2.875,1.0,702,689,744,1.0188679245283019,1.0798258345428158,1.5587808417997098,2.0986937590711174,0.8867924528301887
Kw5eOrwJmhZbHP2vF9Yb8t_9xVDj1Ynx5y4yaqr1Yff7NMBSLl1-NVVgcMr8dmVXmzRt4VMxBhmqfg,8,UNRANKED,UNRANKED,94,161,105,0.5838509316770186,0.6521739130434783,0.9099378881987578,1.236024844720497,0.5,,,,,,,,
QNwCGA2u7Mwqiw4UMy06gGr6X-IbZooImmwujtN_qJl7KdSxCSHAFFIdVXCRYu4rsGVyGfulW7g5Hg,15,UNRANKED,UNRANKED,0,72,8,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,,,,,,,,
aI2qqTWiCMosPyDwR16VSvnl13AwbM3EFN3qLbMrukSpgp2-Wx1_z2deBKJQtzuYi6k6fgLZWmnWvA,16,UNRANKED,UNRANKED,5,53,14,0.09433962264150944,0.2641509433962264,0.22641509433962265,0.3584905660377358,0.0,,,,,,,,
Najl9O1L7sHRlKSMQ8m9DVvZHj4NVh_R-sURHz7KEAlC-VJq7aZDBnXB8LS_3LnMEPOVhobGgIQTFw,260,BRONZE,II,3,3,9,1.0,3.0,2.5,4.0,1.0,476,486,751,0.9794238683127572,1.545267489711934,1.7520576131687242,2.5246913580246915,1.380952380952381
HNrj8A8MTqq5zXX4l21mzFYEGtUqVuszxvvNEu5rixZImsaZDfFNU0XKfQdzQsYkYVCvNlTWy_WuQw,387,BRONZE,II,67,57,95,1.1754385964912282,1.6666666666666667,2.008771929824561,2.8421052631578947,0.8333333333333334,448,464,709,0.9655172413793104,1.5280172413793103,1.7295258620689655,2.4935344827586206,0.8518518518518519
UbWR1mJO2n1aMpOYrxo-KbVJzHpGrEG0KtJwrzmNicm1qXe7mPLk0DzrLKMTyt_qsrtBH5Mfsqn_OA,815,BRONZE,II,65,85,119,0.7647058823529411,1.4,1.464705882352941,2.164705882352941,1.0,433,644,1023,0.672360248447205,1.5885093167701863,1.4666149068322982,2.260869565217391,0.9607843137254902
b6m_YDUBCQaEfxtbA58RE-YG_CgYRv9ruEK4qXKg0wA9xbIxJlRvrCN09eh_AprBnw_UINDTejJ0EQ,200,UNRANKED,UNRANKED,66,42,43,1.5714285714285714,1.0238095238095237,2.0833333333333335,2.5952380952380953,1.25,316,314,417,1.0063694267515924,1.3280254777070064,1.6703821656050954,2.3343949044585988,0.7241379310344828
JrlwesEyDB2udVXQedF4WqWv587Z8yK5CupvycYMhNR10_KzF2bc3ZwGMroLG3cYBfz_M4dFPZ1rFA,175,BRONZE,II,34,43,39,0.7906976744186046,0.9069767441860465,1.244186046511628,1.697674418604651,2.0,1140,826,517,1.3801452784503632,0.62590799031477,1.6930992736077481,2.0060532687651333,0.9607843137254902
MCuByhBwp01fa12MAjz1BqWR2yRdtWmbFRqwz4tQ6mTFzV6ATAy62S46PSBey4pA-QAPTw1xuQkVGA,6,UNRANKED,UNRANKED,25,17,31,1.4705882352941178,1.8235294117647058,2.3823529411764706,3.2941176470588234,3.0,,,,,,,,
grvh0Lpv7iOSvfiK6dKjf8hqUqMDpvTaBIr4vUBKEw7pl6O8VHhbIB6TMAM3w55WssXLFBRVqhL8mQ,205,BRONZE,II,19,11,1,1.7272727272727273,0.09090909090909091,1.7727272727272727,1.8181818181818181,0.0,952,791,623,1.2035398230088497,0.7876106194690266,1.5973451327433628,1.991150442477876,1.127659574468085
KYs1A0QQhhF7FdFYAnliTKLkOebUPCYs7PWLSoUfoCAbGk0alNCuLUeUElM5hcAwK0o-DxTkTTRtbg,236,BRONZE,II,7,9,6,0.7777777777777778,0.6666666666666666,1.1111111111111112,1.4444444444444444,0.5,653,623,543,1.0481540930979134,0.8715890850722311,1.4839486356340288,1.9197431781701444,0.8181818181818182
y_PGPsyr4fjLF12VN-ikZhIli3kMCLALTToFnBEecBYdCbA4GC1MuZwfWqVeS1QqB9P3Br7MeVRI0g,33,BRONZE,II,24,7,3,3.4285714285714284,0.42857142857142855,3.642857142857143,3.857142857142857,1.0,71,56,41,1.2678571428571428,0.7321428571428571,1.6339285714285714,2.0,0.8
