matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5237496253,2027,GameComplete,False,False
NA1_5237463037,1854,GameComplete,False,False
NA1_5237417015,2261,GameComplete,False,False
NA1_5237386877,2320,GameComplete,False,False
NA1_5237358152,1492,GameComplete,False,False
NA1_5237215645,1855,GameComplete,False,False
NA1_5231028517,1893,GameComplete,True,False
NA1_5230970902,2906,GameComplete,False,False
NA1_5230917643,2646,GameComplete,True,False
NA1_5230866547,1885,GameComplete,False,False
NA1_5230831327,3086,GameComplete,False,False
NA1_5230305405,1874,GameComplete,False,False
NA1_5230091153,2069,GameComplete,False,False
NA1_5230066676,1949,GameComplete,False,False
NA1_5230036765,1682,GameComplete,False,False
NA1_5230013917,2545,GameComplete,False,False
NA1_5225223434,1950,GameComplete,True,False
NA1_5225189351,2588,GameComplete,False,False
NA1_5222000743,2712,GameComplete,False,False
NA1_5221957308,2363,GameComplete,False,False
NA1_5221172766,2932,GameComplete,True,False
NA1_5221129987,1629,GameComplete,False,False
NA1_5221090959,2414,GameComplete,False,False
NA1_5221064754,1885,GameComplete,False,False
NA1_5221010192,2727,GameComplete,False,False
NA1_5220974088,2675,GameComplete,False,False
NA1_5220948348,1771,GameComplete,False,False
NA1_5220909094,3219,GameComplete,False,False
NA1_5220882885,2477,GameComplete,False,False
NA1_5220860246,2110,GameComplete,False,False
NA1_5220478188,2530,GameComplete,False,False
NA1_5220448779,1666,GameComplete,True,False
NA1_5220425496,863,GameComplete,True,False
NA1_5220365443,3620,GameComplete,False,False
NA1_5220340682,1219,GameComplete,True,False
NA1_5220303628,2034,GameComplete,False,False
NA1_5220034648,2391,GameComplete,False,False
NA1_5218349003,1928,GameComplete,False,False
NA1_5218304484,2458,GameComplete,False,False
NA1_5218258980,1685,GameComplete,True,False
NA1_5218217476,2037,GameComplete,False,False
NA1_5218167657,2407,GameComplete,False,False
NA1_5218133554,1881,GameComplete,False,False
NA1_5216128775,1753,GameComplete,False,False
NA1_5215918574,2170,GameComplete,False,False
NA1_5215888804,2112,GameComplete,False,False
NA1_5215860996,1746,GameComplete,False,False
NA1_5215819752,1961,GameComplete,False,False
NA1_5215785609,1865,GameComplete,False,False
NA1_5215778845,111,GameComplete,False,True
NA1_5215748649,1806,GameComplete,False,False
NA1_5215719092,1857,GameComplete,False,False
NA1_5215651244,1780,GameComplete,False,False
NA1_5215638280,952,GameComplete,True,False
NA1_5215623018,1715,GameComplete,False,False
NA1_5215605874,2275,GameComplete,False,False
NA1_5215256078,1778,GameComplete,False,False
NA1_5215208304,2125,GameComplete,False,False
NA1_5215131438,2279,GameComplete,False,False
NA1_5215109415,1018,GameComplete,True,False
NA1_5215007283,934,GameComplete,True,False
NA1_5214957803,1623,GameComplete,False,False
NA1_5214934630,1268,GameComplete,True,False
NA1_5214921122,950,GameComplete,True,False
NA1_5214882819,1749,GameComplete,False,False
NA1_5214865177,991,GameComplete,True,False
NA1_5214842360,1672,GameComplete,False,False
NA1_5214823173,1358,GameComplete,False,False
NA1_5214803274,1098,GameComplete,True,False
NA1_5214796607,103,GameComplete,False,True
NA1_5214777180,1807,GameComplete,True,False
NA1_5214761322,1166,GameComplete,True,False
NA1_5214735207,2795,GameComplete,False,False
NA1_5214714260,2267,GameComplete,False,False
NA1_5214697466,1840,GameComplete,False,False
NA1_5214244517,1946,GameComplete,False,False
NA1_5214203298,2018,GameComplete,False,False
NA1_5214164088,2298,GameComplete,False,False
NA1_5213449553,1426,GameComplete,True,False
NA1_5213403221,2004,GameComplete,False,False
NA1_5213348779,2054,GameComplete,False,False
NA1_4887533647,1871,,True,False
NA1_4887482788,1495,,True,False
NA1_4887420538,1965,,False,False
NA1_4884490658,1356,,False,False
NA1_4884471703,913,,False,False
NA1_4884452420,1078,,False,False
NA1_4884436120,1098,,False,False
NA1_4884419272,962,,False,False
NA1_4884399201,1023,,False,False
NA1_4884374565,1073,,False,False
NA1_4884353486,1152,,False,False
NA1_4884333384,1108,,False,False
NA1_4883671305,1025,,False,False
NA1_4883642460,1065,,False,False
NA1_4883610448,1092,,False,False
NA1_4883473964,884,,False,False
NA1_4883452031,980,,False,False
NA1_4883431213,803,,False,False
NA1_4883415783,928,,False,False
NA1_5251083692,1865,GameComplete,False,False
NA1_5250535330,1423,GameComplete,True,False
NA1_5250034068,1967,GameComplete,False,False
NA1_5249455035,2455,GameComplete,False,False
NA1_5248947840,1346,GameComplete,True,False
NA1_5248917524,1631,GameComplete,False,False
NA1_5248814640,1682,GameComplete,False,False
NA1_5248687287,1805,GameComplete,False,False
NA1_5248672339,861,GameComplete,True,False
NA1_5248638038,1856,GameComplete,False,False
NA1_5248629215,367,GameComplete,True,False
NA1_5248338488,2275,GameComplete,False,False
NA1_5248294658,2235,GameComplete,True,False
NA1_5247633307,2163,GameComplete,False,False
