matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5213315092,908,GameComplete,True,False
NA1_5236163190,1534,GameComplete,True,False
NA1_5226217230,1879,GameComplete,False,False
NA1_5226191266,1894,GameComplete,False,False
NA1_5226176205,1186,GameComplete,False,False
NA1_5226155810,1910,GameComplete,False,False
NA1_5226141094,1225,GameComplete,False,False
NA1_5226125359,927,GameComplete,True,False
NA1_5225870689,1526,GameComplete,False,False
NA1_5225864218,1163,GameComplete,True,False
NA1_5225854059,1585,GameComplete,False,False
NA1_5225844106,1596,GameComplete,True,False
NA1_5225125898,1467,GameComplete,True,False
NA1_5225111752,1630,GameComplete,False,False
NA1_5225095778,1805,GameComplete,False,False
NA1_5225057014,1643,GameComplete,False,False
NA1_5225048082,1318,GameComplete,True,False
NA1_5225041253,1082,GameComplete,False,False
NA1_5225034928,1501,GameComplete,False,False
NA1_5225028778,1504,GameComplete,False,False
NA1_5225022899,1509,GameComplete,False,False
NA1_5224606140,1215,GameComplete,True,False
NA1_5224581640,1491,GameComplete,True,False
NA1_5224560629,1570,GameComplete,True,False
NA1_5223854097,1480,GameComplete,True,False
NA1_5223840645,928,GameComplete,True,False
NA1_5223827200,962,GameComplete,True,False
NA1_5223211971,1303,GameComplete,False,False
NA1_5223189365,1422,GameComplete,True,False
NA1_5223177342,880,GameComplete,False,False
NA1_5223161905,1307,GameComplete,False,False
NA1_5223140585,1569,GameComplete,False,False
NA1_5223127851,1411,GameComplete,False,False
NA1_5223110670,1294,GameComplete,True,False
NA1_5222528878,1855,GameComplete,True,False
NA1_5222501555,1771,GameComplete,False,False
NA1_5221796728,1749,GameComplete,False,False
NA1_5218796530,1444,GameComplete,False,False
NA1_5218775272,1441,GameComplete,False,False
NA1_5218755683,1419,GameComplete,False,False
NA1_5218744099,1324,GameComplete,True,False
NA1_5218720539,1904,GameComplete,False,False
NA1_5218706485,1535,GameComplete,False,False
NA1_5218685610,1534,GameComplete,True,False
NA1_5218669874,1423,GameComplete,False,False
NA1_5218077688,1387,GameComplete,False,False
NA1_5218062217,1365,GameComplete,True,False
NA1_5218059275,125,GameComplete,False,True
NA1_5218040477,1483,GameComplete,False,False
NA1_5217449508,1471,GameComplete,True,False
NA1_5217436254,914,GameComplete,True,False
NA1_5217419013,1089,GameComplete,True,False
NA1_5217395843,1502,GameComplete,False,False
NA1_5217369513,1776,GameComplete,False,False
NA1_5217338658,1203,GameComplete,False,False
NA1_5217326953,1312,GameComplete,False,False
NA1_5217307007,1626,GameComplete,False,False
NA1_5217285784,1935,GameComplete,True,False
NA1_5216676820,967,GameComplete,True,False
NA1_5216652346,1536,GameComplete,False,False
NA1_5215885777,1628,GameComplete,True,False
NA1_5215038924,1365,GameComplete,False,False
NA1_5215017237,1372,GameComplete,False,False
NA1_5214997753,1275,GameComplete,False,False
NA1_5214963529,2022,GameComplete,False,False
NA1_5214940423,1615,GameComplete,True,False
NA1_5214921065,1537,GameComplete,True,False
NA1_5214202321,1384,GameComplete,False,False
NA1_5214183222,1122,GameComplete,True,False
NA1_5214153729,1583,GameComplete,True,False
NA1_5213331183,1070,GameComplete,True,False
NA1_5212879378,1324,GameComplete,True,False
NA1_5212871016,562,GameComplete,True,False
NA1_5212849591,1498,GameComplete,False,False
NA1_5212589938,1912,GameComplete,False,False
NA1_5212587125,120,GameComplete,False,True
NA1_5212569164,1501,GameComplete,True,False
NA1_5212554945,1429,GameComplete,False,False
NA1_5211263564,1711,GameComplete,True,False
NA1_5211246981,1147,GameComplete,True,False
NA1_5210553377,1492,GameComplete,False,False
NA1_5210523656,1768,GameComplete,False,False
NA1_5210489317,2101,GameComplete,False,False
NA1_5210480309,106,GameComplete,False,True
NA1_5209735007,1010,GameComplete,True,False
NA1_5209720860,924,GameComplete,True,False
NA1_5209517146,1806,GameComplete,False,False
NA1_5209503082,1155,GameComplete,True,False
NA1_5209488246,1308,GameComplete,False,False
NA1_5203226123,1090,GameComplete,True,False
NA1_5250605843,1225,GameComplete,False,False
NA1_5250582610,1886,GameComplete,False,False
NA1_5250570005,1274,GameComplete,False,False
NA1_5250548826,1528,GameComplete,False,False
NA1_5250385401,1808,GameComplete,False,False
NA1_5250317145,2003,GameComplete,False,False
NA1_5247125656,1477,GameComplete,False,False
NA1_5247108475,1603,GameComplete,False,False
NA1_5247091477,1738,GameComplete,False,False
NA1_5247090075,104,GameComplete,False,True
NA1_5247065592,1767,GameComplete,False,False
NA1_5247043814,1922,GameComplete,False,False
NA1_5247015681,1770,GameComplete,False,False
NA1_5244849941,1920,GameComplete,False,False
NA1_5244830416,1282,GameComplete,True,False
NA1_5244809506,1371,GameComplete,False,False
NA1_5244791617,848,GameComplete,True,False
NA1_5243026053,1418,GameComplete,True,False
NA1_5243014189,1521,GameComplete,False,False
NA1_5242997553,1617,GameComplete,False,False
NA1_5242986156,1276,GameComplete,True,False
NA1_5242963411,1947,GameComplete,True,False
NA1_5242351973,994,GameComplete,True,False
NA1_5242324714,1754,GameComplete,False,False
NA1_5238812522,2001,GameComplete,False,False
NA1_5218185808,1589,GameComplete,False,False
NA1_5213737090,1726,GameComplete,False,False
NA1_5212210345,1983,GameComplete,False,False
NA1_5212187725,1398,GameComplete,False,False
NA1_5212162360,1747,GameComplete,False,False
NA1_5212130537,1896,GameComplete,True,False
NA1_5212054878,1295,GameComplete,False,False
NA1_5212046436,133,GameComplete,False,True
NA1_5212011881,2099,GameComplete,True,False
NA1_5211988892,1615,GameComplete,False,False
NA1_5211211164,1740,GameComplete,False,False
NA1_5210474586,1275,GameComplete,False,False
NA1_5210455507,1431,GameComplete,False,False
NA1_5210425543,2128,GameComplete,False,False
NA1_5210406981,1471,GameComplete,False,False
NA1_5210389857,1373,GameComplete,False,False
NA1_5210374303,967,GameComplete,True,False
NA1_5208540851,1601,GameComplete,False,False
NA1_5207191005,1199,GameComplete,False,False
NA1_5207123555,1371,GameComplete,False,False
NA1_5207109091,1139,GameComplete,False,False
NA1_5206465957,2033,GameComplete,False,False
NA1_5206439064,2093,GameComplete,False,False
NA1_5206413885,1774,GameComplete,False,False
NA1_5229172624,1314,GameComplete,False,False
NA1_5207695596,1535,GameComplete,False,False
NA1_5207027009,2084,GameComplete,False,False
NA1_5205790762,938,GameComplete,True,False
NA1_5205782230,465,GameComplete,True,False
NA1_5205765478,1413,GameComplete,True,False
NA1_5243594248,1844,GameComplete,True,False
NA1_5242367565,687,GameComplete,True,False
NA1_5238269368,1293,GameComplete,False,False
NA1_5238262019,952,GameComplete,True,False
NA1_5238249400,1934,GameComplete,False,False
NA1_5238215288,1906,GameComplete,False,False
NA1_5237660399,1139,GameComplete,False,False
NA1_5237652519,1148,GameComplete,False,False
NA1_5237650795,557,GameComplete,True,False
NA1_5237624924,1707,GameComplete,False,False
NA1_5236254002,762,GameComplete,True,False
NA1_5236229947,1534,GameComplete,True,False
NA1_5236136442,1899,GameComplete,False,False
