puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
R-zH4PlWJE_D2NuA0SYf7P8ZuyB-UqZc04aVLdhSr_tvu83wX-5P6VanR2fuiCkn5PUXy5GKZMpCWg,65,BRONZE,III,166,131,149,1.2671755725190839,1.1374045801526718,1.8358778625954197,2.404580152671756,1.25,101,141,173,0.7163120567375887,1.2269503546099292,1.3297872340425532,1.9432624113475176,0.3333333333333333
sFL5yc2mLte7stnpci_Rtc4xPhs6-dI1gbYAEySXvZTWQk_e_bqRijV9WNw81xi4UwGTjzjGPjmPhA,335,BRONZE,I,5,17,9,0.29411764705882354,0.5294117647058824,0.5588235294117647,0.8235294117647058,0.5,350,514,916,0.6809338521400778,1.7821011673151752,1.5719844357976653,2.463035019455253,0.8518518518518519
E9RcUKzKjlJSjaDvSYQSkJ1Trmttj17NXMrsj2HlrZHQSc4HkL8Exdl_QzZS2cuoirz507lr0b559Q,40,GOLD,IV,81,114,109,0.7105263157894737,0.956140350877193,1.1885964912280702,1.6666666666666667,0.5555555555555556,732,416,606,1.7596153846153846,1.4567307692307692,2.487980769230769,3.2163461538461537,0.9767441860465116
0tvvEGKjaZduI33m-PEK2gQEH5lqjtyARr0vGd5qFEs6xiUKp0Pbe13k1vO_4tRMAL49TuICTrUsOQ,35,BRONZE,III,130,40,35,3.25,0.875,3.6875,4.125,3.5,247,141,80,1.75177304964539,0.5673758865248227,2.0354609929078014,2.3191489361702127,2.0
ZyD9ptpfbjU0jO1U3jcOTXKzw-rj08WK7vYGVn-Eep94tQ_wn3L1MSIg84Ag1FZe5HsKrJyTbjskFg,397,BRONZE,III,24,19,32,1.263157894736842,1.6842105263157894,2.1052631578947367,2.9473684210526314,5.0,690,679,751,1.01620029455081,1.106038291605302,1.569219440353461,2.122238586156112,1.173913043478261
XAvTwtgbXZYtxnx1-7o5hC0dXGIySq-auCGvCTwjSRB5CTnOvxYtU0w6KQfz70c0IbJEFHvj6QODoA,115,BRONZE,I,592,702,517,0.8433048433048433,0.7364672364672364,1.2115384615384615,1.5797720797720798,1.127659574468085,234,316,291,0.740506329113924,0.9208860759493671,1.2009493670886076,1.6613924050632911,1.1578947368421053
5oraZfhOors1QOpV6jWSNvAXZJpZJtlS47lEf2Sc5UW5awV3oIaJHjgrLrmf2ahs9SNv7xKbv1TIhw,102,UNRANKED,UNRANKED,408,338,731,1.2071005917159763,2.162721893491124,2.2884615384615383,3.3698224852071004,0.8518518518518519,,,,,,,,
5m19eAh97e67q2ZehTq7QF3nfBs0GdPfPsOG6GEqUbpPo-eLSIarPz0LlAV5YBekTsmqZjOlGf4TXw,341,BRONZE,I,473,335,638,1.4119402985074627,1.9044776119402984,2.364179104477612,3.316417910447761,1.0833333333333333,279,203,359,1.374384236453202,1.7684729064039408,2.2586206896551726,3.142857142857143,1.1363636363636365
UUHtmq0XZ1kXwBNQCfkFaTICztz92rB-N1EHbY2Z8ErWO89JMEXhbJ7OPig5XKlyUW1_HoT5HLIY3A,286,BRONZE,III,4,8,1,0.5,0.125,0.5625,0.625,1.0,713,629,503,1.1335453100158983,0.7996820349761526,1.5333863275039745,1.933227344992051,1.127659574468085
RawL2IW6E456xKO9X-88DO-D6gai2-xGon5QG5-azd26banxU8yn_0y2bHmfWe0buCMkaMLVxxBWcA,40,IRON,II,6,41,30,0.14634146341463414,0.7317073170731707,0.5121951219512195,0.8780487804878049,0.0,44,98,137,0.4489795918367347,1.3979591836734695,1.1479591836734695,1.846938775510204,0.75
FTIm0yLnEDzrLvNzdhBATXcNjw9aBIrIE7srHAl9Dd5lMZUhASFIOnyEoYyWBno18h76UFM6Ls1hKw,42,UNRANKED,UNRANKED,24,36,31,0.6666666666666666,0.8611111111111112,1.0972222222222223,1.5277777777777777,0.0,,,,,,,,
frLFLgKyd8GFiUp_4SHEZHCHLO-MJNJ1mg5LOai5In7KtE5bEzLYW8NbzBI9fogG_YKQTJORp-wzJA,428,BRONZE,III,82,59,36,1.3898305084745763,0.6101694915254238,1.694915254237288,2.0,0.8,825,630,614,1.3095238095238095,0.9746031746031746,1.7968253968253969,2.284126984126984,0.8867924528301887
0OvRqHnwlpUYwdNYp_GiIiuysIDMRSRLkEVaHjxdpOmSe3WrqLWzMUflS4uv5v83Av-6xArUkqEAjQ,49,PLATINUM,IV,128,26,53,4.923076923076923,2.0384615384615383,5.9423076923076925,6.961538461538462,9.0,419,163,225,2.5705521472392636,1.3803680981595092,3.2607361963190185,3.950920245398773,4.142857142857143
QYsDg5hM00v2rHEjDjFEejNxsW9twicuS5hCG520kuTl6eCfZF47bAeA6E1Mk1hFZlcXcoNSGds4Mg,5,UNRANKED,UNRANKED,29,73,55,0.3972602739726027,0.7534246575342466,0.773972602739726,1.1506849315068493,1.1111111111111112,,,,,,,,
6Fuequvrn5Ow58TDrkkUMtrL0CAjCGWs3fhHL0RUonj_bS7gFj9dHFsziP6o4TdRmIbjpRlaGJmiCA,500,GOLD,IV,444,368,669,1.2065217391304348,1.8179347826086956,2.1154891304347827,3.0244565217391304,1.2727272727272727,150,233,615,0.6437768240343348,2.6394849785407724,1.963519313304721,3.2832618025751072,1.16
ZM2-P7pwlRUO0FJ0gKhOWXBNjAhBUJmQ7yxOlfdVFnOi-dB-8hezksBW8-f_nZroCsWtMS_Js2MsDg,19,UNRANKED,UNRANKED,78,157,96,0.4968152866242038,0.6114649681528662,0.802547770700637,1.10828025477707,0.5714285714285714,,,,,,,,
5yz-pEl3dlCUjuEEaZmlQU-Tk9vBT8ABWl_KFdnofK7Wov7FUJ6Cu0guNyW4o4iJPdnaoY0TvDXYIg,263,BRONZE,III,4,7,19,0.5714285714285714,2.7142857142857144,1.9285714285714286,3.2857142857142856,0.0,671,727,1023,0.922971114167813,1.407152682255846,1.626547455295736,2.330123796423659,1.0833333333333333
