matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5204457868,963,GameComplete,True,False
NA1_5204436008,1748,GameComplete,False,False
NA1_5204421152,1090,GameComplete,True,False
NA1_5204414571,103,GameComplete,False,True
NA1_5204393719,1533,GameComplete,True,False
NA1_5202765529,1395,GameComplete,True,False
NA1_5215660387,1989,GameComplete,False,False
NA1_5215645844,1635,GameComplete,False,False
NA1_5237920979,1946,GameComplete,False,False
NA1_5237906619,1187,GameComplete,False,False
NA1_5233227166,728,GameComplete,True,False
NA1_5233216986,1304,GameComplete,True,False
NA1_5233205098,1550,GameComplete,False,False
NA1_5233192514,1529,GameComplete,False,False
NA1_5227998371,919,GameComplete,True,False
NA1_5227967553,1644,GameComplete,False,False
NA1_5227965506,131,GameComplete,False,True
NA1_5227956240,1494,GameComplete,True,False
NA1_5227950980,926,GameComplete,True,False
NA1_5227924422,957,GameComplete,True,False
NA1_5223386321,1491,GameComplete,False,False
NA1_5218153423,2011,GameComplete,False,False
NA1_5218117635,1692,GameComplete,False,False
NA1_5218096234,1513,GameComplete,True,False
NA1_5212498685,1007,GameComplete,True,False
NA1_5212481328,2159,GameComplete,False,False
NA1_5212469045,1383,GameComplete,True,False
NA1_5212435181,1450,GameComplete,False,False
NA1_5212422543,1780,GameComplete,True,False
NA1_5212397792,1050,GameComplete,True,False
NA1_5208520745,1713,GameComplete,False,False
NA1_5208497736,1992,GameComplete,True,False
NA1_5208482572,840,GameComplete,True,False
NA1_5207506631,1401,GameComplete,False,False
NA1_5207473060,1630,GameComplete,True,False
NA1_5207793769,1647,GameComplete,False,False
NA1_5205014301,1524,GameComplete,True,False
NA1_5209764245,1418,GameComplete,False,False
NA1_5209734534,1929,GameComplete,False,False
NA1_5209252130,1665,GameComplete,True,False
NA1_5206515033,1321,GameComplete,True,False
NA1_5206495407,1579,GameComplete,False,False
NA1_5206475397,1609,GameComplete,True,False
NA1_5206458528,1239,GameComplete,False,False
NA1_5205042366,1823,GameComplete,False,False
NA1_5205030875,1459,GameComplete,False,False
NA1_5204910740,1586,GameComplete,False,False
NA1_5204852402,1905,GameComplete,True,False
NA1_5204833864,1103,GameComplete,True,False
NA1_5253361854,1297,GameComplete,True,False
NA1_5252699247,1355,GameComplete,False,False
NA1_5252415305,1390,GameComplete,False,False
NA1_5252405750,1864,GameComplete,False,False
NA1_5250049344,2049,GameComplete,False,False
NA1_5250021582,1838,GameComplete,False,False
NA1_5249999665,1700,GameComplete,True,False
NA1_5249798519,1351,GameComplete,True,False
NA1_5248617434,1741,GameComplete,False,False
NA1_5247724771,1454,GameComplete,False,False
NA1_5247706839,1978,GameComplete,False,False
NA1_5246742416,972,GameComplete,True,False
NA1_5246180137,1951,GameComplete,False,False
NA1_5245928863,1670,GameComplete,False,False
NA1_5244249150,1602,GameComplete,False,False
NA1_5244232864,1335,GameComplete,False,False
NA1_5243203521,1532,GameComplete,False,False
NA1_5243193822,1530,GameComplete,True,False
NA1_5242619984,1351,GameComplete,True,False
NA1_5242608399,1391,GameComplete,True,False
NA1_5242422231,1984,GameComplete,False,False
