puuid,summonerLevel,tier,rank,swiftplay_kills,swiftplay_deaths,swiftplay_assists,swiftplay_kd,swiftplay_ad,swiftplay_kda,swiftplay_kad,swiftplay_win_loss_ratio,ranked_kills,ranked_deaths,ranked_assists,ranked_kd,ranked_ad,ranked_kda,ranked_kad,ranked_win_loss_ratio
p8hEu9hrNrKBF7KzGG8-Y_8UoND_sK_H2T1iDwIFN6QgW70zhaAW-lwOYFWCfvoTrOPepx0-9PWZUw,80,BRONZE,IV,3,1,5,3.0,5.0,5.5,8.0,1.0,396,286,391,1.3846153846153846,1.367132867132867,2.0681818181818183,2.7517482517482517,0.7857142857142857
aK5wswqelVKkMivJDXauGGgfAyG71CFE-SJQgI4_YKocjGP1JP1-1K84cs8J-h1vD8r5CemwqsaH2w,1398,BRONZE,IV,2,1,2,2.0,2.0,3.0,4.0,1.0,403,527,1049,0.7647058823529411,1.9905123339658444,1.7599620493358634,2.7552182163187857,0.8181818181818182
6U2rc_1GIVB6wUwD41aFc-lA6ciyZ5DKu_5FXuijUeR4U6hfpgq4z2xzI_nbHxzVQfGh4kuZbFJTAw,157,GOLD,IV,411,370,286,1.1108108108108108,0.772972972972973,1.4972972972972973,1.8837837837837839,1.1923076923076923,741,733,654,1.0109140518417463,0.8922237380627558,1.4570259208731242,1.903137789904502,1.2222222222222223
NT0RwY33_AJhFQleMm-5uS60YcKX1Ij1SsxTLZ5Mbaocr8xOZQkiT03j20tsqofJYhCoS9pZEN4iRw,351,BRONZE,IV,39,35,33,1.1142857142857143,0.9428571428571428,1.5857142857142856,2.057142857142857,6.0,726,833,624,0.8715486194477791,0.7490996398559424,1.2460984393757504,1.6206482593037215,1.0408163265306123
_7eO0TkyvcuOI0NqweMu3pA8wjFuCSw-XqAqUViv0QyKCD8b4Zt5HJzlQE2MikxJvlvK0YgwA03OsA,497,BRONZE,IV,27,16,11,1.6875,0.6875,2.03125,2.375,0.5,426,549,772,0.7759562841530054,1.4061930783242258,1.4790528233151183,2.1821493624772312,0.9230769230769231
5IviRLbWyJ-SFpQ0EuZR8228ogGW7zB0jCzuPoSPdgBQ9T_2BNCF5qEG4PWhK5FY6IW9cBgvZMnxVw,6,UNRANKED,UNRANKED,32,84,25,0.38095238095238093,0.2976190476190476,0.5297619047619048,0.6785714285714286,0.3,,,,,,,,
WoWfIbB5jemQpAoAyWihZBTdvEtlnwsfdA9eM_6rqQJQAtoNkdvrSDGZtZ2oJZ7jbwrFg4TotlsS-Q,4,UNRANKED,UNRANKED,22,163,30,0.13496932515337423,0.18404907975460122,0.22699386503067484,0.31901840490797545,0.3333333333333333,,,,,,,,
G9yp-4t3F00soRTphgXPwOvFsO8f2P14Sjcg0JXe-hKf_aJCUJijO81UxpLRnzyxh4Ozg9zkreKxrg,13,UNRANKED,UNRANKED,88,64,52,1.375,0.8125,1.78125,2.1875,0.375,,,,,,,,
0IZAUvo0rR7W5x2kAJZzwc4dqsYjTJujDwcOsmtEkl5b-RwQHOB-1jlE__3yR-9YF8FDzd2e-cZ_CA,4,UNRANKED,UNRANKED,19,260,104,0.07307692307692308,0.4,0.27307692307692305,0.47307692307692306,0.3333333333333333,,,,,,,,
9rhOun2HwQimfu0N8e8zvXA4MoNiV3tt4l7FGmESAPnDtqRewTD_VUWJHp3e-AvMsAHwzvwSfujCEQ,167,IRON,I,138,159,271,0.8679245283018868,1.7044025157232705,1.720125786163522,2.5723270440251573,1.0454545454545454,90,233,319,0.38626609442060084,1.3690987124463518,1.0708154506437768,1.7553648068669527,0.8
pPB-XfzwAiphKdkDr6YpBQsIcdWZebHtkv7kFGzfuuQFDBNuamlF8DO2H1wG3pBk67CjGHFfZT9EFw,359,BRONZE,IV,51,72,150,0.7083333333333334,2.0833333333333335,1.75,2.7916666666666665,1.4285714285714286,44,107,151,0.411214953271028,1.411214953271028,1.1168224299065421,1.8224299065420562,0.6666666666666666
jkoU6ynMH60t6mGCHtpJ8eG4MfkdbehBlMQwSKytmznWFHmvHqv8dbjZyzFo7l_whv7yrwhcF5-QxQ,205,BRONZE,IV,19,15,8,1.2666666666666666,0.5333333333333333,1.5333333333333334,1.8,2.0,475,679,524,0.6995581737849779,0.7717231222385862,1.085419734904271,1.4712812960235642,0.9230769230769231
EwTpGjKMV4rkMm3uSw6K6wYzjGq9c5kdeLlR_Uu1StPKlyhfZNIEMfLi8ZHPLSZ3pNYvpC5Ds62UEQ,616,BRONZE,IV,83,28,64,2.9642857142857144,2.2857142857142856,4.107142857142857,5.25,1.5,493,598,1105,0.8244147157190636,1.8478260869565217,1.7483277591973243,2.6722408026755855,1.0833333333333333
b0f-DCOHRVGzVbIfal-72Pb6RcwO9OAvy6Lrq9cfsdnzlgaCX9azjxD7bzC0dYT-6ifZV5LKOz51tQ,213,BRONZE,IV,32,42,103,0.7619047619047619,2.4523809523809526,1.9880952380952381,3.2142857142857144,0.375,3,34,72,0.08823529411764706,2.1176470588235294,1.1470588235294117,2.2058823529411766,4.0
