matchId,gameDuration,endOfGameResult,gameEndedInSurrender,gameEndedInEarlySurrender
NA1_5249063709,1598,GameComplete,False,False
NA1_5249060617,1936,GameComplete,False,False
NA1_5228007119,1910,GameComplete,False,False
NA1_5227991687,1651,GameComplete,False,False
NA1_5222867677,1726,GameComplete,False,False
NA1_5222860228,936,GameComplete,True,False
NA1_5222850930,1372,GameComplete,False,False
NA1_5215112078,1929,GameComplete,False,False
NA1_5213540268,1521,GameComplete,False,False
NA1_5213508999,1298,GameComplete,True,False
NA1_5213348494,1508,GameComplete,False,False
NA1_5213307276,1970,GameComplete,False,False
NA1_5213269332,2271,GameComplete,False,False
NA1_5213255175,1013,GameComplete,True,False
NA1_5212876033,1695,GameComplete,False,False
NA1_5212856113,1513,GameComplete,False,False
NA1_5212841311,950,GameComplete,True,False
NA1_5212822287,1194,GameComplete,True,False
NA1_5212785611,1801,GameComplete,True,False
NA1_5212736216,1650,GameComplete,True,False
NA1_5212709878,1718,GameComplete,True,False
NA1_5212598714,1773,GameComplete,True,False
NA1_5212567732,1770,GameComplete,True,False
NA1_5212555134,1072,GameComplete,True,False
NA1_5212089839,1827,GameComplete,True,False
NA1_5212058111,1685,GameComplete,False,False
NA1_5212021940,2178,GameComplete,False,False
NA1_5211948832,1655,GameComplete,False,False
NA1_5211928450,1253,GameComplete,False,False
NA1_5211912446,1281,GameComplete,False,False
NA1_5211895570,1134,GameComplete,False,False
NA1_5211863532,2150,GameComplete,False,False
NA1_5211851071,1462,GameComplete,False,False
NA1_5211827622,2061,GameComplete,False,False
NA1_5211814813,1397,GameComplete,False,False
NA1_5211299781,1323,GameComplete,False,False
NA1_5211292068,139,GameComplete,False,True
NA1_5210921089,1554,GameComplete,False,False
NA1_5210911277,2503,GameComplete,True,False
NA1_5210909136,748,GameComplete,True,False
NA1_5210901788,1836,GameComplete,False,False
NA1_5210893943,1556,GameComplete,False,False
NA1_5210881188,1682,GameComplete,False,False
NA1_5210866586,1792,GameComplete,False,False
NA1_5210560895,1186,GameComplete,True,False
NA1_5210524468,2087,GameComplete,False,False
NA1_5210501733,1357,GameComplete,False,False
NA1_5209667612,1737,GameComplete,False,False
NA1_5209655616,953,GameComplete,True,False
NA1_5209624431,1737,GameComplete,False,False
NA1_5209325415,1800,GameComplete,True,False
NA1_5209324171,110,GameComplete,False,True
NA1_5207879923,1804,GameComplete,True,False
NA1_5207654993,466,GameComplete,True,False
NA1_5207632450,1322,GameComplete,False,False
NA1_5207494964,1399,GameComplete,False,False
NA1_5207478279,1474,GameComplete,False,False
NA1_5206457905,1657,GameComplete,True,False
NA1_5205834408,1873,GameComplete,False,False
NA1_5210823089,1471,GameComplete,False,False
NA1_5210796400,1671,GameComplete,False,False
NA1_5210769372,1943,GameComplete,False,False
NA1_5210021779,1970,GameComplete,True,False
NA1_5209913846,1640,GameComplete,False,False
NA1_5203226640,1386,GameComplete,False,False
NA1_5212148395,1594,GameComplete,True,False
NA1_5211682127,912,GameComplete,True,False
NA1_5211674691,1461,GameComplete,False,False
NA1_5211565833,1061,GameComplete,True,False
NA1_5211544608,1692,GameComplete,False,False
NA1_5211516453,1949,GameComplete,False,False
NA1_5210828480,1533,GameComplete,True,False
NA1_5210818516,693,GameComplete,True,False
NA1_5212421625,985,GameComplete,True,False
NA1_5253426502,1629,GameComplete,True,False
NA1_5246205381,1355,GameComplete,False,False
NA1_5246197759,1316,GameComplete,True,False
NA1_5244132539,1534,GameComplete,False,False
NA1_5243233025,1309,GameComplete,False,False
NA1_5240690357,1828,GameComplete,False,False
NA1_5240522676,1928,GameComplete,False,False
NA1_5239989714,1401,GameComplete,False,False
NA1_5238473403,1666,GameComplete,False,False
NA1_5238393223,1907,GameComplete,False,False
NA1_5238386754,1697,GameComplete,False,False
NA1_5235886903,1079,GameComplete,False,False
NA1_5235607959,1694,GameComplete,False,False
NA1_5234193358,1599,GameComplete,True,False
NA1_5233941358,1587,GameComplete,False,False
NA1_5233934964,947,GameComplete,True,False
NA1_5233927017,1257,GameComplete,True,False
NA1_5233921584,104,GameComplete,False,True
NA1_5224403053,1401,GameComplete,True,False
NA1_5224388870,1884,GameComplete,False,False
NA1_5224378361,1161,GameComplete,True,False
NA1_5224361908,1993,GameComplete,False,False
NA1_5224348108,1934,GameComplete,False,False
NA1_5224342420,475,GameComplete,True,False
NA1_5224298368,1847,GameComplete,False,False
NA1_5223697303,1116,GameComplete,True,False
NA1_5223688583,915,GameComplete,True,False
NA1_5223685228,175,GameComplete,False,True
NA1_5223671323,1333,GameComplete,True,False
NA1_5223651334,1867,GameComplete,False,False
NA1_5220133519,1994,GameComplete,False,False
NA1_5219333761,1607,GameComplete,False,False
NA1_5218885176,1925,GameComplete,True,False
NA1_5215004570,1544,GameComplete,False,False
NA1_5212429579,1557,GameComplete,False,False
NA1_5212399204,1602,GameComplete,False,False
NA1_5212392735,1394,GameComplete,False,False
NA1_5212383845,2005,GameComplete,False,False
NA1_5212110529,937,GameComplete,True,False
NA1_5212050450,2532,GameComplete,True,False
NA1_5212030200,1283,GameComplete,False,False
NA1_5211749410,1464,GameComplete,False,False
NA1_5211747876,106,GameComplete,False,True
NA1_5211737234,1497,GameComplete,False,False
NA1_5211428132,2072,GameComplete,False,False
NA1_5211401404,1433,GameComplete,True,False
NA1_5211385608,1034,GameComplete,True,False
NA1_5211257143,1493,GameComplete,False,False
NA1_5211006502,1603,GameComplete,False,False
NA1_5210669829,1513,GameComplete,True,False
NA1_5210663556,109,GameComplete,False,True
NA1_5210269390,2754,GameComplete,False,False
NA1_5210253455,1305,GameComplete,True,False
NA1_5206634051,1523,GameComplete,False,False
NA1_5206631024,118,GameComplete,False,True
NA1_5205487245,1588,GameComplete,False,False
NA1_5250234763,2204,GameComplete,False,False
NA1_5249893012,1397,GameComplete,False,False
NA1_5249867710,1771,GameComplete,False,False
NA1_5249567128,1343,GameComplete,False,False
NA1_5249550363,1812,GameComplete,False,False
NA1_5249454740,1548,GameComplete,False,False
NA1_5245656979,1325,GameComplete,False,False
NA1_5245641363,1568,GameComplete,False,False
NA1_5245167808,1549,GameComplete,False,False
NA1_5244592714,1302,GameComplete,False,False
NA1_5242361816,1924,GameComplete,False,False
NA1_5242337044,1762,GameComplete,True,False
NA1_5242045567,1649,GameComplete,False,False
NA1_5242027571,1791,GameComplete,False,False
NA1_5241285130,1426,GameComplete,False,False
NA1_5241265402,1241,GameComplete,True,False
NA1_5240969224,1846,GameComplete,False,False
NA1_5240952098,1407,GameComplete,False,False
NA1_5240941055,1086,GameComplete,True,False
NA1_5238551842,1673,GameComplete,False,False
NA1_5238513693,932,GameComplete,True,False
NA1_5238473947,1715,GameComplete,False,False
NA1_5238390358,1354,GameComplete,True,False
NA1_5238386908,956,GameComplete,True,False
NA1_5238370407,1057,GameComplete,True,False
NA1_5238357308,1787,GameComplete,False,False
NA1_5236341142,110,GameComplete,False,True
NA1_5236313782,1557,GameComplete,False,False
NA1_5236130803,1528,GameComplete,False,False
NA1_5236089369,1215,GameComplete,True,False
NA1_5236063710,1145,GameComplete,False,False
NA1_5236059944,482,GameComplete,True,False
NA1_5236041293,1334,GameComplete,False,False
NA1_5236026777,1045,GameComplete,True,False
NA1_5234028123,951,GameComplete,True,False
NA1_5233929139,1728,GameComplete,False,False
NA1_5233923949,790,GameComplete,True,False
NA1_5233917585,813,GameComplete,True,False
NA1_5233907624,1469,GameComplete,False,False
NA1_5233027738,1758,GameComplete,False,False
NA1_5233010771,1484,GameComplete,False,False
NA1_5229190640,1805,GameComplete,True,False
NA1_5229183352,1795,GameComplete,False,False
NA1_5228067174,1339,GameComplete,False,False
NA1_5217019074,1436,GameComplete,False,False
NA1_5214566804,1632,GameComplete,False,False
NA1_5214545493,1549,GameComplete,False,False
NA1_5213760890,2133,GameComplete,False,False
NA1_5213752423,1197,GameComplete,True,False
NA1_5213735446,1639,GameComplete,False,False
NA1_5207229214,1607,GameComplete,False,False
NA1_5252264070,1962,GameComplete,True,False
NA1_5252045527,936,GameComplete,True,False
NA1_5213605258,1894,GameComplete,False,False
NA1_5213580520,1268,GameComplete,True,False
NA1_5213550158,1305,GameComplete,True,False
NA1_5215328859,1183,GameComplete,True,False
NA1_5213650696,1882,GameComplete,True,False
NA1_5213645388,381,GameComplete,True,False
